Assemblage_Name	409795-2-3	3-523524-4	7930379-3-4902598	1-0-1	6521645-3-4593887	4-9281390-3	0-5543770-2	0-1-2	7015898-2-3	2217010-2-3	4-2-2925748	7930379-6996568-4	5754964-5543770-2	8023199-2-3	7930379-2402034-4	2-4361069-0	0-8863817-2	5578595-2-3	3-1826266-4	2-0-0	7930379-3-4689381	3-0-4	321323-2-3	1-3593481-1	4-2-3	3-7690314-4	3-338648-4	3-0-6752004	7930379-3-4593887	2-0-5552213	1-2-2	2060359-3-4	1-4-2	2-1-1	7930379-3-4	9895768-3-4	7930379-3-8486971	2-0-5431172	4-2-9556654	3-5891867-4
assemblage-250-731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	304	0	33	0	0	109	0	0	0	0	0	21	0	0	0	7	0	0	0	0	6
assemblage-747-590	0	0	0	24	0	0	0	136	0	0	0	0	0	0	0	0	0	0	0	69	0	0	0	0	86	0	0	0	0	0	0	0	0	0	177	0	0	0	0	8
assemblage-96-896	0	0	0	23	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	137	0	30	0	0	147	0	0	0	0	0	4	0	35	0	62	0	0	0	0	8
assemblage-759-483	0	0	0	125	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	154	0	45	0	0	37	0	0	0	0	0	0	20	0	0	100	0	0	0	0	4
assemblage-677-301	0	0	0	45	0	0	0	34	0	0	0	0	0	0	23	0	0	0	0	265	0	0	0	0	48	0	0	0	0	0	0	0	0	0	76	0	0	0	0	9
assemblage-700-275	0	0	0	115	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	90	0	45	0	0	130	0	0	0	0	0	0	0	0	0	81	0	0	0	0	4
assemblage-240-941	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	22	0	58	0	0	116	0	0	0	0	0	0	0	0	0	240	0	0	0	0	5
assemblage-467-749	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	261	0	0	104	0	0	0	38	0	0	0	0	0	78	0	0	0	0	8
assemblage-636-922	0	0	0	64	0	0	0	32	0	0	0	0	0	0	16	0	0	0	0	269	0	0	0	0	56	0	0	0	0	0	0	0	0	0	55	0	0	0	0	8
assemblage-678-943	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	151	0	0	150	0	0	0	108	0	0	0	0	0	0	0	0	0	0	14
assemblage-238-92	0	0	0	0	0	0	71	0	40	0	0	0	0	0	0	0	0	0	0	0	0	150	0	0	17	0	0	0	175	0	0	0	0	0	32	0	0	0	0	15
assemblage-747-593	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	48	0	180	0	17	76	0	0	0	0	0	0	0	0	0	79	0	0	0	0	3
assemblage-234-493	0	0	0	0	0	0	8	14	0	0	0	0	0	0	0	0	0	0	0	0	0	187	0	0	66	0	0	0	73	0	0	0	0	0	144	0	0	0	0	8
assemblage-595-739	0	0	0	143	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	0	0	0	0	43	0	0	0	0	0	0	33	0	0	184	0	0	0	0	10
