Assemblage_Name	2881137-6559822-2	3-3453359-0	1-3-1892985	1-3-9874775	1-2-4914436	3-8317227-0	2881137-9097813-2	1-2-109018	1-8381628-4333895	1-3-6029895	9597720-2-4	1-9229081-4	1-404082-1391695	1-1297367-4	3879476-3-4	1-404082-4	1-1297367-4333895	9668005-2-108315	1-3-2091015	1-2-8372530	4-3-4888263	5216729-2-0	850867-2-8500109	1-2-6415750	1-3-2883286	6250280-2-4	4-3-6754189	0-2-2	1-3604282-4	1-1287681-4	1-3925783-4	1-3-4	1-2457013-4	1-5182728-4	1-3-7030052	1-3390951-4	1-5194295-7593712	2881137-3-8660057	9668005-2-4597127	2881137-4023061-2	850867-2-4	1-404082-5641564	1-3-8012765	1-2-4	150551-3-4888263	1-7640458-4	7817750-2-2	39780-3-4	8232422-3-4	9668005-2-4	4393956-3-4	0-3859808-2	2424594-2-4	9668005-2-5115001	4347528-404082-4	1-404082-9676531	4-3-3	1-3-5973779	3-2-0	1475185-2-4	1-5194295-4	9668005-2-6432755	3487435-4023061-2	1-2-8639527	1-3-2658722
assemblage-250-731	0	53	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	221	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	69	0	0	30	0	0	43	0	0	0	0	0	0	0	0	54	0	0	0	0	0	8
assemblage-747-590	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-96-896	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	94	11	0	0	0	0	0	78	0	0	0	96	0	0	0	0	0	17	0	75	0	0	0	63	0	0	5	0	0	10	0	0	0	0	0	0	11	0	14	0	0	0	0	0	14
assemblage-759-483	0	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	74	0	0	0	161	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12
assemblage-677-301	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	113	0	0	0	115	0	0	0	0	0	0	0	84	0	0	5	0	0	0	0	0	0	80	0	0	0	0	0	0	0	0	0	0	0	0	12	0	16
assemblage-700-275	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	23	0	0	0	0	0	108	0	0	0	52	0	0	0	0	0	0	0	49	0	0	0	170	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-240-941	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	173	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	102	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-467-749	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	53	0	0	0	0	60	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	173	0	0	0	0	0	0	0	11	0	0	38	0	0	0	6
assemblage-636-922	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	97	0	0	0	94	0	0	0	0	0	0	0	87	0	0	11	10	0	0	0	0	0	103	0	0	0	0	0	0	0	0	0	0	0	0	14	0	13
assemblage-678-943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	8	0	0	0	0	0	0	247	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	11	0	0	0	6
