Assemblage_Name	7304383-9268382-3	3-0-9306298	6856338-0-3	523779-0-3	3-3-6895072	3-0-7258534	1948722-8471672-6253375	659804-0-3	3-3-463397	4-7267941-3685749	1858562-0-3	1948722-8471672-3	7304383-0-3	2-3-8035379	3-2006092-3	3-1342461-1	5387165-4937707-9624156	2-3-8409895	535451-4937707-9624156	3-3-1	3-3-3	3-6724386-1	3-8495508-9019158	3-0-6051285	4282160-3-1	3-0-2597159	7817406-0-3	3-3247137-3	5338604-1376837-9624156	6204230-0-3	3-5281575-3	0-3-4	8104775-3-1	3860843-0-3	5387165-1376837-9624156	4-4937707-3685749	3-3026996-3	3-0-5159523	4-3650649-3	3-1259547-1550513	3-0-9340904	4-7767506-3	1209511-4937707-9624156	3-5309156-3	5387165-4937707-3	3-3-7163157	2754742-3-8035379	3-0-8220839	3-0-6579959	4755969-3-1	3-6523738-3	3-0-4886851	3-9982228-7258534	3-0-1998852	9446379-0-3	5387165-4937707-925340	6114599-3-1	4-2224243-3	4-7759812-3685749	3-1677507-1	3-0-1550513	225098-3-1	4496392-0-3	3-2490508-463397	3-3-6855844	4-4937707-3	8476570-0-3	3-3-5455273	3-0-2094219	4952490-7767506-3	3-2383978-3	3-7577681-7258534	3-4297918-3	3-3-4747833	3-1850913-3	3-0-4	3-0-3	3-4569683-3	1948722-0-3	3-8090685-3	7530442-0-7258534
assemblage-250-731	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	8	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	6	0	0	29	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	84	8	0	0	0	18
assemblage-747-590	0	0	0	8	0	176	0	0	3	0	0	0	17	0	0	0	9	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	118	0	0	0	19
assemblage-96-896	0	0	0	0	0	0	0	0	19	0	0	0	0	37	0	0	23	0	0	89	60	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	33	118	0	0	0	38
assemblage-759-483	0	0	0	0	6	0	0	0	10	0	0	0	0	35	0	0	0	0	0	247	25	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	15
assemblage-677-301	0	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	138	54	0	0	0	0	0	0	0	16	0	0	0	0	0	71	13	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	65	28	0	0	0	12
assemblage-700-275	0	0	0	0	8	0	0	0	16	0	0	0	0	32	0	0	23	0	0	112	37	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	150	0	0	0	29
assemblage-240-941	0	0	0	0	0	0	0	0	0	0	4	0	136	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	148	0	0	0	19
assemblage-467-749	0	0	0	0	0	7	0	0	0	0	0	0	4	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	460	0	0	0	15
assemblage-636-922	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	133	69	0	4	0	0	0	0	0	6	0	0	0	0	0	60	27	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	62	30	0	0	0	15
assemblage-678-943	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	487	0	0	0	13
assemblage-238-92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	404	0	0	0	19
assemblage-747-593	0	0	0	0	0	0	0	0	15	0	0	0	0	0	19	0	47	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	12	0	0	334	0	0	0	20
assemblage-234-493	58	0	0	0	0	90	0	0	35	0	0	0	76	0	0	0	59	0	0	41	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	89	0	0	0	9
assemblage-595-739	0	0	0	0	10	0	0	0	133	0	0	0	0	29	0	0	31	0	0	41	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	26	0	0	0	6	0	0	0	0	0	0	142	0	0	0	7
assemblage-571-457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	349	0	0	0	20
