Assemblage_Name	2-6183765-3	3-1-4411414	8932667-1-2	4459746-1-3	3785268-1-2	2-1-3	2-1-8708333	2-1-8247714	2-9687264-3	2-8926661-3	3-6226411-4	2-8572631-3	5510473-1-3	2508081-1-3	2-2185816-3	7991151-4-2	2-8114921-3	8785037-1-3	3-1-7890162	3-1-2	3-1-4	1411868-1-3	2-1-7841178	2-1-9182502	2-1543104-3	8322843-1-3	2-6137405-3	5302236-1-3	2-1-4016206	580796-1-2	2-1-1364777	4286564-1-3	6574511-9736504-4	8360297-1-3	2-1266148-3	2-7206789-3	1-4-2	5943145-1-3	2-1-4	6574511-1-4	2-1-9550803	4202352-1-3	2-1-4369226	2-1-924753
assemblage-250-731	0	0	0	0	0	164	0	0	0	0	0	0	0	0	0	14	0	0	0	30	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	159	0	0	33	0	0	0	2
assemblage-747-590	0	0	0	0	0	382	0	0	0	0	0	0	0	0	0	0	0	0	0	112	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-96-896	0	0	0	0	0	216	0	0	0	0	0	0	0	0	0	0	0	0	0	101	71	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	65	0	0	10	0	0	0	21
assemblage-759-483	0	0	0	0	0	307	0	0	0	0	0	0	0	0	0	0	0	0	0	145	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-677-301	0	0	0	0	0	249	0	0	0	0	0	0	0	0	0	0	0	0	0	104	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	63	0	0	0	15
assemblage-700-275	0	14	0	0	0	316	0	0	0	0	0	0	0	0	0	0	0	0	0	51	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	49	0	0	0	12
assemblage-240-941	0	0	0	0	0	386	0	0	0	0	0	0	0	0	0	0	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-467-749	0	0	0	0	10	450	0	0	0	0	0	0	9	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-636-922	0	0	0	0	0	256	0	7	0	0	0	0	0	0	0	0	0	0	0	113	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	45	0	0	0	5
assemblage-678-943	0	0	0	0	0	474	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-238-92	0	0	0	0	0	367	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	11	0	6
assemblage-747-593	0	0	0	0	0	317	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-234-493	0	0	0	0	0	299	5	0	0	0	0	0	0	0	0	0	0	0	0	193	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-595-739	0	0	0	0	0	301	0	0	0	16	0	0	0	0	0	0	0	0	0	127	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	8
assemblage-571-457	0	0	0	0	0	331	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	123	0	0	0	0	0	0	0	0	10
assemblage-689-282	0	19	0	0	0	198	0	0	0	0	0	0	0	0	0	0	0	0	0	172	92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	6
assemblage-328-698	11	0	0	0	0	448	0	0	0	0	0	0	0	0	12	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-253-726	0	0	0	0	0	172	0	0	0	0	0	0	0	0	0	10	0	0	0	34	80	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	0	33	0	0	0	3
