Assemblage_Name	4-1-4354783	4-2155655-1	4-1-4590315	3969811-1-1	3-4-4562238	4-3757640-1	4-1-4	4-1-1	4-9267671-1	6060709-3535929-1	7998063-2-2	7279130-1-4809230	4-1-8611296	6481165-1-1	4-1-1193822	4-1537228-1	495536-1-1	6060709-1-1	3-1-0	4-1-6874504	5440078-1-1	0-2-2	5725945-1-1	9342397-1-1	4-4318745-1	4-1-8905774	4-1-1954752	4-1-8632513	4-7656763-1	4-2605795-1	2-1-1	9988552-1-1	4-1-2269865	3814254-1-1	4-1068184-1	7279130-1-1	7279130-5913661-1
assemblage-250-731	0	0	0	0	288	0	6	53	0	0	0	0	0	0	0	0	0	0	145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-747-590	0	0	0	0	0	0	0	453	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	1
assemblage-96-896	0	0	0	0	76	0	55	228	0	0	0	0	0	0	0	0	0	9	85	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-759-483	0	0	0	0	18	0	0	355	0	0	0	0	0	0	0	0	0	0	116	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	4
assemblage-677-301	0	0	0	0	109	0	76	231	0	0	0	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-700-275	0	0	0	0	146	0	23	273	0	0	0	0	0	0	0	0	0	0	26	0	0	18	0	0	0	0	0	0	0	0	0	0	5	0	0	0	9
assemblage-240-941	0	0	0	0	0	0	0	477	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	6
assemblage-467-749	30	0	12	0	0	0	0	356	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	5
assemblage-636-922	0	0	0	0	103	0	49	255	0	0	0	0	0	0	0	0	0	3	83	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-678-943	0	0	15	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	72	0	0	0	0	0	0	0	159	7
assemblage-238-92	0	0	0	0	0	0	0	246	0	0	0	4	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	142	2
assemblage-747-593	0	0	0	0	0	0	0	364	0	0	0	0	0	75	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-234-493	0	0	0	0	0	0	0	428	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	55	0	0	0	0	0	6	0	0	6
assemblage-595-739	0	0	0	0	131	0	24	297	0	0	0	0	0	0	0	0	0	0	18	0	0	3	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0
assemblage-571-457	0	0	0	0	0	0	0	228	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	213	0	0	0	0	0	0	0	52	2
assemblage-689-282	0	0	0	0	143	0	87	132	0	0	0	0	0	0	0	0	0	8	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-328-698	0	0	46	0	0	0	0	347	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	45	11	0	0	0	0	0	11	20	2
assemblage-253-726	0	0	0	0	304	0	5	31	0	0	0	0	0	0	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-340-683	18	0	7	0	0	0	0	347	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53	9
assemblage-730-622	0	0	0	0	81	0	0	321	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	4
assemblage-599-945	0	0	0	0	89	0	18	204	0	55	0	0	0	0	0	0	0	6	63	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-465-737	7	0	22	0	0	0	0	338	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	51	11
assemblage-604-525	0	0	0	0	114	0	61	237	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-604-735	0	0	0	0	119	0	0	350	0	0	0	0	0	0	0	0	0	0	6	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-234-166	0	0	0	0	0	0	0	219	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	224	0	0	0	0	0	0	0	49	1
assemblage-351-499	0	0	0	0	0	0	0	296	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	71	14
assemblage-224-673	0	0	0	0	0	0	0	257	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	139	0
assemblage-669-934	0	0	0	0	0	0	0	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	0	0	0	0	0	114	8
assemblage-455-398	0	0	0	0	85	0	0	306	0	0	0	0	0	0	0	0	0	0	63	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0
assemblage-473-651	0	0	0	0	11	0	23	198	0	0	0	0	0	0	0	0	0	28	121	0	0	108	0	0	0	0	0	0	0	0	9	0	0	0	0	0	2
assemblage-612-775	0	0	0	0	0	0	0	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	0	0	0	44	7
assemblage-268-734	0	0	0	0	293	0	11	41	0	0	0	0	0	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-336-700	0	0	41	0	0	0	0	342	0	0	0	0	10	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	103	1
