Assemblage_Name	1-6749004-3	1-3-6060424	0-2240727-0	3-0-2214839	8819633-3-8824599	1-8156414-7519527	1-3-1517043	1-258511-9258641	6450305-3-3	1-3-6037924	1-3-4463406	1-3-9258641	1-5127672-3	0-6420075-0	1-8156414-5210008	1-3-8461666	13785-3-1517043	0-1449546-0	1-3-2905398	1-8207196-1517043	1-3-276805	0-3376418-0	9291983-4923142-4051409	8184657-4707682-2	1-3-1192933	8685439-2-0	1-2971891-9258641	8184657-0-9576050	1-3-6923148	4671214-2-0	0-4808887-0	0-9904410-0	1880725-0-4051409	1-8526610-1517043	3120498-104923-1517043	8184657-5129830-2	916680-0-2	1-6749004-104376	1-8526610-2877577	1757663-2-0	3326265-2971891-9258641	8723467-3-9258641	1255240-3-9258641	0-8520084-0	3740074-3-9258641	1-8156414-1517043	1-3306794-3	7290849-3-9258641	1057318-8156414-1517043	0-2-0	8819633-3-9258641	1-3-3	0-9904410-9118967	735171-2-0	6631896-3-9258641	49629-3-9258641	0-2-8337021	8184657-396758-2	9890892-0-4051409	7351262-2-0	4-4295029-3	8230383-2-0	0-6229210-0	1-3-2617796	2-4145887-982476	9938460-0-2	0-2-4160314	9167500-2-0	1-8156414-186313	8819633-2230716-9258641	8184657-0-9809282	0-3611706-0	1-2919486-9258641	3-0-1	4-4-3	1-8194289-9258641	8184657-0-6364866	0-2240727-55391	1200528-6420075-0	4896893-0-2	2-4196683-982476	6441791-2-0	9291983-0-4051409	1319660-2-0	8184657-0-4051409	9134804-0-2	8184657-0-2	0-6647474-0
assemblage-250-731	0	0	0	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	7	16
assemblage-747-590	0	0	0	0	0	0	6	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	380	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	16
assemblage-96-896	7	0	0	0	0	0	60	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	13	0	0	0	134	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	14	18	0	0	0	0	0	36	0	0	0	18	0	74	30
assemblage-759-483	0	0	0	0	0	0	19	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	119	0	0	0	75	0	87	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	17	0	9	13
assemblage-677-301	0	0	0	0	0	0	51	9	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	51	0	0	0	113	0	93	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	18	0	0	0	0	0	0	7	0	0	0	50	0	11	12
assemblage-700-275	0	0	0	0	0	0	56	0	0	0	0	40	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	21	0	0	0	0	8	0	0	0	0	0	0	0	42	0	0	0	25	0	87	0	0	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	0	0	5	50	0	0	0	0	0	7	0	0	0	45	0	40	4
assemblage-240-941	0	0	0	0	0	0	27	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	99	0	70	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	16	7
assemblage-467-749	0	0	0	0	0	0	0	0	0	0	0	206	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	102	0	27	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	12
assemblage-636-922	0	0	0	0	0	0	26	11	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	59	0	0	0	131	0	95	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	7	0	0	0	0	0	0	10	0	0	0	48	0	9	21
assemblage-678-943	0	0	0	0	0	0	0	0	0	0	0	254	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	53	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	87	10
assemblage-238-92	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	158	65	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	19
assemblage-747-593	0	0	40	0	0	0	11	0	0	0	0	283	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	4	13
assemblage-234-493	0	0	3	0	0	0	0	0	0	0	0	32	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	113	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	126	0	57	4	0	35	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	16
