Assemblage_Name	3-5583905-0	3-8169511-5777736	3-9236826-2	962386-0-7758380	1-3-7168663	1615535-9514046-2	1076290-0-2	1-6863286-2	1-3-6166187	1-3-3087818	5900629-3-2	3-8169511-0	962386-0-2	2877882-3-6884112	3-8169511-7795566	2910558-8169511-3414351	1-891337-2	3-8169511-524382	1-3-9317215	2910558-9209009-0	3-2-2	7374824-0-2	447837-8169511-0	1-3-1277913	1-0-4579588	1-9286612-2	5629208-2-2	1-8246825-2	7755904-0-2	1-3-1142044	2910558-8169511-0	1-0-4433820	2590210-0-2	1-7175332-2	1-9641998-2	8583753-4134718-2	7930743-3-2	3-563162-2	1-1627680-2	2910558-8301605-0	0-3-3	1135151-8169511-0	1-5924029-2	5985277-3-2	1-3-3861070	2910558-6890276-0	1-0-3418858	962386-0-3455253	1-3-4211617	2282963-3-2	5954042-3-2	1-0-7276356	6484003-3-3993279	3544158-0-2	1-3-1673484	0-2-3	1-3-2344215	1-3-8660686	1177105-3-2608301	1-3-8072236	1-3-2	1-6863286-5343237	1-7463809-2	7778201-3-2	1-4134718-2	900661-0-2	3-8169511-5761833	1-9514046-2	58318-3-2	3312334-4860533-0	2836663-8169511-0	9227755-3-2	2910558-8169511-4600213	5985277-2743983-2	1-0-2	58318-8913995-2	1495795-0-7985680	1-3-4790414	5629208-8009204-2	9973309-3-2	7868919-4860533-0	1-1416352-2	3-8169511-2714502	962386-0-2597279	1626041-9236826-2	3-8169511-8895032	9424168-4860533-0	2910558-4860533-0	1177105-3-2	2858988-3-2	1-9693146-7486245	3-0-2	7324168-4134718-2	1028342-3-2	7524879-3-3	5311752-3-2	9170936-3-2	1-2942762-1142044	1-3-6884112	1495795-0-2	6973705-0-3418858	1-3-488446	3431506-0-2	1-0-3981688
assemblage-250-731	0	0	41	0	0	0	6	0	0	0	0	5	73	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	48	0	6	0	0	0	0	0	0	11	0	0	0	0	0	0	0	7	0	0	0	0	4	0	0	25	0	0	0	8
assemblage-747-590	9	0	0	0	0	15	0	0	0	0	0	80	165	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	4	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-96-896	0	0	13	0	0	0	0	0	0	0	0	63	71	0	0	0	0	0	0	0	16	0	0	0	0	0	6	0	0	0	18	0	0	0	0	0	0	34	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	4	33
assemblage-759-483	0	0	77	0	0	0	0	0	0	0	0	69	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	198	0	0	0	0	0	0	17	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
assemblage-677-301	0	0	18	0	0	0	0	0	0	0	0	46	57	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	4	29	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	4	0	0	0	0	0	0	98	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	28
assemblage-700-275	0	0	29	0	0	0	0	0	0	0	0	28	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	47	0	0	0	0	6	0	0	0	0	0	7	0	0	0	0	0	33	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	38
assemblage-240-941	0	0	0	0	42	0	0	0	0	0	0	16	133	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	208	0	0	0	0	0	0	54	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10
assemblage-467-749	0	0	0	0	0	0	0	5	0	0	0	24	0	0	0	0	0	37	0	0	0	92	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	20	0	0	75	0	0	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-636-922	0	0	15	0	0	0	0	0	0	0	0	40	84	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	24	0	5	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	9	0	0	0	0	0	0	80	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	29
assemblage-678-943	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	6	40	0	0	26	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	118	0	0	0	0	0	0	0	0	0	0	0	0	51	4	0	0	0	0	18	0	12	0	0	0	0	0	0	0	19
assemblage-238-92	0	28	0	0	0	0	0	0	0	0	0	196	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	16	0	0	0	0	0	98	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-747-593	0	0	0	0	0	0	0	0	0	0	0	13	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	45	0	0	104	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-234-493	0	0	0	0	0	0	0	0	0	0	0	63	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	237	0	0	0	31	0	0	0	0	0	0	0	56	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-595-739	0	0	4	13	0	0	0	0	0	0	0	77	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137	0	0	0	0	0	0	66	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-571-457	0	16	0	0	0	0	0	0	0	0	0	236	0	40	0	0	10	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	6	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
