Assemblage_Name	1043442-4-1472542	1217247-4-6775379	4-4748766-2100757	162894-4748766-3	3-9068777-2	4-4748766-3	4-4-6775379	3-1-2	4-2175226-3	811218-4379212-2	4-137473-3	4-220099-3	811218-3-390928	4-5006292-3	4-1073686-3	4-3221010-3	1-9073812-3	4-1543776-3	0-0-4	9543974-4-3	6673487-6002430-3	8120452-8596222-3	4-4-395929	811218-3188780-2	3-9041625-3179699	1063807-4748766-3	4-4748766-7411675	5347388-3-8362551	7997158-4-3	754608-4-3	4-8596222-3	3-9041625-5998064	1545235-4748766-3	811218-3-4372617	3-3-2	1949563-4-3	811218-3-8542671	2109182-4-3	3-9041625-2	4-4-8839664	4-3-0	1043442-4-3	624605-4-3	4-4-8726672	3-3-6147646	1-4-4782632	811218-3-2	4-4-9505848	4-4781806-3	9913308-4-3	5529921-4-3	3486646-4-9505848	4-9423680-3	4-4-631641	211564-7002494-2485146	1-4-3	4-4781806-4212826	4-3425119-3	6361050-3-2	7480046-1-2	1-4-6049923	4-4748766-6298675	1549130-4-3	4-1149537-3	0-0-7768438	4-2174075-3	3-7002494-2	1117770-4-3	4-4846243-2100757	1-1600200-3	4914092-4-3	4-4534339-3	4-4-3	1-4-6274785	9253059-4-3	4-4748766-2386001	211564-7002494-2	4-4368552-3	9661428-3-2	4-4557039-3	6165475-4-631641
assemblage-581-474	0	0	22	0	0	58	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	39	0	8	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	0	0	39	0	27	0	0	13	0	0	0	0	9	0	0	0	0	0	0	125	0	0	0	0	0	0	0	33
assemblage-227-549	0	0	0	0	0	74	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	62	0	0	0	33	0	0	0	0	0	0	0	21	18	0	2	0	0	0	6	0	42	0	0	0	0	0	8	0	0	0	0	24	0	0	0	0	0	151	0	0	0	17	0	0	0	16
assemblage-606-491	0	0	0	0	0	84	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	52	0	0	0	45	0	0	0	0	0	0	0	19	26	0	19	0	0	0	8	0	45	0	0	0	0	0	7	0	0	0	0	9	0	0	0	0	0	124	0	0	0	9	0	0	0	30
assemblage-673-568	0	0	0	0	0	0	29	19	0	0	0	0	0	0	0	0	5	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	32	0	0	8	0	20	0	0	0	9	0	0	34	0	22	0	0	0	0	0	0	0	4	0	0	4	0	0	0	0	0	187	0	0	0	28	0	0	0	12
assemblage-702-358	0	0	0	0	6	69	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	39	0	0	0	0	0	0	0	25	17	0	6	0	0	0	0	0	33	0	0	0	0	0	5	0	0	0	0	10	0	0	0	0	0	168	0	0	0	7	0	0	0	38
assemblage-494-372	0	0	0	0	0	84	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	32	0	0	0	0	0	0	0	36	35	0	8	0	0	0	6	0	42	0	0	0	0	0	7	0	0	0	0	9	0	0	0	0	0	144	0	0	0	11	0	0	0	18
assemblage-558-310	0	0	0	0	0	0	33	20	0	0	0	0	0	0	0	0	5	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	10	4	0	0	0	0	16	0	8	0	8	0	0	18	0	25	0	0	0	7	0	0	0	0	9	0	0	0	0	0	0	0	233	0	0	0	9	0	0	0	19
assemblage-497-574	0	0	0	0	0	39	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	9	0	0	46	0	0	0	0	14	21	0	0	0	0	0	21	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	194	0	0	0	30	0	0	0	39
assemblage-605-473	0	0	0	0	0	0	21	8	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	54	0	0	0	0	0	9	13	0	0	0	0	6	0	6	0	14	0	0	23	0	18	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	246	0	0	0	7	0	0	0	35
assemblage-348-355	0	0	0	0	0	11	12	7	0	0	0	0	0	0	0	0	13	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	11	0	0	35	0	0	14	0	37	0	0	0	0	0	0	19	0	27	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	200	7	0	0	24	0	0	0	16
assemblage-616-507	0	0	0	0	0	0	30	14	0	0	0	0	0	0	0	0	3	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	9	7	0	0	0	0	7	0	0	0	4	0	0	36	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	220	0	0	0	14	0	0	0	40
assemblage-532-354	0	0	0	0	0	28	8	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	26	0	0	55	0	0	0	0	14	13	0	0	0	0	0	21	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	217	0	0	0	15	0	0	0	32
assemblage-363-547	0	0	0	0	0	0	44	17	0	0	0	0	0	0	0	0	12	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	35	0	0	6	0	20	0	0	0	0	0	0	37	0	15	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	164	0	0	0	15	0	0	0	43
assemblage-529-629	0	0	25	0	0	56	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	47	0	17	0	0	16	0	0	0	0	6	0	0	0	0	0	0	120	0	0	0	0	0	0	0	30
assemblage-707-574	0	9	13	0	0	79	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	26	0	0	0	16	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	69	0	22	0	0	24	0	0	0	0	0	19	0	0	0	0	0	83	0	0	0	0	0	0	0	28
