Assemblage_Name	8020814-8964765-2	1571602-6356874-2367646	667829-3094242-6716230	4-1516772-2367646	4-3030332-8629561	9109269-0-4297115	251060-5676019-2367646	4-7433406-2	9109269-0-9815832	9109269-7620275-0	7377128-3094242-0	4-3030332-1139066	9109269-5549616-0	9109269-6108410-1384332	4-4-1841504	4896932-3094242-0	4712802-4-2886910	4798436-5549616-1384332	4-4-737348	9109269-2729442-0	0-1-4	6485327-3-4470143	2210303-3094242-1973693	667829-9362222-3371690	667829-4-6300612	667829-5714708-6716230	667829-5408549-6716230	9109269-4445393-0	2-0-1	3-5138071-2886910	9109269-4445393-8796775	4-3-1	4-1-1615880	4-4279114-5883522	6954031-4-2	4-4-6291397	9109269-5549616-884757	9109269-7633401-0	4-4-2283843	4-4-5967377	5620971-4-2886910	5663179-3094242-6716230	521935-4-2	4-3-3844105	69091-5549616-0	3-6693351-4	1528813-6693351-4	4-55980-1139066	2925315-5676019-2367646	4-3068439-5883522	8570428-5549616-0	4-2-3	4-4-1468970	1656625-3094242-0	4-2783577-1139066	3-4-4	4-4-5883522	3-5138071-6003297	4-6766358-1249420	2555832-4-2886910	4-4-3691054	1-0-0	4-4-5105334	667829-3094242-7888251	4-4-5595280	4-3-2416534	1-9848628-0	4-1-3	4-4-1139066	4-5676019-2367646	4276794-3094242-0	667829-3094242-0	7936591-3094242-0	9109269-5549616-1565040	4-4-8504583	4-8964765-2	4-4-4608632	9109269-0-7686384	4-6346433-2367646	5620971-4-1967425	1571602-5676019-2367646	3-4-2886910	4-4-0	4-4-2	9109269-5549616-1384332	9109269-0-0	6582915-4-737348	4-4-1249420	667829-3094242-3371690	4-4-8359385	3-7317786-2886910	4-4-4651034
assemblage-581-474	3	10	43	3	0	0	0	0	0	12	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	12	0	0	0	0	0	4	0	0	0	0	0	38	0	0	0	0	0	100	6	0	8	0	6	9	0	0	0	0	0	0	10	0	46	28	0	0	12	0	46	0	47
assemblage-227-549	0	0	22	0	0	0	0	0	10	21	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	21	0	15	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	39	23	0	0	0	0	11	8	0	0	0	0	0	20	6	0	21	0	0	0	0	0	0	2	0	0	26	0	66	10	14	0	0	0	0	0	61
assemblage-606-491	0	0	27	0	0	0	0	0	0	17	0	0	56	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	20	0	12	0	0	0	0	0	6	0	0	7	0	0	8	0	0	0	44	12	0	0	0	0	12	15	0	0	0	5	0	8	25	0	34	0	0	0	0	0	0	4	0	6	24	0	56	12	21	0	0	0	0	0	39
assemblage-673-568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	8	0	0	0	0	0	0	6	0	0	10	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	29	13	0	0	64	15	0	0	0	0	34	0	0	0	9	0	0	0	12	0	87	0	0	0	0	0	0	0	0	0	20	28	38	0	69	0	0	0	0	0	36
assemblage-702-358	0	0	17	0	0	0	0	0	0	14	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	23	0	8	0	0	0	0	0	3	0	0	7	0	0	6	0	0	0	50	15	0	0	0	0	7	22	0	0	0	0	0	11	13	0	34	0	0	0	0	0	0	5	0	7	29	0	67	5	18	0	0	0	0	0	66
assemblage-494-372	0	0	25	0	0	0	0	0	0	16	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	15	0	8	0	0	0	0	0	5	0	0	0	0	0	6	0	0	0	34	25	0	0	0	0	6	8	0	0	0	0	0	10	0	0	39	0	0	0	0	0	0	16	0	6	31	0	60	6	27	0	0	0	0	0	67
assemblage-558-310	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	48	0	0	18	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	13	0	0	54	9	0	0	0	0	67	0	0	0	0	0	17	0	5	0	34	0	0	0	0	0	0	0	0	0	0	20	29	0	96	0	0	0	0	0	40
assemblage-497-574	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	16	0	0	0	0	15	0	0	0	0	0	0	0	0	7	0	0	0	32	12	0	0	0	0	42	11	0	0	0	0	0	0	15	0	73	0	0	0	0	0	0	0	0	0	13	0	102	0	41	0	0	0	0	0	66
assemblage-605-473	0	0	0	0	0	4	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	38	0	0	25	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	8	0	0	36	10	0	0	0	0	79	0	0	0	0	0	18	0	9	0	43	0	0	0	0	0	0	0	0	0	7	26	34	0	94	0	0	0	0	0	40
assemblage-348-355	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	16	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	7	11	0	0	72	28	0	0	0	0	28	10	0	0	5	0	0	0	20	0	77	0	0	0	0	0	10	0	0	0	12	11	64	0	41	0	0	10	0	0	27
