Assemblage_Name	7974279-2207312-3	0-528526-3	7574058-5155108-1	821929-8044144-1	7954219-3884461-4	7574058-4-5909	3615943-1-1	7574058-4-1	3-5437407-3	5279061-0-3	4-3610470-3	3-9692364-3	3814593-2207312-3	513475-0-9212060	2-2108495-6453549	2-4-6453549	3-2207312-3	9413297-0-1	7574058-4-1236427	2582741-2207312-3	6872228-1-1	4122158-4-1	821929-4-7253315	1-1-1	4963336-0-2	7574058-4-1755497	3-3-0	2038592-4-1	821929-4780714-1	7913486-2207312-3	2-4-3210823	7830524-631000-1	6776560-0-2	4-5094313-8595641	7574058-2300963-6680392	0-6057807-3	3615943-1-8015757	7574058-2442403-1	3387219-2-1	7574058-4-7662975	3-2757718-3	1-5732977-1	4-3-3	4-8402661-951790	304532-6024111-1	6776560-0-3041753	0-3884461-4	436631-2-1	7574058-4-490462	513475-0-2	3-8939994-3	513475-8898551-2	5863736-3610470-3	2-1306929-1	1914395-9096436-1	3615943-1-5648915	783611-2-4	9646823-0-3	4-3610470-951790	7574058-2300963-1170370	7574058-4-2218619	3-2207312-3975221	0-2-3	0-2-0	0-2-4	7574058-2300963-3258393	3-2207312-326398	821929-4-1	4-5075462-3	4-2-1	7574058-2300963-1	513475-0-332405	9301939-4-1	9297642-2207312-3	3-2207312-1514126	3-9271411-3	4-3-4983700	0-8783186-4	1-0-3	1-6024111-1	2850944-1-1	7574058-4-7665662	1914395-4-1	1-631000-1	594932-4-490462	3615943-1-4285462	2-4-3609047	4863846-4-1	2253879-4-1	2-4-1	7574058-3071726-1	196349-3610470-3	8974256-0-2	5206438-0-2	6932268-3-0	2-4766687-3609047	7574058-2300963-8434838	4-5094313-3	4-1074577-0	4-5585449-1	3788200-1-1
assemblage-581-474	0	0	0	0	0	0	127	59	0	0	0	0	0	0	0	0	177	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-227-549	0	0	0	0	0	0	31	56	0	17	13	0	0	0	0	0	114	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	13	0	0	0	0	0	0	0	24	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-606-491	0	0	0	0	0	0	34	75	0	12	19	0	0	0	0	0	110	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	58	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	11	0	0	0	0	0	0	0	20	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	20
assemblage-673-568	0	0	0	0	0	0	5	0	0	0	68	0	0	0	0	0	24	26	0	0	0	0	0	14	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	9	4	0	76	0	0	0	0	0	0	10	0	0	0	0	0	22	0	78	0	0	56	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	29
assemblage-702-358	0	0	0	0	0	0	30	77	0	7	19	0	0	0	0	0	80	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	68	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	5	0	0	0	0	0	0	0	31	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	20
assemblage-494-372	0	0	0	0	0	0	19	66	0	2	10	0	0	0	0	0	121	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	70	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	6	0	0	0	0	0	0	0	29	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	21
assemblage-558-310	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	37	19	0	0	0	0	0	4	0	0	31	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	20	12	0	29	0	0	0	0	0	0	0	0	0	0	0	0	60	11	51	0	0	74	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	13
assemblage-497-574	0	0	0	0	0	0	26	18	0	0	55	0	0	0	0	50	87	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	75	0	0	0	0	0	0	0	0	0	0	20	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20
assemblage-605-473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	16	0	0	0	0	0	10	0	0	34	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	72	0	0	0	15	6	0	32	0	0	0	0	0	0	0	0	0	0	0	0	39	13	88	0	0	54	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	34
assemblage-348-355	0	0	0	0	0	0	12	0	0	0	40	0	0	0	0	29	56	3	0	0	0	0	0	21	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	11	0	0	0	5	0	0	104	0	0	0	0	0	0	5	0	0	0	0	0	0	0	34	0	0	90	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	7	0	0	0	0	0	26
