Assemblage_Name	0-3-5960757	1-5670622-2	4267247-2-2	9331227-1489243-702450	0-3-1914634	1-4-1034851	4-6560864-3	1084405-1-9410831	4-9332730-3	9326259-1-9410831	668899-0-1	4083542-6678262-4	0-4895173-8246569	0-1-9410831	4-1-3	0-8364436-4	6746964-3-4	9331227-0-389080	4083542-331682-4	9331227-1489243-3911688	4083542-3-4	0-1-2	7191688-3-4	0-1-6737455	4083542-7220265-4	4953351-3-1	887133-3-1	5626659-1-9410831	1-2-7951770	1-2-6888927	0-3-3596329	2594983-1-9410831	4083542-3-6747246	0-2-1	0-3-8246569	2198857-3-5960757	3718048-3-4	1-1731409-2	4083542-9842609-6747246	1-3-1	2012216-3-4	0-1-1236168	4387694-3-4	9331227-0-9548052	2-0-1	4-1-5112150	9331227-0-7771250	0-6144828-1	9331227-0-6713014	2910737-0-9548052	0-3-4	8782577-9443837-3	9331227-1489243-9548052	1-5936326-2	0-5512196-1	4387694-3-854309	4083542-3-6994675	1-2-2	1-2-4	2238867-2-2	1-4-2	1-3-50275	0-1-7415835	2-5080591-1	2-0-7673815	1-9183806-2	0-1825020-9410831	4-9443837-3	1940309-2-1	2-117042-1	1-7517211-2	4-1093652-3	2-0-9548052	4123760-5936326-2
assemblage-581-474	0	0	0	0	0	0	0	0	25	0	0	0	0	63	16	0	0	0	0	0	39	0	8	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	13	19	0	0	0	0	22	0	122	0	55	0	0	20	0	27	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	14
assemblage-227-549	10	0	0	0	0	3	0	0	31	0	0	0	19	66	53	8	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	143	0	16	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
assemblage-606-491	0	0	0	0	0	3	0	0	34	0	0	0	14	69	38	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	167	0	9	11	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
assemblage-673-568	0	0	0	0	0	0	0	0	0	0	0	0	0	39	55	0	0	0	0	0	0	14	0	0	0	0	0	0	12	6	0	0	0	15	0	0	0	0	0	3	0	0	0	44	106	0	0	3	0	0	90	0	0	20	0	0	0	53	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	17
assemblage-702-358	14	0	0	0	0	5	0	0	41	0	0	0	21	54	51	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	184	0	5	8	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-494-372	10	0	0	0	8	6	0	0	30	0	0	0	23	64	46	16	0	0	0	0	9	11	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	135	0	16	11	0	0	0	14	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	10
assemblage-558-310	0	0	12	0	0	0	0	0	0	0	0	0	0	51	50	0	0	0	0	0	0	23	0	8	0	0	0	0	11	0	0	0	0	14	0	0	0	0	0	7	0	0	0	35	77	0	0	0	0	0	17	0	0	15	0	0	0	127	0	0	18	0	0	0	0	8	0	0	0	0	0	0	4	23
assemblage-497-574	0	0	0	0	0	0	0	0	40	0	0	0	0	16	55	13	0	0	0	0	0	18	0	0	0	0	16	0	0	0	0	0	0	18	11	0	0	0	0	0	0	0	0	50	51	0	0	0	0	0	112	0	0	16	7	0	0	55	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-605-473	0	0	0	0	0	0	6	0	0	0	0	0	0	45	43	0	0	0	0	0	0	36	0	8	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	12	0	0	0	35	56	0	0	0	0	0	41	0	0	15	0	0	0	117	0	0	30	0	0	0	0	0	0	0	0	0	0	0	3	32
assemblage-348-355	0	0	0	0	0	0	0	0	8	0	0	0	0	24	47	9	0	0	0	0	0	30	0	0	0	0	8	0	0	9	0	0	0	14	5	0	0	0	0	0	0	0	0	37	76	0	0	0	0	0	108	0	0	35	7	0	0	56	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-616-507	0	0	0	0	0	0	0	0	0	0	0	0	0	52	50	0	0	0	0	0	0	28	0	13	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	9	0	0	0	31	73	0	0	0	0	0	23	0	0	22	0	0	0	121	0	0	36	4	0	0	0	0	0	0	0	0	0	0	0	27
assemblage-532-354	0	0	0	0	0	0	0	0	38	0	0	0	0	30	46	7	0	0	0	0	0	20	0	0	0	0	20	0	0	0	0	0	0	15	6	0	0	0	0	0	0	0	0	67	55	0	0	0	0	0	96	0	0	23	9	0	0	38	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-363-547	0	0	0	0	0	0	0	0	6	0	0	0	0	42	55	0	0	0	0	0	0	11	0	0	0	0	2	0	14	8	0	0	0	24	0	0	0	0	0	0	0	0	0	32	102	0	0	0	0	0	73	0	0	14	0	0	0	74	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	26
assemblage-529-629	0	0	0	0	0	0	0	0	8	0	0	0	0	68	24	0	0	0	0	0	56	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	47	0	0	0	0	16	0	122	0	39	0	0	12	0	34	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	20
assemblage-707-574	0	0	0	0	0	0	0	0	24	0	0	0	0	15	11	0	0	0	0	0	39	0	7	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	16	45	0	0	0	0	11	0	127	0	61	0	0	0	6	48	0	0	0	0	0	0	0	0	0	70	0	0	0	0	0	12
assemblage-363-465	0	0	0	0	0	0	0	0	0	0	0	0	0	58	50	0	0	0	0	0	0	0	0	0	0	0	9	0	9	0	0	0	0	6	0	0	0	0	0	0	0	0	0	45	99	0	0	0	0	0	94	0	0	13	0	0	0	70	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	33
assemblage-368-631	0	0	0	0	0	0	0	0	14	0	0	0	0	19	43	0	0	0	0	0	16	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	0	219	0	38	0	0	0	0	25	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	16
assemblage-411-672	0	0	0	0	0	0	0	0	16	0	0	0	0	30	53	14	0	0	0	0	0	15	0	0	0	0	8	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	34	87	0	0	0	0	0	99	0	0	27	14	0	0	26	0	0	23	0	0	0	0	0	0	0	4	0	0	0	0	27
assemblage-348-464	0	0	0	0	0	0	0	0	24	0	0	0	0	29	45	15	0	0	0	0	0	11	0	0	0	0	11	0	0	9	0	0	0	12	0	0	0	0	0	0	0	0	0	42	72	0	0	0	0	0	110	0	0	12	17	0	0	52	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	14
assemblage-698-498	0	0	0	0	0	0	0	0	46	0	0	0	0	18	58	6	0	0	0	0	0	9	0	0	0	0	14	0	0	0	0	0	0	9	18	0	0	0	0	0	0	0	0	84	54	0	0	0	0	0	101	0	0	17	17	0	0	30	0	0	8	0	0	0	0	0	0	0	0	9	0	0	0	2
assemblage-497-493	0	0	0	0	0	0	0	0	16	0	0	0	0	62	31	0	0	0	0	0	0	11	0	0	0	0	6	0	11	13	0	0	0	11	0	0	0	0	0	11	0	0	0	40	88	0	0	0	0	0	87	0	0	7	0	0	0	68	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-409-524	0	0	0	0	0	0	0	0	19	0	0	0	8	42	33	0	0	0	0	0	23	0	0	0	0	0	33	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	187	0	40	6	0	0	0	19	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	14
assemblage-696-326	0	0	0	0	0	0	0	0	0	0	0	0	0	45	66	0	0	0	0	0	0	19	0	14	0	0	0	0	12	0	0	0	0	16	0	0	0	0	0	13	0	0	0	25	62	0	0	0	0	0	20	0	0	20	0	0	0	103	0	0	28	0	0	0	0	9	0	0	0	0	0	0	15	33
assemblage-404-579	0	0	0	0	0	0	0	0	31	0	0	0	0	37	40	4	0	0	0	0	0	11	0	0	0	0	22	0	0	0	0	0	0	5	19	0	0	0	0	0	0	0	0	78	43	0	0	0	0	0	130	0	0	18	8	0	0	44	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-596-514	0	0	0	0	0	0	0	0	18	0	0	0	6	31	26	0	0	0	0	0	22	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	198	0	43	0	0	0	0	29	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	12
assemblage-387-549	0	0	0	0	0	0	0	0	10	0	0	0	0	18	9	0	0	0	0	0	58	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	78	0	0	0	0	0	12	128	0	69	0	0	0	0	45	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	13
assemblage-612-665	0	0	0	0	0	0	0	0	31	0	0	0	0	18	12	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	50	0	0	0	0	13	0	163	0	53	0	0	0	0	25	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	29
assemblage-432-615	0	0	0	0	0	0	0	0	35	0	0	0	0	28	65	4	0	0	0	0	0	10	0	0	0	0	20	0	0	0	0	0	0	13	19	0	0	0	0	0	0	0	0	67	40	0	0	0	0	0	112	0	0	11	9	0	0	44	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	2
assemblage-767-668	0	0	0	0	8	20	0	0	25	0	0	0	20	94	62	0	0	0	0	0	9	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	120	0	10	12	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-525-510	5	0	0	0	7	5	0	0	39	0	0	0	17	79	39	0	0	0	0	0	9	6	0	0	0	0	63	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	31	0	0	0	0	0	0	135	0	23	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-543-479	0	0	0	0	0	0	0	0	25	0	0	0	11	33	18	0	0	0	0	0	23	0	0	0	0	0	28	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	193	0	52	0	0	0	0	22	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	11
assemblage-275-306	0	0	0	0	0	0	0	0	15	0	0	0	9	50	24	0	0	0	0	0	29	0	0	0	0	0	36	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	210	0	18	0	0	0	0	20	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	10
assemblage-436-616	0	0	0	0	0	0	0	0	23	0	0	6	0	55	17	0	0	0	0	0	57	0	8	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	3	0	0	0	12	19	0	0	0	0	51	0	112	0	33	0	0	7	0	16	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	14
assemblage-535-590	4	0	0	0	0	10	0	0	28	0	0	0	15	90	49	4	0	0	0	0	6	4	0	0	0	0	42	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	24	0	0	0	0	0	0	148	0	20	6	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
