Assemblage_Name	1-0-7852484	4655917-4265420-7649531	0-4-8235043	3-7878272-2	1-2644862-3310582	5017311-0-3199969	6209716-0-8185053	4-649363-271110	2-9063681-3701724	1-0-739105	5433885-6214186-6726111	4-649363-5643242	1341130-0-8943600	1-1-7196694	8803734-6214186-1	1-1-9777838	2-1613979-5261066	0-0-7649531	4971831-0-8875078	1243314-0-8943600	1-218514-3310582	4-649363-150844	0-4-9104693	2-1613979-1627432	4174474-0-1	1-0-986037	7096596-0-809460	4-4-1428740	5433885-6214186-1	6832936-0-8875078	9172571-0-8875078	2026389-9854493-5643242	5433885-6214186-7554319	1-1-1	1-0-8185053	9963407-0-8875078	2-6214186-1	2-9063681-0	2-4493482-0	7124993-0-8943600	4-4-2405380	2-1613979-3733654	3-0-8875078	8876226-0-8875078	2-1613979-1905501	9916902-4-359417	7096596-0-3310582	0-4-3	4-649363-6047769	4-1-4097019	3-5426170-8875078	4-4-4152324	2-3487489-1433072	0-5737548-9104693	4-9449060-5643242	6599431-5737548-9104693	1847982-4-8235043	4-3829152-2405380	4-4-715430	0-5737548-7794691	1-7033830-3310582	4-646973-5643242	2-7831762-1	5433885-2253590-1	4-951884-5643242	2-0-1	1-0-8943600	235435-649363-5643242	2-4951006-1289580	1-5760760-4	0-0-3678844	6531447-649363-5643242	2-9063681-9110589	2026389-3206116-5643242	1-0-3310582	2-1613979-0	0-2389478-9104693	5433885-6214186-2808782	5611894-9608982-8875078	133654-4-5643242	4-7432689-2405380	5017311-0-3310582	3730958-4-9104693	2-1372244-639133	5433885-6214186-2837340	8135070-4-2405380	3743906-4-359417	8876226-4837216-8875078	0-4-353949	9172571-0-6842828	4-4-4645047	6620803-0-8943600	0-4-4783251	1-0-7463177	1174078-5737548-9104693	1-4770326-1	1-0-7497843	1183167-649363-5643242	4-172741-5643242	3069535-0-8875078	1-8185733-3310582	3-4-2	8441012-0-7649531	9963407-0-7963202	2-6214186-1614059	0-4-5702325	7097074-0-7463177	4-4-5643242	8800678-2253590-1	6467559-649363-5643242	4-3206116-5643242	3743906-4-9955979	4-7743679-5643242	4-1-2	3-9608982-8875078	3171588-6214186-1	5303043-0-8943600	3-8836121-8875078	2865102-1613979-0	1-1-7886194	4-649363-1818432	2-3487489-1	2-9063681-639133	2913003-0-8943600	2672203-7033830-3310582	1-1-3868010	0-4758586-7649531	3-6690495-8875078	2-4-1	3755377-1-1	5551520-649363-5643242	1-5775990-3310582	0-0-4987103	651852-4-8235043	3-5426170-4867891	6349702-649363-1818432	0-9416239-8235043	9759934-4770326-1	1-0-279959
assemblage-581-474	0	0	29	0	0	0	6	0	0	0	8	83	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	21	0	0	34	0	0	0	0	0	0	10	0	0	0	0	20	0	0	0	0	47	6	7	0	0	0	0	0	0	0	19	0	0	75	0	0	0	0	0	0	7	10	16	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62
assemblage-227-549	0	0	28	0	0	0	0	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0	62	0	0	0	0	0	0	4	0	0	0	13	0	0	52	8	0	0	0	0	12	0	0	0	0	7	0	0	0	0	0	20	0	0	0	0	6	0	0	0	0	0	0	0	77	0	0	0	0	0	0	9	23	22	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	10	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	63
assemblage-606-491	0	0	17	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	5	0	0	82	9	0	0	0	0	8	0	0	0	0	6	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	5	108	0	0	0	0	0	0	8	25	34	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	9	0	0	0	0	0	0	0	0	0	0	0	5	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	50
assemblage-673-568	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	15	0	0	0	0	0	0	29	6	0	0	50	0	0	26	0	0	0	32	20	31	0	0	0	10	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	14	0	0	10	0	0	0	0	0	76	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	71
assemblage-702-358	0	0	23	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	18	0	0	80	6	0	0	0	0	10	0	0	0	0	10	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	6	89	0	0	0	0	0	0	15	19	38	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	3	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	47
assemblage-494-372	0	0	17	0	0	0	0	0	0	6	0	49	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	0	6	0	0	0	15	0	0	79	14	0	0	0	0	14	0	0	0	0	11	0	0	0	0	0	14	0	0	0	0	7	0	0	0	0	0	0	0	73	0	0	0	0	0	0	11	26	32	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	47
assemblage-558-310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	48	26	38	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	11	0	0	0	0	0	0	0	0	147	15	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	4	0	19	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	51
assemblage-497-574	0	9	14	0	0	13	0	0	0	13	0	0	0	0	0	0	0	43	0	14	0	0	32	0	0	0	0	0	0	19	0	0	0	19	0	0	35	20	0	0	18	0	14	0	0	0	0	9	0	0	13	0	0	0	0	0	0	0	0	0	0	0	24	0	0	7	20	0	0	0	0	0	0	0	35	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	17	68
assemblage-605-473	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	0	28	0	0	0	0	0	0	3	0	0	0	30	0	0	0	0	0	0	35	3	30	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	19	0	0	0	0	0	0	0	0	136	10	0	0	0	0	0	0	0	0	0	0	6	0	0	0	8	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	12	0	13	0	0	0	0	0	0	0	8	0	0	0	0	0	0	9	8	0	0	0	0	0	0	0	0	47
assemblage-348-355	0	0	16	0	0	0	0	0	0	3	0	0	0	0	0	0	0	22	0	0	0	0	22	0	0	0	0	0	0	35	10	0	0	25	0	14	24	28	0	0	24	4	22	0	11	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	6	15	29	0	8	0	0	0	0	0	49	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	64
