Assemblage_Name	0-1338623-0	8747331-8930128-1	2-4-2982587	0-5159256-4	0-4-292997	4-0-4445697	2-4-2191077	6388987-0-4	4-9026935-4	5596768-4-1	4-1-2	0-4-1	0-4-0	4-539373-4	0-4-5555283	9241047-0-4	4-0-2209262	0-1191876-1	4-0-2218569	0-4-2087755	3946129-4332222-4	1080190-2-0	9737018-4-1	4-0-4	3-1-0	0-0-2700634	0-0-4	4903431-0-4445697	5162307-4-8190531	0-2-1	0-1388561-1	0-4-7096234	4-4332222-4	3-1-4574635	0-9435162-1	9488436-4-0	0-4-7048296	4-9618000-4	8314140-4-0	0-1155201-4	0-0-837108	2-4-3	750444-4-1	0-4-1004823	4-2-0	4-0-9879665	4-0-1105579	0-0-6301597	0-4-2742587	0-2342093-1	0-4-4783370	1-2-0	4-9293435-4	5162307-4-1	6034389-4332222-4	4058765-4-1	0-9979452-1	0-4561227-1	9188223-4-1	0-8930128-1	4-4332222-7179272	0-4-3876960	0-6262039-1	4-4585100-4	0-8446103-1	8828061-0-4	4-0-5113083	6512468-0-4	4187392-4-1	1911885-4-1
assemblage-581-474	0	0	0	0	0	36	0	26	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	245	0	0	0	0	0	42	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	38	0	0	40	0	0	0	0	0	0	21
assemblage-227-549	0	0	0	0	0	10	0	0	0	0	0	159	0	0	0	0	0	0	15	0	0	0	0	110	0	0	119	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	19	0	0	0	0	0	0	5	0	0	12
assemblage-606-491	0	0	0	0	0	4	0	0	0	0	0	184	0	0	0	0	0	0	18	0	0	0	0	118	0	0	91	0	0	0	0	0	21	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	17
assemblage-673-568	0	0	0	0	0	0	0	0	0	5	5	237	58	0	0	0	0	0	0	9	0	0	0	22	18	0	32	0	0	0	6	0	0	0	0	0	0	0	0	0	0	48	0	0	20	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	20
assemblage-702-358	0	0	0	0	0	9	0	0	0	0	0	161	0	0	0	0	0	0	28	0	0	0	0	109	0	0	102	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	20
assemblage-494-372	0	0	0	0	0	8	0	0	0	0	0	141	0	0	0	0	0	0	28	0	0	0	0	128	0	0	120	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	15	0	0	0	0	0	0	7	0	0	16
assemblage-558-310	0	0	8	0	0	0	0	0	0	0	19	152	63	0	0	0	0	0	0	16	0	0	0	33	13	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	101	0	0	47	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-497-574	0	0	0	0	26	0	0	0	0	0	0	222	0	0	8	0	10	0	0	0	0	0	0	137	12	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	16
assemblage-605-473	0	0	0	0	0	0	0	0	0	2	21	175	53	0	0	0	0	0	0	24	0	0	0	34	10	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	8	0	15	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	25
assemblage-348-355	0	0	0	0	30	0	8	0	0	0	0	240	19	0	0	0	0	0	0	0	0	0	0	61	30	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-616-507	0	0	3	0	0	0	0	0	0	4	22	147	74	0	0	0	0	0	0	7	0	0	0	55	10	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	105	0	0	24	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-532-354	0	0	0	0	12	0	0	0	0	0	0	232	8	0	10	0	0	0	0	0	0	0	0	154	7	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	11
assemblage-363-547	0	0	0	0	0	0	0	0	0	0	9	211	51	0	0	0	0	0	0	13	0	0	0	38	11	0	27	0	0	0	9	0	0	0	0	0	0	0	0	0	0	59	0	0	20	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	17
assemblage-529-629	0	0	0	0	0	56	0	6	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	228	0	0	0	0	0	37	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	48	0	0	50	0	0	0	0	0	0	12
assemblage-707-574	0	0	0	0	0	48	0	14	0	0	0	63	0	0	0	0	0	0	0	0	0	0	0	8	0	0	200	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	97	0	0	29	0	0	0	0	0	0	9
assemblage-363-465	0	0	0	0	0	0	0	0	0	2	4	269	25	0	0	0	0	0	0	6	0	0	0	32	25	0	26	0	0	0	3	0	0	0	0	0	0	0	0	0	0	53	0	0	25	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	17
assemblage-368-631	0	0	0	0	0	13	0	0	0	0	0	91	0	0	0	0	0	0	28	0	0	0	0	120	0	0	95	0	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	6	0	0	0	38	0	0	5	0	0	0	0	0	0	20
assemblage-411-672	0	0	0	0	10	0	7	0	0	0	0	267	37	0	0	0	0	0	0	0	0	0	0	52	19	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	5	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27
assemblage-348-464	0	0	0	0	0	0	9	0	0	0	0	247	15	0	7	0	0	0	0	0	0	0	0	82	13	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	18	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-698-498	0	0	0	0	22	0	0	0	0	0	0	230	11	0	4	0	0	0	0	0	0	0	0	163	7	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	17
assemblage-497-493	0	0	0	0	0	0	0	0	0	8	9	238	51	0	0	0	0	0	0	0	0	0	0	7	16	0	33	0	0	0	14	0	0	0	0	0	0	0	0	0	0	58	0	0	26	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	14
assemblage-409-524	0	0	0	0	0	16	0	0	0	0	0	90	0	0	0	0	0	0	42	0	0	0	0	87	0	0	123	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	11	0	0	0	43	0	0	0	0	0	0	0	0	0	18
assemblage-696-326	0	0	14	0	0	0	0	0	0	0	30	169	61	0	0	0	0	0	0	9	0	0	0	25	11	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	0	0	23	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	26
assemblage-404-579	0	0	0	0	15	0	0	0	0	0	0	253	7	0	6	0	4	0	0	0	0	0	0	162	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	16
assemblage-596-514	0	0	0	0	0	24	0	0	0	0	0	132	0	0	0	0	0	0	42	0	0	0	0	82	0	0	116	0	0	0	0	0	32	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	11	0	0	0	28	0	0	3	0	0	0	0	0	0	9
assemblage-387-549	0	0	0	0	0	27	0	0	0	0	0	75	0	0	0	0	0	0	17	0	0	0	0	52	0	0	189	0	0	0	0	0	49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	49	0	0	15	0	0	0	0	0	0	8
assemblage-612-665	0	0	0	0	0	59	0	19	0	0	0	82	0	0	0	0	0	0	0	0	0	0	0	8	0	0	196	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	73	0	0	20	0	0	0	0	0	0	6
assemblage-432-615	0	0	0	0	13	0	0	0	0	0	0	206	0	0	18	0	0	0	0	0	0	0	0	183	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	16
assemblage-767-668	0	0	0	0	0	3	0	0	0	0	0	167	0	0	0	0	0	0	23	0	0	0	0	101	0	0	136	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	13
assemblage-525-510	0	0	0	0	0	8	0	0	0	0	0	164	0	0	0	0	0	0	14	0	0	0	0	133	0	0	80	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	13	0	0	0	0	0	0	0	0	8	18
