Assemblage_Name	2581266-4-1	0-7669892-1	0-2-1	3-1365739-1	3-4-7062564	3-7874582-1	2-1-0	3-4-1	7767156-2-8808176	3-2-1	4356978-1-0	3-6594629-1
assemblage-224-673	0	0	0	0	70	56	77	269	0	0	0	7
assemblage-566-457	14	0	0	0	41	80	52	290	0	0	0	14
assemblage-903-862	0	0	0	202	0	1	139	150	0	0	0	8
assemblage-725-980	0	36	0	0	0	7	193	259	0	0	0	5
assemblage-486-668	0	0	6	0	0	32	204	134	34	71	0	7
assemblage-746-471	0	40	10	0	0	12	91	326	0	10	0	11
assemblage-597-286	0	0	0	0	0	86	124	257	0	33	0	0
assemblage-243-162	2	0	0	0	27	32	43	395	0	0	0	1
assemblage-688-285	0	94	18	0	0	142	3	182	0	41	0	10
assemblage-137-330	0	0	0	16	0	55	104	308	0	0	7	10
assemblage-478-642	0	0	18	0	0	29	187	156	32	51	0	2
assemblage-611-922	0	12	54	0	0	22	134	195	0	67	0	5
assemblage-441-398	0	5	0	0	0	45	129	226	0	94	0	1
assemblage-762-597	0	0	0	0	0	114	169	209	0	0	6	2
assemblage-605-286	0	0	0	21	0	37	123	302	0	0	13	4
assemblage-412-860	0	0	0	0	0	0	0	448	0	0	0	12
assemblage-757-478	0	45	12	0	0	7	109	314	0	8	0	5
assemblage-858-890	0	11	0	0	0	23	237	219	0	0	0	10
assemblage-258-727	0	0	0	0	0	188	59	178	48	0	0	10
assemblage-240-941	0	0	0	0	0	141	203	154	0	0	0	2
assemblage-370-702	0	82	29	0	0	160	2	179	0	30	0	18
assemblage-502-119	0	0	0	17	0	7	182	270	0	0	0	2
assemblage-610-770	48	0	0	0	67	26	8	337	0	0	0	6
assemblage-227-792	39	0	0	0	48	19	14	355	0	0	0	3
assemblage-685-929	34	0	0	5	26	32	42	348	0	0	0	4
assemblage-365-269	0	0	0	0	0	35	188	166	0	102	0	9
assemblage-261-342	29	0	0	0	15	31	37	364	0	0	0	4
assemblage-437-378	0	0	0	0	0	36	148	310	0	0	0	6
assemblage-214-177	33	0	0	0	47	66	51	287	0	0	0	16
assemblage-516-122	0	0	0	0	0	6	78	390	0	0	0	8
