Assemblage_Name	4350947-8209349-8105086	4350947-8681267-4859244	670505-1-1	2-1-4	4-3-6475262	2091230-3-6447447	4919495-3-2	3-2658066-2	3-3-2	2-2911048-4	2-2504601-4	3904358-1-4	4350947-3-3	4-3-3	5391222-1-2906164	9205723-3-2	2-8044784-6342683	9096077-1-4	4064878-1-1	7538036-2911048-4	4-1-2906164	5049843-3-6475262	7174150-2911048-4	2-2367113-4	4350947-8209349-4859244	4-1-4	3-6088879-2	2-2911048-6342683	4350947-9921356-4859244
assemblage-571-457	0	0	0	0	48	0	0	0	0	23	0	0	0	0	0	0	0	0	0	72	0	0	0	0	212	0	0	0	22
assemblage-730-622	0	46	0	53	73	0	0	0	149	12	0	0	0	0	45	0	0	0	0	0	0	0	0	0	55	0	0	0	21
assemblage-943-359	0	0	0	10	27	0	0	0	14	121	0	0	0	0	52	0	7	24	0	28	0	15	9	19	95	0	0	51	28
assemblage-665-923	0	0	0	0	180	0	10	0	0	4	27	0	0	0	0	0	47	0	0	42	0	22	0	0	150	0	0	0	18
assemblage-602-744	0	43	6	58	0	0	0	3	54	42	0	0	0	94	31	0	0	0	0	11	0	0	0	0	0	30	0	54	15
assemblage-361-291	0	0	0	53	16	0	0	0	28	251	0	0	0	0	0	0	0	0	0	0	0	38	0	17	66	0	0	0	28
assemblage-578-483	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	79	0	0	150	0	0	0	0	126	0	0	0	30
assemblage-217-641	25	0	0	0	17	0	0	0	0	49	0	0	0	0	0	0	6	0	0	18	0	0	0	0	331	0	0	0	26
assemblage-891-868	0	0	0	0	145	0	16	0	11	44	4	0	0	0	0	0	115	0	0	21	0	28	0	6	77	0	0	0	11
assemblage-365-492	0	0	0	0	70	0	1	0	0	42	0	0	0	0	0	0	155	0	0	141	0	0	0	0	63	0	0	0	10
assemblage-597-286	0	0	0	11	45	0	0	0	16	130	0	0	0	0	53	0	4	18	0	28	0	14	8	17	78	0	0	53	25
assemblage-488-754	0	0	0	35	94	0	22	0	130	0	0	0	0	0	78	0	0	0	0	0	0	0	0	62	16	0	0	29	9
assemblage-600-497	0	62	0	79	47	0	0	13	17	68	0	0	0	8	88	12	0	0	0	0	0	0	0	0	0	6	0	0	15
assemblage-350-720	0	73	0	110	6	3	0	13	62	72	0	0	0	43	0	1	0	0	13	0	0	0	0	0	0	0	24	19	23
assemblage-757-602	0	16	0	49	14	0	0	0	71	73	0	0	0	0	0	0	0	12	0	0	0	47	0	40	21	0	0	100	17
assemblage-604-735	0	131	15	150	0	19	0	0	51	5	0	0	0	61	25	0	0	0	0	0	0	0	0	0	0	0	15	15	13
assemblage-341-187	0	0	0	0	7	0	0	0	0	52	0	0	0	0	0	0	17	0	0	226	0	0	0	0	134	0	0	0	27
assemblage-211-180	3	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	0	52	0	0	0	0	196	0	0	0	18
assemblage-734-991	0	142	12	148	0	19	0	0	64	11	0	0	0	44	26	0	0	0	0	0	0	0	0	0	0	0	4	17	13
assemblage-825-627	0	32	0	172	0	0	0	55	0	36	0	5	24	87	17	0	0	0	21	0	13	0	0	0	0	16	0	0	17
assemblage-858-890	0	29	0	157	0	0	0	0	10	61	0	0	0	0	81	0	0	0	0	11	0	0	0	39	0	0	0	46	33
assemblage-828-627	0	38	0	177	0	0	0	71	0	29	0	5	21	92	11	0	0	0	18	0	8	0	0	0	0	4	0	0	20
assemblage-474-731	0	0	0	0	82	0	19	0	21	100	0	0	0	0	0	0	124	0	0	0	0	0	23	0	12	0	0	26	23
assemblage-327-693	0	0	0	0	266	0	33	0	3	93	0	0	0	0	0	0	0	0	0	33	0	0	0	29	12	0	0	0	23
assemblage-734-635	0	22	0	49	55	32	0	0	26	158	0	0	0	0	27	0	0	0	0	7	0	28	0	0	0	0	0	0	11
assemblage-261-342	0	0	0	0	143	0	0	0	0	35	15	0	0	0	0	0	53	0	0	0	0	24	17	0	183	0	0	0	14
assemblage-827-631	0	34	0	187	0	0	0	67	0	30	0	10	25	86	9	0	0	0	21	0	4	0	0	0	0	8	0	0	19
assemblage-224-778	4	0	0	0	48	0	0	0	0	44	5	0	0	0	0	0	36	0	0	106	0	0	0	0	202	0	0	0	55
assemblage-243-471	0	0	0	0	99	0	50	0	64	151	0	0	0	0	0	0	21	0	0	27	0	24	0	5	21	0	0	14	24
assemblage-360-710	0	54	0	80	41	0	0	17	14	72	0	0	0	9	70	21	0	0	0	0	0	0	0	0	0	7	0	0	20
