Assemblage_Name	1096323-282487-3	9250483-2912850-3690398	2-4-6106594	9250483-2940857-535074	0-7155891-1	9250483-2940857-2306122	1-9641329-1	9250483-2-3564609	1096323-282487-9909432	0-3-1	7796385-3-1	1-2929067-1	9250483-2940857-3564609	1096323-4674501-3	2-4-5943698	1096323-282487-7700696	3-9093859-4	2-4-3102876	7786358-4-4	259451-282487-945044	1096323-282487-7840131	2-4-4	2-2196540-4
assemblage-747-593	0	59	0	0	0	0	0	0	0	10	0	0	171	54	24	21	0	0	0	0	0	75	24
assemblage-689-282	16	0	0	0	0	0	23	27	41	107	0	13	0	43	0	0	124	0	20	0	0	50	17
assemblage-925-970	34	0	10	0	0	0	0	59	0	19	0	0	0	46	0	0	10	0	132	0	29	104	25
assemblage-474-671	25	0	0	0	0	0	0	6	0	7	0	45	0	0	0	0	9	0	28	0	0	356	24
assemblage-943-359	0	0	63	0	0	0	0	40	0	40	71	0	39	36	0	0	0	27	0	0	0	159	25
assemblage-262-660	0	0	0	0	0	67	0	0	0	7	0	0	139	0	0	0	0	0	0	84	0	167	28
assemblage-94-905	0	0	0	0	0	0	0	269	0	0	0	7	0	0	0	0	0	0	0	0	0	128	14
assemblage-939-363	0	78	10	0	102	41	0	0	0	87	0	0	17	0	0	0	0	0	0	0	0	44	28
assemblage-233-168	0	0	0	0	0	34	0	0	0	0	0	0	195	0	0	0	0	0	0	119	0	65	5
assemblage-611-922	40	0	0	0	0	0	0	132	12	53	0	0	0	8	11	0	0	0	72	0	0	144	19
assemblage-387-847	0	90	0	0	0	33	0	0	0	6	0	0	18	0	0	0	0	0	0	146	0	178	15
assemblage-743-627	0	0	36	0	0	0	24	54	0	0	0	0	8	143	46	0	16	0	3	0	17	110	21
assemblage-350-720	52	0	0	0	0	0	0	121	13	65	0	0	0	14	18	0	0	0	48	0	0	142	17
assemblage-331-188	0	0	0	0	0	225	0	0	0	17	0	0	44	0	0	0	0	0	0	47	0	147	16
assemblage-234-493	0	0	47	0	0	0	0	41	0	47	78	0	40	31	0	0	0	23	0	0	0	169	24
assemblage-238-351	0	34	0	0	28	0	0	0	0	11	0	0	220	0	0	0	0	0	0	23	0	145	16
assemblage-869-918	0	0	84	0	0	0	33	77	0	166	0	0	0	4	4	6	0	0	0	0	0	92	15
assemblage-581-731	15	0	0	0	0	0	0	117	0	133	0	0	0	0	0	30	79	0	0	0	0	108	18
assemblage-262-104	0	0	0	0	0	20	0	0	0	0	0	0	120	0	0	0	0	0	0	179	0	115	2
assemblage-731-474	10	0	0	0	0	0	0	138	0	103	0	0	0	0	0	39	120	0	0	0	0	63	22
assemblage-103-910	0	0	0	0	0	0	0	269	0	0	0	0	0	0	0	0	0	0	0	0	0	112	28
assemblage-817-130	0	0	85	0	0	0	0	14	0	121	0	0	0	42	0	38	29	0	0	0	9	23	14
assemblage-470-744	0	138	0	37	0	0	0	0	0	54	13	0	0	24	0	0	0	0	0	0	0	193	14
assemblage-613-755	0	0	0	0	0	22	0	0	0	0	0	0	144	0	0	0	0	0	0	154	0	164	16
assemblage-515-132	0	130	1	38	0	0	0	0	0	36	5	0	0	34	0	0	0	0	0	0	0	228	15
assemblage-474-731	0	230	0	8	0	0	0	0	0	16	12	0	0	45	0	0	0	6	0	0	0	76	29
assemblage-344-482	0	51	0	0	6	34	0	0	0	11	0	0	105	0	0	0	0	0	0	115	0	131	18
assemblage-243-933	0	0	67	0	0	0	22	101	0	173	5	0	0	74	8	0	0	0	0	0	0	14	24
assemblage-210-937	0	0	15	0	54	0	0	56	0	94	0	0	0	37	0	0	24	0	0	0	0	121	12
assemblage-576-485	0	0	0	0	0	87	0	0	0	0	0	0	108	0	0	0	0	0	0	192	0	88	18
