Assemblage_Name	3-3-6895072	3-0-7258534	659804-0-3	3-3-463397	1858562-0-3	7304383-0-3	2-3-8035379	5387165-4937707-9624156	3-3-1	3-3-3	5387165-1376837-9624156	4-4937707-3685749	4-7767506-3	2754742-3-8035379	4755969-3-1	4-7759812-3685749	3-0-1550513	225098-3-1	4-4937707-3	4952490-7767506-3	3-0-4	3-0-3	7530442-0-7258534
assemblage-689-282	0	0	0	0	0	0	80	0	12	109	0	27	9	0	0	7	0	0	0	0	40	205	11
assemblage-253-726	0	0	0	0	0	0	26	0	4	257	0	16	21	0	0	0	0	0	48	0	91	8	17
assemblage-925-970	20	0	0	8	0	0	35	0	242	18	33	0	0	0	0	15	0	0	0	0	0	115	14
assemblage-831-655	10	0	0	0	0	0	157	0	0	0	0	63	88	0	0	7	0	0	0	0	43	101	20
assemblage-885-866	0	14	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	392	16
assemblage-352-687	0	6	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	452	19
assemblage-909-972	14	0	0	11	0	0	40	0	229	15	18	0	0	0	0	13	0	0	0	0	0	135	21
assemblage-365-492	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	445	8
assemblage-597-286	0	85	0	54	0	63	0	62	41	0	0	0	0	0	0	0	0	0	0	0	0	87	5
assemblage-824-118	0	0	0	0	5	36	19	11	156	0	0	0	0	0	0	13	0	17	0	26	0	199	18
assemblage-688-285	0	0	0	0	0	0	77	0	151	46	66	23	1	0	0	0	0	0	8	0	66	33	18
assemblage-559-476	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	68	0	0	0	0	366	16
assemblage-680-942	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	456	7
assemblage-353-255	0	6	0	17	0	0	0	30	12	0	0	0	0	0	0	0	0	0	35	0	0	334	19
assemblage-336-184	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	477	12
assemblage-757-602	0	0	0	0	0	129	0	0	143	0	0	0	0	0	16	0	0	0	0	35	0	153	24
assemblage-331-188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	464	11
assemblage-358-189	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	492	3
assemblage-757-478	5	0	0	123	0	0	38	16	33	17	0	0	52	0	0	18	0	0	31	9	0	156	2
assemblage-249-737	0	0	0	0	0	0	36	0	11	226	0	16	22	0	0	0	0	0	62	0	93	13	12
assemblage-814-115	0	23	0	0	0	0	9	0	162	0	0	0	0	98	12	0	0	40	0	0	0	145	11
assemblage-502-119	0	46	0	11	0	49	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	347	15
assemblage-726-586	0	0	0	0	7	126	0	0	119	0	0	0	0	8	6	0	0	0	0	45	0	167	22
assemblage-608-503	0	0	0	14	0	0	37	16	62	63	19	14	20	0	0	22	0	0	20	0	28	159	26
assemblage-403-849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	487	13
assemblage-247-170	0	0	90	0	0	0	0	0	0	0	0	0	0	0	0	0	138	0	0	0	0	256	3
assemblage-395-318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	457	3
assemblage-453-406	0	0	0	0	8	37	28	8	149	0	0	0	0	0	0	17	0	5	0	22	0	212	14
assemblage-243-471	0	9	0	13	0	56	0	40	5	0	0	0	0	5	0	0	0	0	0	0	0	363	9
assemblage-122-342	0	132	0	0	0	133	0	0	44	0	0	0	0	0	0	0	0	0	0	0	0	153	12
