Assemblage_Name	1-1-3	1-6140522-3	0-3-6966323	3-3-1	3-3-3	0-0-4	0-3-2	7640902-3-2	8093597-5570671-1	0-6069812-2
assemblage-224-673	0	0	0	0	0	500	0	0	0	0
assemblage-344-184	0	0	0	0	0	498	0	0	0	2
assemblage-246-669	0	0	0	0	0	485	0	0	0	6
assemblage-364-249	30	0	0	0	30	438	0	0	0	2
assemblage-393-317	0	0	0	0	0	492	0	0	0	8
assemblage-618-925	216	0	7	10	75	75	52	0	13	4
assemblage-943-359	14	0	0	0	0	467	0	0	0	2
assemblage-602-744	244	0	35	0	97	79	43	0	0	2
assemblage-339-716	219	0	8	17	69	75	39	11	9	1
assemblage-94-905	282	0	24	50	0	112	0	0	16	5
assemblage-503-748	140	15	0	0	11	332	0	0	0	2
assemblage-237-956	135	0	0	0	33	332	0	0	0	0
assemblage-903-987	147	0	6	33	35	216	0	0	0	4
assemblage-851-901	144	0	4	0	14	326	12	0	0	0
assemblage-611-922	202	0	0	78	27	72	96	13	0	12
assemblage-465-737	0	35	0	0	0	460	0	0	0	5
assemblage-728-992	251	0	36	0	80	100	24	0	0	9
assemblage-441-398	134	0	9	0	14	327	15	0	0	1
assemblage-234-493	6	0	0	0	0	479	0	0	0	1
assemblage-340-683	0	0	0	0	0	498	0	0	0	2
assemblage-685-923	0	0	0	0	0	496	0	0	0	4
assemblage-211-180	0	0	0	0	0	492	0	0	0	3
assemblage-897-857	0	8	0	0	0	487	0	0	0	5
assemblage-347-470	0	0	0	0	0	499	0	0	0	1
assemblage-103-910	268	0	28	55	0	115	0	0	10	9
assemblage-236-458	18	57	0	0	0	421	0	0	0	4
assemblage-858-890	133	0	0	0	67	294	0	0	0	6
assemblage-403-849	0	0	0	0	0	493	0	0	0	7
assemblage-576-485	0	0	0	0	0	497	0	0	0	3
assemblage-827-631	167	0	0	66	4	122	133	4	0	4
