Assemblage_Name	4-7325524-0	4819667-4-2	3-3-3	0-4-1	0-4-3	1-2-7226934	4819667-4-7341159	7074420-4-640348	2201292-4-4646843	0-2-2	8649918-4-1	5505025-2-7226934	4-4-2	0-4-4646843	0-4-640348	0-4-7563454	7287758-4-338456	667318-4-2	0-4-5347707	0-4-9612300
assemblage-700-275	16	0	72	55	91	108	0	0	0	52	0	8	93	0	0	0	0	0	0	5
assemblage-246-669	0	86	80	53	0	0	0	132	1	39	39	0	0	17	0	0	0	0	0	15
assemblage-393-317	0	61	13	46	0	0	14	153	0	76	55	0	0	74	0	0	0	0	0	8
assemblage-496-749	59	0	0	139	0	29	0	0	0	95	63	0	0	0	95	0	0	0	17	3
assemblage-222-939	145	35	102	28	0	10	0	0	0	77	91	0	0	0	6	0	0	0	0	6
assemblage-731-490	5	9	45	206	34	51	0	0	0	0	65	21	57	0	0	0	0	0	0	7
assemblage-352-687	0	112	161	65	0	0	0	0	0	20	84	0	0	45	12	0	0	0	0	1
assemblage-896-872	0	125	154	60	0	0	0	0	0	21	81	0	0	49	10	0	0	0	0	0
assemblage-104-904	9	0	12	144	0	78	0	0	0	87	0	18	122	0	0	0	0	0	0	5
assemblage-675-940	0	37	48	85	0	0	0	0	100	89	43	0	0	13	0	17	0	55	0	7
assemblage-688-285	5	0	0	91	16	142	0	0	0	64	0	50	112	0	0	0	0	0	0	7
assemblage-932-998	0	0	4	148	26	140	0	0	0	21	0	140	12	0	0	0	0	0	0	9
assemblage-932-368	35	19	71	160	0	0	0	0	0	20	111	0	0	19	57	0	0	0	0	8
assemblage-331-188	0	91	127	26	0	0	3	45	12	37	11	0	0	0	0	8	131	4	0	5
assemblage-685-923	0	101	124	48	0	0	0	21	13	37	43	0	0	10	0	0	51	0	0	15
assemblage-915-994	0	4	73	195	46	37	0	0	0	0	75	17	39	0	0	0	0	0	0	9
assemblage-421-842	0	159	138	0	0	0	0	0	0	7	72	0	0	0	0	21	0	25	0	20
assemblage-110-907	9	0	21	129	10	82	0	0	0	59	0	26	123	0	0	0	0	0	0	3
assemblage-815-115	64	0	82	190	6	46	0	0	0	12	19	5	73	0	0	0	0	0	0	3
assemblage-370-702	13	0	5	87	11	160	0	0	0	48	0	40	109	0	0	0	0	0	0	9
assemblage-818-645	44	0	86	123	10	212	0	0	0	12	0	0	9	0	0	0	0	0	0	4
assemblage-845-912	82	0	82	182	16	26	0	0	0	6	12	8	84	0	0	0	0	0	0	2
assemblage-583-465	0	48	191	0	0	0	0	90	0	0	101	0	0	10	0	0	37	12	0	11
assemblage-618-292	49	1	61	86	0	31	0	0	0	9	138	0	0	0	25	0	0	0	99	1
assemblage-461-403	0	76	0	123	0	192	0	0	0	34	52	18	0	0	0	0	0	0	0	5
assemblage-515-132	0	41	200	72	0	0	0	0	0	20	59	0	0	6	0	42	0	28	26	6
assemblage-213-781	0	203	0	18	0	0	51	17	3	36	28	0	0	15	0	0	48	39	0	16
assemblage-564-470	0	35	202	0	0	0	0	95	0	0	117	0	0	7	0	0	24	5	0	15
assemblage-373-247	47	185	0	77	0	80	0	0	0	21	84	0	0	0	0	0	0	0	0	6
assemblage-243-471	52	125	64	72	0	7	0	0	0	85	82	0	0	0	13	0	0	0	0	0
