Assemblage_Name	0-1-1	4-6334562-2	5132552-4-4	4-2-6007713	2-4-558716	6681410-4-558716	4-2-2354535	3-1-3	2-4-0	4-2-2	2537169-4-558716	3-4-0	2537169-3851151-558716
assemblage-636-922	9	0	9	31	93	0	0	53	89	173	0	41	2
assemblage-689-282	10	0	0	41	43	0	0	15	0	142	0	240	9
assemblage-885-866	0	0	0	0	144	0	101	0	0	207	29	0	7
assemblage-516-766	0	0	0	0	92	0	0	0	39	323	0	40	6
assemblage-613-289	0	0	0	0	171	0	0	0	25	236	59	9	0
assemblage-597-286	0	0	0	0	57	0	110	0	12	171	0	109	12
assemblage-472-737	0	0	0	0	53	0	0	0	112	318	0	0	3
assemblage-226-782	0	37	0	0	156	0	0	0	142	164	0	0	1
assemblage-243-162	0	39	0	0	18	0	0	0	266	124	0	0	6
assemblage-939-363	0	0	0	0	153	0	4	0	79	244	18	0	2
assemblage-478-642	97	0	71	0	66	0	0	88	0	135	0	0	7
assemblage-343-696	0	19	0	0	95	0	0	0	103	264	18	0	1
assemblage-238-92	0	143	0	0	231	0	0	0	93	24	0	0	1
assemblage-458-410	0	0	0	0	159	9	0	0	117	166	0	48	1
assemblage-685-923	0	21	0	0	216	0	0	0	113	138	9	0	3
assemblage-268-734	31	0	0	100	101	0	0	14	40	35	0	176	3
assemblage-211-180	0	24	0	0	35	0	0	0	252	117	0	0	7
assemblage-421-842	0	113	0	0	125	0	0	0	171	90	0	0	1
assemblage-734-991	0	0	0	0	174	37	0	0	50	181	0	50	8
assemblage-110-907	43	0	0	0	0	0	0	299	42	66	0	0	13
assemblage-752-603	0	0	0	0	84	0	0	0	46	327	0	38	5
assemblage-227-792	0	40	0	0	288	0	0	0	109	61	0	0	2
assemblage-365-269	0	0	0	0	78	0	0	0	44	349	0	24	5
assemblage-463-409	0	0	0	0	156	18	0	0	132	158	0	33	3
assemblage-213-781	0	33	0	0	176	0	0	0	134	156	0	0	1
assemblage-344-482	0	31	0	0	148	0	14	0	166	133	0	0	8
assemblage-724-995	0	0	0	4	116	8	0	0	95	165	20	92	0
assemblage-360-710	10	0	13	25	92	0	0	58	55	198	0	47	2
assemblage-758-647	0	0	0	0	139	0	0	0	91	152	100	16	2
assemblage-918-974	0	0	0	0	161	44	0	0	57	175	0	59	1
