Assemblage_Name	3-1-1	6434772-4-5545930	1-2266355-1356529	1-1709786-1	8470839-8255887-8446149	1-270860-5058094	8470839-3934659-1	1-2-1	8470839-4-1	1-270860-1	8470839-4-8446149	9366057-4-5545930	6745090-6521803-0	4-1-0	8470839-7007919-8446149	2503215-1-0	1-3378704-1	4-4-1	1924013-1-0	6745090-2-0	4-1-9127563	8470839-9921509-8446149
assemblage-483-768	0	0	0	6	0	0	0	279	0	0	75	0	0	0	19	0	0	0	0	0	48	12
assemblage-467-749	0	0	0	0	0	0	0	333	0	0	18	0	0	0	20	0	0	0	0	0	80	34
assemblage-455-398	0	0	89	0	0	0	0	175	0	0	13	50	0	84	55	0	0	0	0	12	0	22
assemblage-412-850	0	0	0	0	0	15	0	239	0	17	70	0	0	0	130	0	0	0	0	0	15	14
assemblage-516-766	0	0	0	0	0	0	0	312	0	0	0	87	0	25	66	0	0	0	0	0	0	10
assemblage-223-771	0	0	0	0	0	0	0	116	0	0	0	23	0	0	59	0	12	0	0	0	211	23
assemblage-943-359	0	0	0	10	0	0	0	228	0	0	34	43	0	0	38	26	0	0	41	0	53	12
assemblage-223-654	0	0	0	0	0	0	0	134	0	0	0	18	0	0	43	0	5	0	0	0	240	32
assemblage-933-359	0	0	0	26	0	0	0	212	0	14	18	0	0	0	45	23	0	0	21	0	115	6
assemblage-851-901	0	0	70	0	0	0	0	196	0	0	6	49	0	88	64	0	0	0	0	0	0	23
assemblage-585-727	0	44	0	0	50	0	45	65	0	0	33	81	0	89	0	0	0	0	0	73	0	13
assemblage-383-267	0	0	0	49	0	0	0	220	0	7	0	60	0	28	48	0	0	0	0	0	62	11
assemblage-733-469	38	0	8	0	4	0	63	11	0	0	258	20	0	28	0	0	0	0	0	12	25	33
assemblage-96-896	63	28	20	0	0	0	40	43	13	0	36	34	0	96	0	0	0	17	0	77	0	21
assemblage-238-92	0	0	0	0	0	21	0	181	0	0	43	0	0	0	33	0	0	0	0	0	134	10
assemblage-230-174	0	0	0	0	0	68	0	101	0	0	111	0	0	0	77	0	0	0	0	0	84	10
assemblage-236-112	0	0	0	0	0	24	0	216	0	0	53	0	0	0	0	0	7	0	0	0	128	18
assemblage-238-351	0	0	0	0	0	0	0	315	0	9	5	63	0	0	35	0	0	0	0	0	42	12
assemblage-361-733	46	66	54	0	0	0	11	12	0	0	23	12	142	82	0	0	0	0	0	34	0	14
assemblage-121-343	0	0	0	15	0	0	0	225	0	20	19	3	0	0	34	11	0	0	31	0	127	9
assemblage-103-910	83	0	75	0	0	0	0	0	56	0	118	24	0	16	0	0	0	0	0	104	0	19
assemblage-110-907	61	0	55	0	0	0	0	0	74	0	159	28	0	24	0	0	0	0	0	80	0	19
assemblage-370-248	0	0	0	0	0	0	0	101	0	0	93	0	0	22	30	0	0	0	88	0	118	10
assemblage-599-945	12	0	0	0	49	0	51	95	0	0	107	0	22	109	0	0	0	13	0	18	0	24
assemblage-689-310	21	0	0	0	59	0	61	107	0	0	82	7	15	104	0	0	0	9	0	17	0	18
assemblage-327-693	0	0	0	0	0	0	0	241	0	22	56	103	0	0	0	0	0	0	0	0	65	8
assemblage-213-781	0	0	0	0	0	0	0	296	0	0	65	6	0	0	18	0	52	0	0	0	12	13
assemblage-344-482	0	0	0	0	0	14	0	276	0	10	25	31	0	0	54	0	0	0	0	0	56	18
assemblage-721-988	10	0	92	0	16	0	0	31	0	0	79	7	0	64	9	0	0	0	0	143	0	21
assemblage-849-911	0	0	0	0	8	0	5	77	0	0	107	10	0	26	0	0	0	0	0	5	217	13
