Assemblage_Name	8188196-3-3	3-1-5442471	5637215-3604304-4050946	2108375-3-495572	4840973-3-3	8064745-3-3	5068314-2-1	1-3426746-4794811	8188196-3-9650170	8188196-3-495572	4-0-4	3-1-4	8188196-3-92697	9674742-0-4	3-8134212-2865669	1-3-0	5423117-2-1	4-0-1029083	53092-3-495572	9562388-1-4	222806-5822173-0	0-3604304-1	4-0-2082799	1-3-4794811	3288891-0-4	8192354-3-3	5423117-1299131-1
assemblage-473-651	0	0	0	0	0	5	0	0	0	0	54	135	0	0	0	10	113	0	0	0	0	23	0	0	0	0	7
assemblage-218-462	130	16	0	0	0	0	0	0	0	5	93	0	0	0	0	0	113	0	0	14	0	0	0	74	0	0	5
assemblage-228-644	0	0	0	5	0	0	0	0	0	85	0	0	27	0	0	206	56	42	30	0	0	0	0	0	0	8	16
assemblage-212-161	18	0	0	0	18	0	0	0	12	6	0	0	0	0	0	111	28	181	110	0	0	0	0	0	0	0	16
assemblage-236-475	63	0	0	0	0	0	0	0	0	0	114	0	0	72	0	6	130	0	0	9	0	0	0	60	32	0	14
assemblage-604-772	50	0	0	0	40	0	0	0	0	27	0	0	34	0	0	121	80	0	99	0	0	0	0	0	0	18	22
assemblage-101-914	0	78	0	0	0	0	0	0	0	0	301	42	0	0	5	14	0	0	0	0	0	0	0	39	0	0	16
assemblage-252-346	115	0	0	0	0	0	0	0	0	9	0	0	29	0	0	104	170	0	0	0	0	0	0	14	0	33	7
assemblage-233-168	0	0	0	0	30	0	0	17	26	41	0	0	11	0	0	117	52	68	6	0	0	0	0	0	0	0	16
assemblage-600-497	0	24	3	0	0	97	0	0	0	0	140	6	0	0	46	94	21	0	0	0	0	13	0	0	0	0	26
assemblage-585-727	0	5	0	0	0	34	7	0	0	0	61	0	0	0	0	101	103	0	0	102	0	16	23	6	0	0	20
assemblage-612-775	0	0	0	0	0	0	0	14	0	85	0	0	23	0	0	51	39	155	10	0	0	0	0	0	0	0	23
assemblage-676-292	9	13	20	0	0	86	0	0	0	0	87	0	0	0	70	29	92	0	0	14	0	21	0	33	0	0	17
assemblage-110-907	0	108	0	0	0	0	0	0	0	0	286	36	0	0	10	8	0	0	0	0	0	0	0	28	0	0	15
assemblage-605-717	65	0	0	0	0	0	0	0	0	0	137	0	0	0	17	62	38	0	0	44	0	0	0	95	0	0	24
assemblage-370-248	20	10	0	0	0	0	0	0	0	0	101	0	0	0	0	149	7	0	0	25	0	0	0	139	37	0	12
assemblage-817-130	56	0	0	0	0	0	0	0	0	0	65	0	0	0	0	159	13	0	0	55	0	0	0	104	0	0	20
assemblage-858-890	60	13	0	0	0	7	0	0	0	0	125	0	0	0	0	0	52	0	0	114	0	0	6	24	0	0	20
assemblage-497-751	80	29	0	0	0	0	0	0	0	0	113	0	0	9	0	67	87	0	0	24	0	0	3	35	14	0	27
assemblage-502-119	189	28	0	0	0	0	0	0	0	12	53	0	0	25	0	0	42	0	0	0	17	0	0	72	0	30	16
assemblage-618-292	111	22	0	0	0	0	0	0	0	0	96	0	0	0	0	0	130	0	0	19	0	0	0	60	0	0	16
assemblage-928-974	7	97	11	0	0	23	6	0	0	0	54	0	0	0	0	211	5	0	0	21	0	3	0	7	0	0	13
assemblage-327-693	82	0	0	0	0	0	0	0	0	67	0	0	86	0	0	0	108	15	0	0	5	0	0	93	0	17	27
assemblage-734-635	111	18	0	0	0	9	13	0	0	0	148	0	0	0	0	82	0	0	0	58	0	0	0	9	0	0	21
assemblage-261-342	38	0	0	0	0	0	0	0	0	166	0	0	0	0	0	151	104	0	0	0	0	0	0	0	0	0	24
assemblage-344-482	69	0	0	4	7	0	0	0	0	74	0	0	33	0	0	112	112	9	34	0	0	0	0	17	0	9	20
assemblage-373-247	127	25	0	0	0	0	0	0	0	11	153	0	0	23	0	13	77	0	0	10	0	0	0	10	0	0	9
assemblage-235-123	11	0	0	0	23	0	0	7	9	5	0	0	0	0	0	91	33	213	94	0	0	0	0	0	0	0	13
assemblage-609-945	0	26	0	0	0	41	5	0	0	0	99	9	0	0	64	54	100	0	0	34	0	0	0	0	0	0	26
assemblage-516-122	63	0	0	44	0	0	0	0	0	9	14	0	0	0	0	102	124	11	58	0	6	0	0	44	0	0	25
