Assemblage_Name	6739718-4-2	6739718-4-3051932	9217809-4-2	2-0-2	0-8420506-4	3-1-2	9005236-1-2	0-4-4	9637215-4-2	6739718-9135295-3051932
assemblage-604-525	129	31	0	8	157	134	0	31	0	6
assemblage-351-499	174	244	0	76	0	0	6	0	0	0
assemblage-617-283	216	120	0	46	0	104	0	0	0	0
assemblage-340-180	199	40	0	212	0	0	29	0	20	0
assemblage-223-771	162	82	0	144	0	0	101	0	11	0
assemblage-896-872	13	186	0	201	0	66	33	0	0	1
assemblage-94-905	95	0	0	16	158	135	0	92	0	4
assemblage-492-657	51	0	0	247	0	145	0	0	0	10
assemblage-868-903	353	6	0	44	0	66	0	24	0	7
assemblage-262-106	72	49	0	231	0	0	59	0	61	1
assemblage-365-492	193	115	0	117	0	0	7	0	63	5
assemblage-754-638	75	26	0	84	32	271	0	0	0	3
assemblage-243-162	193	28	0	240	0	0	3	0	25	11
assemblage-755-641	147	27	0	62	25	216	0	9	0	8
assemblage-932-998	166	0	23	97	54	148	0	0	0	12
assemblage-597-731	124	48	14	113	54	87	0	0	0	0
assemblage-247-99	73	86	0	100	0	0	179	0	4	3
assemblage-599-513	118	28	0	95	9	170	0	75	0	5
assemblage-605-717	174	44	32	5	15	197	0	27	0	6
assemblage-370-248	146	25	0	120	0	207	0	0	0	2
assemblage-258-727	434	6	0	0	7	47	0	0	0	6
assemblage-226-489	105	210	0	168	0	17	0	0	0	0
assemblage-470-744	119	185	0	174	0	9	0	0	0	13
assemblage-365-269	88	193	0	17	5	194	0	0	0	3
assemblage-357-276	156	17	0	129	17	165	0	0	0	4
assemblage-474-731	142	177	0	160	0	20	0	0	0	1
assemblage-605-283	112	230	0	132	0	24	0	0	0	2
assemblage-668-930	119	130	0	204	0	0	0	0	44	3
assemblage-224-659	166	56	0	218	0	0	29	0	31	0
assemblage-609-945	95	36	6	126	84	98	0	43	0	3
