Assemblage_Name	2-3831231-6066799	1648505-2-3	2-3831231-1	1648505-2-9642867	70488-8826991-2	2971152-2310946-3	3-4-1322053	7272206-4-3	3-2310946-439010	2-0-1	4-4-3	4-2-3	6519692-3-4	1121054-2-3	2971152-2310946-8776147	2-3518519-1	3-4-3	3-4-5078703	3-2310946-3	70488-1-2	795317-2310946-3
assemblage-748-479	0	0	98	0	54	0	0	0	0	6	0	145	8	0	0	25	141	0	0	0	13
assemblage-636-922	0	0	46	0	166	0	0	7	0	52	3	29	78	0	0	0	112	0	0	0	7
assemblage-351-499	132	0	4	0	21	0	27	0	11	0	0	0	0	0	0	0	175	104	5	0	5
assemblage-224-673	62	0	28	0	0	16	0	0	6	0	0	0	0	0	0	0	224	54	45	0	9
assemblage-344-184	25	0	33	0	0	66	0	0	0	0	0	0	0	0	43	0	54	241	8	0	18
assemblage-364-249	0	0	0	0	65	0	0	0	0	0	22	82	0	0	0	0	185	0	103	0	13
assemblage-943-355	0	37	9	28	0	0	0	0	72	0	11	25	0	0	0	0	175	31	78	0	17
assemblage-222-939	0	40	5	67	7	0	0	0	0	0	112	68	0	0	0	0	119	18	0	0	13
assemblage-223-771	34	0	21	0	0	83	17	0	0	0	0	0	0	0	0	0	59	132	86	0	17
assemblage-914-974	0	11	0	0	28	0	0	0	0	4	11	52	0	0	0	0	353	0	0	0	11
assemblage-113-897	0	0	7	0	0	0	0	0	0	314	2	0	53	20	0	0	76	0	0	14	5
assemblage-237-956	0	27	3	65	6	0	0	0	0	0	92	41	0	0	0	0	161	17	0	0	18
assemblage-472-737	0	0	0	0	2	0	0	0	69	0	24	9	0	0	0	0	117	20	237	0	14
assemblage-469-755	0	0	67	0	39	0	0	0	14	0	0	6	0	0	0	0	64	162	141	0	2
assemblage-340-683	0	0	26	0	27	0	60	0	0	0	0	0	0	0	0	0	195	100	76	0	16
assemblage-236-112	78	0	0	0	0	123	0	0	0	0	0	0	0	0	33	0	15	198	7	0	12
assemblage-361-733	0	0	0	0	18	0	0	15	0	87	44	11	0	0	0	28	272	0	0	0	4
assemblage-367-320	31	0	96	0	0	86	0	0	0	0	0	0	0	0	4	0	125	101	7	0	8
assemblage-239-733	0	0	0	0	12	0	0	176	0	45	0	12	0	4	0	0	233	0	0	9	9
assemblage-858-890	0	7	8	0	96	0	0	0	0	0	115	96	0	0	0	0	142	0	0	0	10
assemblage-226-489	0	8	34	10	30	0	0	0	0	0	30	8	0	0	0	0	84	123	153	0	10
assemblage-937-366	0	10	25	0	29	0	0	0	0	0	33	9	0	0	0	0	75	107	178	0	19
assemblage-685-929	3	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	43	215	46	0	2
assemblage-828-136	0	0	88	0	0	0	0	0	0	0	0	81	0	0	0	0	255	0	16	0	28
assemblage-377-697	0	0	0	0	13	0	0	12	0	78	40	14	0	0	0	32	272	0	0	0	10
assemblage-261-342	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	47	214	41	0	17
assemblage-385-319	53	0	45	0	0	25	0	0	0	0	0	0	0	0	10	0	81	179	0	0	8
assemblage-111-900	0	0	0	0	0	0	0	0	0	310	4	0	64	13	0	0	74	0	0	16	5
assemblage-729-1006	0	0	102	0	41	0	0	0	0	9	0	142	15	0	0	20	137	0	0	0	17
assemblage-758-647	0	0	37	0	0	0	0	0	0	0	45	18	0	0	0	0	208	130	0	0	14
