Assemblage_Name	1225544-2-4241819	2311512-3-3	4-2-2	1-1-625855	2433707-1-3462151	7049325-1-1273541	3-1-1	2433707-1-8722668	1554379-1-1	1-1-1	1-4040538-4	1225544-2-2	8459990-3-3	1-5095777-1	0-3-3	2311512-1493648-2153494	4-3-1	2-3-3	7452517-2-2	1-1890683-4	1-5716824-1	1-1-8557310	1238930-1-1273541	3383295-2-2	4-2-9552768	2433707-4980825-3462151	1-8834883-4	9081921-3-1	3-0-433989	4-2-839411	1-0-4	6124420-1-1	3-2-7758887	4-4-2	1-1-1117122	8934506-1-1	1-1384089-1
assemblage-366-456	0	16	116	0	19	0	13	0	0	30	0	4	0	0	4	0	37	23	0	15	0	0	0	0	0	6	10	33	11	0	102	0	5	10	0	0	27
assemblage-767-668	0	37	0	0	36	0	0	0	0	93	5	120	0	0	0	0	12	66	13	0	0	5	0	8	0	11	0	12	0	13	7	0	0	0	0	19	34
assemblage-565-445	0	22	0	0	6	9	0	0	5	148	12	88	0	0	0	0	23	81	0	0	0	13	0	10	0	0	0	0	0	15	0	0	0	0	0	15	53
assemblage-444-561	11	27	23	0	30	0	0	0	0	108	0	115	0	0	0	0	28	49	0	0	0	2	0	0	17	16	0	7	0	0	23	0	0	0	0	9	35
assemblage-457-430	0	22	87	0	52	0	0	0	0	59	0	23	0	0	0	0	20	9	0	0	0	0	0	0	0	14	0	26	0	0	127	0	0	9	0	0	52
assemblage-676-543	3	38	87	0	36	0	0	5	0	70	0	62	0	0	0	0	23	10	0	0	0	0	0	0	13	8	0	21	0	0	84	0	0	8	0	0	23
assemblage-595-664	0	11	0	14	13	18	0	0	14	197	2	23	0	0	0	9	62	52	0	0	0	0	0	0	0	12	0	0	0	9	0	0	0	0	0	16	48
assemblage-392-423	17	43	23	0	36	0	0	0	0	98	0	111	0	0	0	0	16	54	0	0	0	0	0	0	9	12	0	8	0	0	29	0	0	0	0	11	33
assemblage-665-452	0	16	102	0	21	0	9	0	0	32	0	10	0	0	6	0	23	25	0	9	0	0	0	0	0	9	22	27	12	0	111	0	4	15	0	0	33
assemblage-542-538	0	28	103	0	40	0	0	0	0	55	0	33	0	0	0	0	25	11	0	0	0	0	0	0	2	5	7	29	0	0	118	0	0	8	0	0	30
assemblage-435-567	0	33	0	0	16	9	0	0	22	122	10	89	0	0	0	0	14	72	0	0	0	10	0	13	0	0	0	0	0	15	0	0	0	0	0	27	48
assemblage-684-458	0	18	0	26	23	0	0	0	0	174	0	25	0	28	0	14	82	10	0	0	9	0	9	0	0	11	0	0	0	26	0	2	0	0	0	0	39
assemblage-653-581	9	22	34	0	27	0	0	0	0	108	0	80	0	0	0	0	15	27	0	0	0	0	0	0	24	5	0	19	0	0	79	0	0	0	0	0	40
assemblage-489-624	0	32	0	0	0	14	0	0	0	142	21	72	0	0	0	0	19	86	0	0	0	8	0	11	0	0	0	0	0	8	0	0	0	0	0	30	57
assemblage-324-504	0	34	0	0	33	0	0	0	0	102	7	118	0	0	0	0	18	73	13	0	0	0	0	5	6	10	0	12	0	10	6	0	0	0	0	19	34
assemblage-646-432	2	20	62	0	22	0	0	0	0	83	0	93	0	0	0	0	25	16	0	0	0	0	0	0	26	12	0	13	0	0	91	0	0	0	0	0	35
assemblage-504-605	0	24	0	0	22	0	0	0	0	93	0	75	17	42	0	10	81	0	0	0	5	0	14	0	0	50	0	0	0	0	0	0	0	0	9	0	58
assemblage-494-697	9	27	36	0	38	0	0	0	0	89	8	110	0	0	0	0	16	45	0	0	0	9	0	0	11	18	0	8	0	0	28	0	0	0	0	14	33
assemblage-459-453	0	20	0	9	14	20	0	0	1	178	7	28	0	0	0	10	54	58	0	0	0	0	6	0	0	12	0	0	0	13	0	10	0	0	0	20	40
assemblage-700-366	0	15	0	0	27	0	0	0	0	93	0	73	12	49	0	8	69	0	0	0	12	0	16	0	0	41	0	0	0	6	0	0	0	0	8	0	44
assemblage-383-552	0	27	0	0	23	0	0	0	0	97	0	101	13	33	0	2	73	0	0	0	7	0	11	0	0	52	0	0	0	5	0	0	0	0	10	0	38
assemblage-703-427	7	24	44	0	23	0	0	0	0	103	0	109	0	0	0	0	26	22	0	0	0	0	0	0	15	6	0	25	0	0	56	0	0	0	0	0	40
assemblage-645-556	0	21	98	0	56	0	0	0	0	42	0	40	0	0	0	0	14	11	0	0	0	0	0	0	8	4	10	39	8	0	107	0	0	7	0	0	29
assemblage-641-489	0	12	0	41	37	0	0	0	0	162	0	23	0	25	0	13	70	13	0	0	0	0	14	0	0	13	0	0	0	27	0	8	0	0	0	0	36
assemblage-562-454	0	16	0	20	24	0	0	0	0	169	0	18	0	36	0	8	92	13	0	0	7	0	7	0	0	9	0	0	0	31	0	7	0	0	0	0	43
assemblage-584-311	0	24	61	0	33	0	0	9	0	53	0	76	0	0	0	0	27	9	0	0	0	0	0	0	11	17	0	28	0	0	112	0	0	6	0	0	34
assemblage-401-599	0	16	125	0	21	0	25	0	0	29	0	12	0	0	16	0	16	18	0	9	0	0	0	0	0	0	10	29	8	0	115	0	3	14	0	0	34
assemblage-490-423	0	34	70	0	42	0	0	10	0	53	0	72	0	0	0	0	29	18	0	0	0	0	0	0	12	17	0	32	0	0	71	0	0	7	0	0	32
assemblage-340-463	0	6	0	9	19	13	0	0	2	204	10	39	0	0	0	13	56	59	0	0	0	0	0	0	0	13	0	0	0	6	0	0	0	0	0	9	42
assemblage-388-516	0	27	0	0	24	0	0	0	0	90	18	122	0	0	0	0	20	67	5	0	0	10	0	7	0	11	0	5	0	14	8	0	0	0	0	27	40
