Assemblage_Name	0-4-3972186	1-1-0	4-1-1486100	2-2-6552320	1-0-0	1-1342725-0	4-1-0	0-4-2	1-1-1885430	2-2-0	2-2-3	0-0-1	1-3-4	4-1-1939212	1-3-4864240	2-4619487-3	2-2-7977755
assemblage-366-456	26	17	0	0	66	0	38	41	0	62	149	33	53	0	0	0	15
assemblage-565-445	0	8	0	10	60	0	25	0	0	89	147	71	76	0	0	0	12
assemblage-291-504	36	23	0	0	71	0	27	37	0	78	129	32	46	0	0	0	21
assemblage-502-519	0	0	12	10	129	0	18	0	0	50	58	94	96	0	6	7	20
assemblage-532-424	0	0	18	11	109	0	24	0	0	49	57	104	106	0	7	5	4
assemblage-457-537	23	10	0	0	49	0	36	37	0	69	120	76	63	0	0	0	9
assemblage-566-327	18	25	0	0	57	0	33	25	0	74	155	51	46	0	0	0	16
assemblage-641-508	28	33	0	0	73	10	13	22	0	28	154	40	89	5	0	0	5
assemblage-545-414	28	18	0	0	38	0	43	17	0	48	136	63	97	0	0	0	12
assemblage-435-407	44	30	0	0	79	22	18	25	0	20	142	62	33	0	0	0	25
assemblage-593-417	0	0	0	8	120	0	33	0	0	70	84	41	82	0	17	23	22
assemblage-522-513	0	0	0	7	120	0	40	0	0	63	97	57	70	0	5	27	14
assemblage-510-526	0	0	0	25	75	0	28	0	0	70	142	57	73	0	7	13	10
assemblage-646-432	18	19	0	0	71	6	32	27	11	47	151	59	40	5	0	0	14
assemblage-390-298	0	12	0	14	59	0	21	4	0	93	144	64	78	0	0	0	11
assemblage-376-551	6	16	0	0	74	7	36	30	14	43	155	53	42	9	0	0	15
assemblage-499-594	0	0	25	5	152	0	22	0	0	43	60	70	91	0	0	0	32
assemblage-368-461	24	32	0	0	105	15	31	8	0	28	145	47	42	0	0	0	23
assemblage-393-475	40	34	0	0	82	8	21	30	0	29	139	34	55	0	0	0	20
assemblage-348-558	0	0	0	13	57	0	26	2	0	79	141	65	98	0	0	0	19
assemblage-582-448	0	0	0	8	120	0	53	0	0	63	90	62	78	0	5	6	15
assemblage-435-464	0	0	0	23	96	0	40	0	0	54	119	66	74	0	7	7	14
assemblage-724-494	0	0	0	24	98	0	35	0	0	79	117	67	51	0	7	14	8
assemblage-444-629	35	23	0	0	89	11	24	20	0	24	134	62	59	0	0	0	19
assemblage-434-460	14	17	0	0	51	0	31	29	0	63	130	72	80	0	0	0	13
assemblage-614-636	20	5	0	7	36	0	37	24	0	69	137	76	69	0	0	0	13
assemblage-493-366	13	8	0	5	38	0	47	24	0	86	125	81	54	0	0	0	19
assemblage-497-346	40	48	0	0	70	8	17	21	0	26	132	50	72	0	0	0	16
assemblage-463-453	22	23	0	0	39	0	33	19	0	52	145	82	69	0	0	0	7
assemblage-488-519	17	14	0	0	65	13	26	21	9	59	151	48	54	6	0	0	17
