Assemblage_Name	2-0-3779902	6099412-2-1	3718014-7597781-0	2-0-8430225	7881755-6902352-3937569	6099412-2-5544878	2-0-5134026	1-1-2	1396354-0-3521603	3718014-0-0	7881755-5515373-2467601	4-7336362-1	4-9103438-1	2-0-0	3359263-7597781-0	3037240-3976699-1	4-6806106-1	7881755-8187639-3937569	7881755-5515373-1	4-3-2	2-1968290-3521603	2-3-0	2-3-2	2-8112156-0	6099412-5515373-4916366	6099412-5515373-1	2-0-1239109	7881755-6902352-2347217	3037240-6806106-1	2-0-3521603	9375066-6806106-1	4-984596-1	9133104-5515373-1	4-3076882-1	7497767-5515373-1	4-1889127-3	7096949-8814454-1	6708100-3076882-1	1-0-0	223931-3076882-1	6099412-5515373-1140353	1-3-3563220	7881755-4780678-1	4811131-0-0	7881755-4780678-3937569	4-2166817-1	1649207-5515373-1	8089800-1968290-3521603	6245535-7303766-3521603	2-1350369-0	2-0-2794799	2-7595352-3521603	3832977-0-3521603	6099412-8641326-5544878
assemblage-581-474	19	0	0	9	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	72	24	79	0	13	0	0	21	0	0	12	22	0	32	22	0	0	0	0	0	69	0	6	0	0	4	0	52
assemblage-366-456	0	21	0	0	0	12	0	42	0	0	0	0	0	33	0	0	49	0	0	26	0	20	33	15	0	72	3	0	0	0	0	10	0	0	0	23	0	0	29	0	0	9	0	8	0	0	0	0	0	27	0	0	0	61
assemblage-525-510	0	16	22	6	0	0	0	0	14	0	0	0	0	0	0	0	11	0	0	0	7	0	0	0	0	46	0	0	0	155	10	0	0	0	0	0	60	0	0	0	0	0	9	0	9	32	10	6	0	15	0	4	10	50
assemblage-496-517	0	59	23	0	0	4	0	13	0	9	5	25	0	0	3	0	47	0	15	0	0	0	6	0	0	93	24	0	0	22	29	0	5	0	18	12	0	0	16	0	0	0	0	0	0	0	0	0	0	10	0	0	0	62
assemblage-538-178	32	0	0	12	10	0	0	0	0	0	0	0	9	0	0	10	0	0	0	0	0	0	0	0	0	26	54	48	42	0	19	0	0	19	0	0	30	26	0	8	0	0	0	0	0	0	52	0	9	0	0	29	0	58
assemblage-572-411	0	56	30	0	0	0	0	14	0	13	14	34	0	0	21	0	47	0	23	0	0	0	7	0	0	108	16	0	0	20	9	0	0	0	18	5	0	0	13	0	0	0	0	0	0	0	0	0	0	6	0	0	0	46
assemblage-331-488	12	13	23	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	28	0	6	64	8	0	0	17	0	0	72	3	0	0	0	0	0	0	12	17	13	11	0	27	0	9	2	53
assemblage-410-494	24	0	0	16	12	0	0	0	0	0	0	0	10	0	0	0	0	8	0	0	0	0	0	0	0	42	66	24	33	0	11	0	0	28	0	0	42	17	0	19	0	0	0	0	0	0	59	0	7	0	0	30	0	52
assemblage-663-438	34	0	0	3	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	59	28	63	0	10	0	0	38	0	0	20	15	0	43	18	0	0	0	0	0	51	0	20	0	0	4	0	48
assemblage-565-418	0	31	24	0	0	0	0	8	0	24	0	15	0	0	0	0	26	0	0	0	0	0	0	0	5	85	7	0	0	101	13	0	0	0	6	11	21	0	0	0	0	0	27	0	8	24	0	0	0	8	0	0	0	38
assemblage-425-523	17	12	23	15	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	23	0	6	70	12	0	0	23	0	0	69	6	0	0	0	0	0	0	12	12	16	0	0	22	0	15	12	59
assemblage-401-274	12	7	22	37	7	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	9	0	0	66	5	0	0	19	0	0	65	13	0	0	0	0	0	0	9	20	8	0	0	29	0	17	15	57
assemblage-422-456	0	58	25	0	0	0	0	15	0	7	5	56	0	0	0	0	47	0	0	0	0	0	0	0	0	87	22	0	0	36	19	0	7	0	12	11	0	0	0	0	0	0	16	0	0	9	0	0	0	15	0	0	0	53
assemblage-545-414	0	7	13	10	0	0	0	7	12	0	0	0	0	0	0	0	8	0	0	0	6	0	0	0	0	50	10	0	0	168	5	0	0	0	0	0	26	0	0	0	0	0	16	0	13	31	10	4	0	23	0	0	17	62
assemblage-389-410	0	39	4	0	0	0	0	25	0	10	0	8	0	22	0	0	60	0	17	7	0	5	26	0	0	90	29	0	0	7	19	0	0	0	0	34	0	0	26	0	0	0	0	0	0	0	0	0	0	19	0	0	0	53
assemblage-433-681	0	22	0	0	0	7	0	40	0	0	0	8	0	38	0	0	47	0	3	23	0	15	28	20	0	69	3	0	0	8	0	4	0	0	0	29	0	0	25	0	0	16	0	6	0	0	0	0	0	20	0	0	0	49
assemblage-484-666	15	19	7	14	13	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	42	6	11	15	30	0	0	18	0	0	64	54	0	0	0	0	0	0	0	0	15	0	10	8	14	24	0	72
assemblage-462-580	20	0	0	6	8	0	0	0	0	0	0	0	4	0	0	7	0	0	0	0	0	0	0	0	0	30	76	24	76	0	7	0	0	20	0	0	13	15	0	47	6	0	0	0	0	0	57	0	15	0	0	0	0	56
assemblage-520-613	0	54	32	0	0	0	0	13	0	16	19	29	0	0	0	0	50	0	0	0	0	0	0	0	0	84	12	0	0	31	26	0	6	0	16	9	0	0	0	0	0	0	12	0	0	4	0	0	0	30	0	0	0	57
assemblage-543-670	16	11	6	25	20	0	14	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	54	23	11	4	5	24	0	0	11	0	0	67	43	0	0	0	0	0	0	0	0	11	0	0	17	8	17	0	89
assemblage-582-447	0	19	23	17	0	0	0	0	12	5	0	0	0	0	0	0	12	0	0	0	8	0	0	0	0	41	0	0	0	159	6	0	0	0	0	0	30	0	0	0	0	0	15	0	17	15	7	0	0	18	0	0	6	80
assemblage-390-620	0	39	0	0	0	0	0	26	0	28	0	6	0	19	0	0	56	0	25	7	0	11	26	0	0	100	20	0	0	0	14	0	0	0	0	24	0	0	35	0	0	0	0	0	0	0	0	0	0	6	0	0	0	55
assemblage-438-651	0	26	0	0	0	0	0	37	0	0	0	9	0	34	0	0	37	0	0	13	0	20	31	11	0	64	7	0	0	0	0	5	0	0	0	45	0	0	35	0	0	10	0	4	0	0	0	0	0	35	0	0	0	34
assemblage-415-630	0	30	8	0	0	0	0	23	0	20	0	4	0	28	0	0	71	0	33	12	0	5	25	0	0	101	24	0	0	9	7	0	0	0	0	34	0	0	26	0	0	0	0	0	0	0	0	0	0	12	0	0	0	28
assemblage-530-425	0	31	28	0	0	0	0	8	0	23	0	8	0	0	0	0	18	0	0	0	0	0	0	0	6	88	10	0	0	94	12	0	0	0	5	16	18	0	0	0	0	0	31	0	12	23	0	0	0	7	0	0	0	40
assemblage-309-501	0	54	37	0	0	0	0	18	0	6	21	33	0	0	0	0	41	0	0	0	0	0	0	0	0	78	18	0	0	38	14	0	10	0	20	0	0	0	0	0	0	0	14	0	0	6	0	0	0	25	0	0	0	62
assemblage-460-451	0	61	44	0	0	0	0	12	0	21	8	24	0	7	8	0	36	0	32	0	0	0	8	0	0	84	25	0	0	18	18	0	11	0	13	6	0	0	25	0	0	0	0	0	0	0	0	0	0	10	0	0	0	29
assemblage-415-593	29	0	0	3	4	0	0	0	0	0	0	0	7	0	0	16	0	0	0	0	0	0	0	0	0	35	45	48	20	4	26	0	0	23	0	0	44	18	0	10	5	0	0	0	0	0	59	0	11	0	0	30	0	57
assemblage-500-422	0	39	19	0	0	0	0	6	0	16	11	10	0	0	0	0	21	0	0	0	4	0	0	0	5	100	17	0	0	96	18	0	0	0	4	12	10	0	0	0	0	0	29	0	8	15	0	0	0	8	0	0	0	45
assemblage-567-372	12	8	14	31	16	0	15	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	39	16	14	4	6	29	0	0	13	0	0	57	47	0	0	0	0	0	0	0	0	19	0	4	13	13	32	0	82
