Assemblage_Name	1-0-0	0-4-2	6353971-0-2	4-3557695-2	4-0-2	3-1-2	2-4-7810713	2-4-3	4-2-1	7451169-0-2	8944643-4-3	3-4-3	4-3-2	3-2-3	6783646-3-2
assemblage-409-524	0	0	0	0	180	74	0	40	0	0	56	0	88	55	3
assemblage-521-552	0	0	19	17	184	101	0	6	0	0	78	0	90	5	0
assemblage-377-570	34	0	0	0	200	11	0	89	6	0	0	0	54	103	3
assemblage-296-526	0	17	0	0	79	19	3	95	29	0	0	57	44	133	21
assemblage-528-259	0	0	50	8	157	104	0	21	0	7	66	0	77	3	0
assemblage-489-343	4	0	0	0	188	42	0	33	0	0	25	0	49	152	7
assemblage-605-444	32	0	0	0	199	10	0	91	17	0	0	7	38	105	1
assemblage-416-479	0	0	29	5	189	89	0	13	0	0	97	0	74	4	0
assemblage-611-453	24	0	0	0	202	2	0	80	37	0	0	17	47	89	2
assemblage-494-612	6	0	0	0	213	40	0	41	0	0	24	0	31	140	5
assemblage-491-522	29	0	0	0	234	13	0	78	5	0	0	0	54	77	10
assemblage-633-584	0	0	64	13	161	85	0	8	0	9	73	0	82	0	5
assemblage-665-452	3	34	0	0	99	14	7	108	31	0	0	35	32	116	7
assemblage-546-587	0	0	0	0	161	64	0	36	0	0	69	0	98	67	5
assemblage-616-551	0	0	0	0	178	52	0	45	0	0	71	0	57	84	6
assemblage-364-569	17	0	0	0	190	32	0	70	34	0	0	23	33	97	4
assemblage-543-670	0	0	0	0	219	61	0	29	0	0	76	0	74	37	4
assemblage-504-504	0	0	0	0	229	65	0	27	0	0	57	0	81	39	2
assemblage-593-363	14	10	0	0	163	6	0	130	27	0	0	27	15	97	11
assemblage-540-418	6	11	0	0	171	3	0	120	24	0	0	39	13	109	4
assemblage-445-389	0	0	28	7	164	82	0	10	0	0	105	0	97	0	7
assemblage-584-362	13	0	0	0	216	18	0	72	3	0	0	0	76	98	4
assemblage-382-587	0	0	53	5	159	82	0	32	0	9	76	0	73	0	11
assemblage-724-494	0	0	0	0	207	56	0	26	0	0	65	0	99	41	6
assemblage-587-430	11	0	0	0	220	39	0	30	0	0	26	0	35	131	8
assemblage-309-501	22	0	0	0	220	18	0	61	13	0	0	0	74	82	10
assemblage-474-606	9	22	0	0	57	10	12	105	40	0	0	49	41	135	13
assemblage-493-366	25	0	0	0	227	18	0	59	5	0	0	0	58	93	10
assemblage-488-519	17	0	0	0	230	20	0	49	11	0	0	0	60	103	10
assemblage-417-720	7	13	0	0	156	5	0	145	23	0	0	35	25	83	8
