Assemblage_Name	4-507655-4	7396649-2-0	7093981-4-0	2-7375302-0	1-4-9241391	3-2-1	1-1-4	2-1-0	0-1-4	2-2743871-2	2-7446405-0	4-667909-4	4-4-1	2-3-0	2-2-2	4-2-9509169	0-487118-2	1-6969799-9241391	4-2-4	182705-2-4	7303375-4-0	7388167-2-4	2-4-0	2-1-6332620	0-2150317-2	2-1218603-0	2-3-4338993	5024116-4-0	2-2-9642672
assemblage-707-574	6	18	8	24	7	0	0	110	0	0	0	0	0	120	0	7	0	0	0	0	0	0	98	59	0	0	8	18	17
assemblage-387-549	9	11	0	0	10	0	0	100	0	0	5	0	0	142	0	30	0	0	0	4	0	16	112	29	0	0	2	0	30
assemblage-535-590	9	9	0	0	11	0	0	97	0	0	0	0	0	136	8	9	8	0	134	0	0	19	36	10	0	0	0	0	14
assemblage-398-566	0	70	0	0	88	25	19	19	7	0	0	7	16	59	36	0	38	0	47	0	0	0	28	0	13	0	0	0	18
assemblage-507-435	9	34	9	32	12	0	0	80	0	0	0	0	0	95	0	10	0	0	11	0	0	0	108	65	0	0	9	14	12
assemblage-407-612	0	3	0	0	50	0	0	77	0	0	0	0	0	96	5	6	38	0	115	0	0	0	68	8	0	0	0	0	34
assemblage-685-459	13	0	0	0	10	0	0	82	0	2	0	0	0	150	0	19	1	0	46	0	0	35	92	29	0	2	0	0	19
assemblage-457-537	0	3	0	0	40	0	0	67	0	0	0	0	0	104	15	0	30	0	124	0	0	0	76	9	0	0	0	0	24
assemblage-652-467	0	9	10	39	15	0	0	136	0	0	0	0	0	111	0	0	0	0	0	0	35	0	87	38	0	0	0	6	14
assemblage-340-439	0	8	6	35	12	0	0	126	0	0	0	0	0	136	0	0	0	0	0	0	24	0	89	32	0	0	0	18	12
assemblage-300-435	0	16	0	0	70	20	0	39	4	0	0	5	0	88	7	0	28	14	122	0	0	0	68	0	0	0	0	0	10
assemblage-435-567	6	11	0	0	12	0	0	104	0	2	9	0	0	147	0	17	1	0	38	0	0	31	66	26	0	0	0	0	30
assemblage-494-372	7	5	0	0	12	0	0	82	0	0	0	0	0	174	9	10	9	0	115	0	0	15	43	8	0	0	0	0	11
assemblage-330-531	0	35	0	0	95	18	0	15	5	0	0	12	22	88	33	0	52	7	60	0	0	0	39	0	0	0	0	0	15
assemblage-510-424	0	4	0	0	71	6	0	58	3	0	0	4	0	104	17	0	35	11	99	0	0	0	62	0	0	0	0	0	20
assemblage-462-580	0	6	12	35	7	0	0	119	0	0	0	0	0	142	0	0	0	0	0	0	13	0	89	43	0	0	0	6	13
assemblage-505-604	0	8	0	0	82	15	0	42	9	0	0	0	0	102	9	0	31	6	101	0	0	0	65	0	0	0	0	0	23
assemblage-593-363	0	37	0	0	76	20	0	29	8	0	0	11	29	101	10	0	36	0	71	0	0	0	53	0	0	0	0	0	14
assemblage-494-697	0	0	0	0	40	0	0	77	0	0	0	0	0	88	4	7	36	0	130	0	0	0	80	5	0	6	0	0	27
assemblage-472-392	0	59	0	0	78	24	11	22	10	0	0	17	28	50	47	0	32	0	49	0	0	0	25	0	15	0	0	0	14
assemblage-575-573	7	0	5	0	9	0	0	82	0	0	8	0	0	154	0	29	0	0	10	14	0	10	110	31	0	0	0	0	31
assemblage-430-391	0	35	19	32	9	0	0	100	0	0	0	0	0	126	0	15	0	0	6	0	0	0	85	44	0	0	0	10	19
assemblage-584-311	0	13	0	0	62	17	0	56	17	0	0	8	0	112	18	0	22	10	81	0	0	0	60	0	0	0	0	0	24
assemblage-529-325	6	6	1	9	11	0	0	102	0	0	8	0	0	154	0	29	0	0	10	3	0	6	120	21	0	0	7	0	7
assemblage-468-356	0	7	0	0	80	10	0	55	8	0	0	0	0	96	16	0	20	10	103	0	0	0	59	0	0	0	0	0	33
assemblage-576-481	8	0	0	0	8	0	0	90	0	2	2	0	0	158	0	10	10	0	54	0	0	33	86	18	0	0	0	0	19
assemblage-494-453	0	7	0	0	62	9	0	49	8	0	0	9	0	114	17	0	39	6	100	0	0	0	66	0	0	0	0	0	14
assemblage-561-438	0	79	0	0	88	15	16	31	21	0	0	6	22	48	34	0	36	0	34	0	0	0	26	0	11	0	0	0	17
assemblage-615-470	7	8	0	0	15	0	0	102	0	0	0	0	0	149	0	15	12	0	91	0	0	18	54	4	0	12	0	0	13
assemblage-448-250	0	23	0	0	76	24	0	25	0	0	0	13	17	77	24	0	56	0	74	0	0	0	47	0	0	0	0	0	44
