Assemblage_Name	0-3-1222915	2-2161011-3	0-3-266288	8860931-3-266288	1-3-7897268	3-2-5695130	2679990-3298772-3	1-3-8754942	2679990-2248787-3369476	1-1-0	4410576-2195893-3	3-8562565-0	3-3-3	5576363-3-225523	2-6578657-4	2679990-9497906-3	3-2-0	2909802-3-8025433	3-6014416-5436802	2-7591565-5414765	0-3-4	1-6474487-7897268	8187994-2-0	2679990-2248787-3	2-3-4	2-3-3	6238166-1676692-1	2679990-3-3	2-2-4	2-2195893-3	1-3-8025433	1-3-3	3043437-2285035-4	2679990-7281488-3	3-4522764-5436802	1-3182493-9583226	4459080-3298772-3	3-5019756-5436802	1-3182493-8754942	0-3-225523	3-1905800-0	3746395-1676692-1	8659397-3-4	278169-3838511-225523	2-9376804-3
assemblage-227-549	11	21	0	0	42	0	0	0	6	0	0	0	0	0	0	0	41	0	31	0	44	0	0	51	11	0	0	0	8	27	0	13	16	0	0	6	0	0	31	109	0	9	0	0	23
assemblage-499-650	23	4	0	0	67	0	0	0	0	30	0	0	0	0	0	0	31	7	13	0	62	0	0	17	30	0	0	0	25	12	0	26	6	0	0	0	0	0	50	58	0	15	0	0	24
assemblage-538-178	0	16	0	0	115	0	12	0	0	0	0	21	0	9	0	5	113	0	10	0	0	15	9	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	6	0	0	24	34
assemblage-441-323	0	48	0	0	32	0	15	0	19	0	0	0	0	0	0	0	114	0	36	0	1	0	9	41	0	0	0	0	0	19	0	0	9	0	0	4	0	0	28	76	0	0	0	0	49
assemblage-731-334	21	0	0	0	40	0	0	0	0	31	0	0	0	0	0	0	25	8	19	0	52	0	0	27	42	0	0	0	16	15	0	36	0	0	0	10	0	0	51	61	0	10	0	0	36
assemblage-496-480	0	0	0	9	18	0	0	44	0	16	10	0	0	0	0	0	64	21	0	6	36	0	0	3	27	0	3	0	89	18	7	23	0	0	6	0	0	0	28	37	0	0	0	0	35
assemblage-544-611	0	21	0	0	114	5	31	0	0	0	0	9	0	18	0	0	69	0	0	0	0	5	0	116	0	0	0	0	0	0	0	0	0	10	0	0	14	0	0	36	0	0	0	12	27
assemblage-401-274	0	53	0	0	26	0	19	0	20	0	0	0	0	0	0	0	140	0	31	0	0	0	0	46	0	0	0	0	0	17	0	0	15	0	0	6	0	0	22	55	0	0	0	0	50
assemblage-514-397	0	0	0	8	0	0	0	62	0	14	21	0	45	0	13	0	36	0	0	0	28	0	0	0	28	0	18	4	82	23	7	25	0	0	12	0	0	0	0	39	0	0	7	0	28
assemblage-545-414	5	18	0	0	38	0	0	0	7	0	0	0	0	0	0	0	39	0	34	0	39	0	0	50	7	0	0	0	7	13	0	12	26	0	0	15	0	0	34	120	0	6	0	0	30
assemblage-519-455	0	0	29	0	0	0	0	33	0	15	8	0	44	0	0	0	4	0	0	0	19	0	0	0	54	18	20	0	84	15	0	54	0	0	12	0	0	0	0	54	0	0	0	0	23
assemblage-435-407	0	0	0	16	22	0	0	30	0	10	2	0	0	0	0	0	66	14	0	10	36	0	0	0	34	0	10	0	74	19	5	23	0	0	12	0	0	0	29	35	0	4	0	0	40
assemblage-509-612	0	0	17	0	0	0	0	21	0	22	19	0	40	0	0	0	13	0	0	0	4	0	0	0	60	12	16	0	71	23	0	71	0	0	10	0	0	0	0	61	0	0	0	0	29
assemblage-544-495	0	33	0	0	122	0	8	0	0	0	0	11	0	9	0	7	110	0	17	0	0	16	0	85	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	10	0	0	9	33
assemblage-621-505	0	0	0	0	24	0	0	0	0	20	0	0	0	0	0	0	44	23	5	0	86	0	0	0	23	0	0	0	55	24	0	22	0	0	0	0	0	0	64	54	0	12	0	0	34
