Assemblage_Name	7331787-9437906-5618134	0-1-2728887	0-1-4222711	3057912-4896230-4	0-1-4732635	3057912-4896230-8884434	6398650-1-3	7331787-9437906-5370902	3057912-8591311-4	602166-1-3	0-2696675-4	3-4-9788332	3-9459879-3	4230492-1-3	0-1391069-3	0-4-4	0-1259377-3	0-1-3	6398650-4260671-3	6074209-1-3	0-9437906-5618134	0-4896230-4	4-5404745-4	8284509-4-6972757	0-3628458-5583335	0-9437906-4659995	0-9437906-4	9959780-1-5601131	7168821-3-0	0-2-3	7331787-1193013-5370902	1951731-1-3	4598959-1045261-3	3057912-7987929-4	0-3628458-3	3-4-3	6074209-1782625-3	0-4-6972757	0-3351640-3	3-6639941-3	5972225-2696675-4	4598959-2-3	4-3-0	7128016-4-953810	7207564-1-2	0-4896230-291638	6074209-1-8331502	3-4-2455108	6074209-9190029-3	0-4-6891185	7331787-9451240-5370902	0-5527126-6972757
assemblage-363-547	0	0	23	26	0	0	0	0	0	0	0	0	0	0	0	23	0	40	0	67	11	40	4	0	0	7	26	0	0	24	0	0	7	0	16	31	0	18	0	0	7	13	18	0	33	0	0	0	0	14	0	31
assemblage-363-465	0	0	26	28	0	0	0	0	0	0	0	0	0	0	0	21	0	59	0	40	10	35	9	0	0	0	22	0	0	36	0	0	5	0	16	23	0	26	0	0	6	8	23	0	43	0	0	0	0	14	0	38
assemblage-411-672	0	0	34	44	0	0	0	0	0	0	0	0	0	0	0	31	0	66	0	26	22	31	0	0	0	6	10	0	0	24	0	0	12	0	30	28	16	12	0	0	0	0	19	13	11	2	0	0	4	15	0	34
assemblage-521-552	0	0	0	38	32	0	0	0	7	7	0	24	0	27	7	32	0	166	48	21	0	0	0	0	0	0	0	25	0	0	5	7	0	12	0	8	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	27
assemblage-377-570	0	0	6	118	0	0	0	23	0	0	0	0	0	0	0	30	0	72	0	49	17	13	0	16	10	0	0	0	13	0	0	0	0	0	14	21	0	32	0	0	0	0	0	0	0	0	0	7	0	20	0	34
assemblage-720-545	0	0	13	11	0	0	0	0	0	0	38	0	0	0	0	36	0	68	0	59	12	43	3	0	0	9	43	0	0	38	0	0	0	0	4	20	0	0	0	15	0	15	15	0	22	0	0	0	0	7	0	29
assemblage-685-459	0	0	0	114	27	22	10	0	0	0	0	9	0	0	0	13	0	114	13	48	6	0	0	0	0	0	0	10	0	0	9	0	0	0	0	26	0	8	0	0	0	0	0	0	0	0	0	0	0	0	21	50
assemblage-470-601	0	0	5	7	0	0	0	0	0	0	36	0	0	0	0	39	0	59	0	91	16	34	9	0	0	16	45	0	0	21	0	0	0	0	0	21	0	0	0	13	0	15	18	0	17	0	0	0	0	6	0	23
assemblage-401-535	0	0	13	12	0	0	0	0	0	0	33	0	0	0	0	29	0	48	0	70	7	40	0	0	0	9	52	0	0	28	0	0	0	0	0	30	0	0	0	23	0	14	17	0	27	0	0	0	0	11	0	32
assemblage-448-485	0	0	8	138	0	0	0	7	0	0	0	0	0	0	0	29	0	82	0	47	10	16	0	13	7	0	0	0	7	0	0	0	0	0	20	26	0	28	0	0	0	0	0	0	0	0	0	5	0	10	0	38
assemblage-417-583	11	0	18	97	0	0	0	0	0	0	0	0	0	0	0	6	0	52	0	44	8	19	0	0	8	0	0	0	0	5	0	0	0	0	23	30	15	31	0	0	0	0	11	12	0	5	0	0	0	37	0	55
assemblage-562-542	0	7	0	10	65	0	0	0	14	8	0	45	0	12	0	19	12	108	74	16	0	0	0	0	0	0	0	22	0	0	0	10	0	0	0	20	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	34
assemblage-684-458	0	8	0	43	26	0	0	0	13	4	0	17	0	32	10	30	0	142	45	24	0	0	0	0	0	0	0	27	0	0	0	22	0	10	0	12	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	26
assemblage-573-436	0	0	0	65	11	0	0	0	0	0	0	6	0	21	0	62	0	149	26	16	0	0	0	0	0	0	0	30	0	0	0	10	0	18	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51
assemblage-538-547	10	0	25	90	0	0	0	0	0	0	0	0	0	0	0	25	0	44	0	50	9	17	0	2	13	0	0	0	0	9	0	0	0	0	24	24	15	35	0	0	0	0	1	8	0	0	0	0	0	49	0	50
assemblage-532-375	0	14	0	7	38	0	0	0	12	8	0	50	0	16	0	23	5	130	62	16	0	0	0	0	0	0	0	36	0	0	0	15	0	0	0	9	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	46
assemblage-627-533	0	0	0	131	17	24	4	0	0	0	0	17	0	0	0	11	0	126	9	35	22	0	0	0	0	0	0	4	0	0	3	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	49
assemblage-446-389	0	0	22	61	0	0	0	0	0	0	0	0	0	0	0	34	0	56	0	29	28	33	0	0	0	4	15	0	0	10	0	0	6	0	22	28	10	27	0	0	0	0	25	12	3	0	0	0	8	14	0	53
assemblage-392-579	0	0	0	85	6	10	0	0	0	0	0	14	0	22	0	46	0	129	17	18	0	0	0	0	0	0	0	49	0	0	0	0	0	16	0	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45
assemblage-556-407	0	0	0	31	27	0	0	0	12	6	0	18	0	18	11	41	0	146	32	51	0	0	0	0	0	0	0	39	0	0	0	15	0	7	0	14	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	25
assemblage-563-581	0	0	0	112	21	25	12	0	0	0	0	8	0	0	0	14	0	124	10	43	8	0	0	0	0	0	0	9	0	0	15	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	44
assemblage-382-587	0	11	0	3	52	0	0	0	6	10	0	48	0	19	10	10	17	138	58	11	0	0	0	0	0	0	0	34	0	0	0	11	0	0	0	11	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	43
assemblage-486-416	0	0	0	81	13	0	0	0	0	0	0	17	0	12	0	52	0	135	10	25	0	0	0	0	0	0	0	32	0	0	0	0	0	14	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58
assemblage-505-312	0	0	0	126	0	3	13	20	0	0	0	4	7	0	0	27	0	105	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	40	0	0	0	0	0	0	0	0	0	8	0	0	12	58
assemblage-614-636	0	0	0	132	0	0	0	17	0	0	0	0	0	0	0	29	0	81	0	46	20	10	0	9	11	0	0	0	0	0	3	0	0	0	12	31	0	33	0	0	0	0	0	0	0	0	0	6	0	16	0	38
assemblage-497-346	0	0	18	31	0	0	0	0	0	0	0	0	0	0	0	31	0	61	0	35	12	36	0	0	0	10	19	0	0	27	0	0	0	0	13	40	0	16	0	0	6	12	29	0	43	0	0	0	0	10	0	51
assemblage-463-453	0	0	0	138	0	11	11	10	0	0	0	0	6	0	0	17	0	93	0	37	10	0	0	0	0	0	0	0	2	0	6	0	0	0	0	46	0	31	0	0	0	0	0	0	0	0	0	4	0	0	11	59
assemblage-387-535	5	0	12	93	0	0	0	0	0	0	0	0	0	0	0	29	0	62	0	34	10	18	0	0	5	0	0	0	0	12	0	0	0	0	28	29	10	34	0	0	0	0	11	16	0	6	0	0	0	41	0	39
assemblage-388-516	0	0	0	136	0	5	16	9	0	0	0	11	5	0	0	14	0	116	0	25	3	0	0	0	0	0	0	0	6	0	11	0	0	0	0	44	0	37	0	0	0	0	0	0	0	0	0	11	0	0	0	46
assemblage-419-619	0	0	28	73	0	0	0	0	0	0	0	0	0	0	0	24	0	39	0	41	26	47	0	0	0	8	13	0	0	12	0	0	8	0	29	32	9	21	0	0	0	0	12	7	5	0	0	0	3	16	0	47
