Assemblage_Name	2-6386788-3	2-780022-3	3407081-3-3	6852783-3-2951429	2-3-4430986	2-3-8980426	8923630-1-6408127	0-7024162-5118953	2-3-3486007	2-649189-3	243855-3-54810	2-197041-1956662	2-1020752-3	0-8596694-6408127	7808137-3-3	2-3-2951429	314348-3-3	2-3-1463514	7440663-3-3	3546109-3-3	0-1-2883970	2-6021061-3	0-6735273-1	6952797-1-6408127	1741365-3-3	7750621-3-3	9131857-3-3	3-9177880-1238688	0-1-3989430	0-1-1	0-1-3	2702566-3-3	2-8189641-3	0-9442941-6408127	2-9865985-7947332	0-7453970-3	5334224-3-3	4695908-3-3	2-9082631-3	0-8168496-6408127	7520090-3-7982100	2-601753-2951429	3-0-9915707	2-3-1112534	0-1-5397297	2-3-8487743	2-3-9349855	2-197041-9964548	7440663-391829-3	0-1-3102051	9550585-3-3	0-1-8969826	2-775526-3	5880273-3-3	0-8596694-6882345	2-3-3	2-1775552-3819289	2-2441781-2951429	1196491-1-3	9058732-8189641-3	2361008-3-3	2-3-3819289	9553057-3-7982100	0-7446330-6408127	2-9150477-3	4920201-3-3	0-1-5118953	7070428-3-3	2-197041-3	0-3286771-1	2-8802369-3	243855-3-3	2640016-3-3	3-0-5356809	2-1481228-3	0-8887743-3	296533-1-6408127	2-2522948-3	0-5296008-6408127	2817262-1-1	1741365-3-5324742	2-197041-324629	3-0-1238688	0-3050557-5118953	7880651-1-3	0-87503-1	0-1-6408127	0-1914751-3	4613799-3-3	396438-3-2951429	4492467-197041-3	3555208-3-3	4909669-3-3	492557-3-3	0-4382118-5118953	9079273-3-3	3546109-9134206-3	493862-3-3	2-374806-2951429	2-9263861-3	5768162-3-3	2557124-197041-3	0-1-2824351
assemblage-827-631	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	9	0	14	0	192	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	46	0	0	18	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32
assemblage-831-655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	5	0	18	0	193	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	58	0	0	10	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
assemblage-472-664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	0	4	25	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	211	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	5	0	10
assemblage-618-925	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	7	23	0	0	0	37	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	125	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	2	0	0	49	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	17
assemblage-632-931	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	11	0	0	0	54	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	54	0	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13
assemblage-339-716	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	27	0	0	0	25	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	155	0	112	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	31	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	23
assemblage-932-998	0	9	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	212	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18
assemblage-909-972	0	4	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	0	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-724-995	0	0	0	0	0	0	0	11	0	0	0	0	8	0	0	0	0	0	0	0	0	0	10	0	0	16	0	0	0	13	65	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	9	0	0	0	0	11	0	238	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	33
assemblage-845-912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	385	8	0	0	0	6	13	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23
assemblage-758-647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	15	0	0	0	0	0	0	401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-730-622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	40	0	0	0	0	0	0	0	74	0	11	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	134	0	0	0	29	0	0	0	0	0	0	0	0	0	29	22	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	114	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	5
