Assemblage_Name	4-8800782-6871829	5529538-8800782-3911792	2-2-3762471	4-8800782-1873287	8757830-3701009-4	9825770-8800782-3911792	4-3-1360380	814241-3254148-3911792	3-1-1	4-3-2838633	4-3218807-4	9825770-8800782-9497377	3351340-8800782-3911792	6402693-3-4	5717370-2-3	4-8800782-4497202	4607174-2-3	4-3-9725036	4-5043594-3911792	4-3-6308998	4-255833-4	8585044-8800782-3911792	5479110-8800782-5334774	4-3-5234822	3351340-2693149-3911792	4-3-5109829	9825770-8800782-1756235	4860892-3-0	2-2-6604224	1498693-8800782-5334774	6402693-3-7653068	9147920-8800782-3911792	2-2-3481965	7591983-3-4	4-3-0	4-3-4	4-4556026-4	4-3701009-4	2179156-8800782-3911792	4-8811315-3911792	4-3-7111663	2-2-9887235	4-3-2875646	814241-8800782-3911792	4-4694505-3911792	4-8800782-3911792	9825770-8800782-5334774	4-3-8538632	2-2-3	9825770-2179893-5334774	4-8800782-9004968	4-8800782-4785994	5182737-3-4	4-8800782-9638264	0-2-4	4060760-2-3	4-6101684-3911792	4-8800782-2731826	4-4843932-3911792	4-8800782-2045162	4-1216877-0	4-3-3911792	5124336-3-4	3-5803975-1	5641647-8800782-3911792	4-8509743-0	4-7136511-3911792	4-8800782-1295176	4-3-1321718	8595077-2-3	9205383-3-0	2-2-4337818	4-3-5954115	9652347-8800782-3911792	2-2-8838488	2-2-7989941	4-4590795-0	3403736-8800782-3911792	5486081-258205-4	5486081-4556026-4	4-3-6546802
assemblage-821-647	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	217	182	37	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-110-907	0	0	0	0	0	0	0	0	173	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	74	9	0	0	0	0	0	0	0	0	0	0	0	0	199	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-473-651	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	88	0	0	0	0	0	0	0	0	0	19	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	13
assemblage-594-508	0	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	4	0	0	0	0	0	0	0	0	60	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	90	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	11
assemblage-700-275	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	108	6	0	0	0	0	0	0	0	0	78	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	4
assemblage-611-922	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	91	107	0	0	0	0	0	0	0	0	0	62	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-728-992	0	0	0	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	27	6	0	0	0	0	0	0	0	0	147	0	9	74	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	22
assemblage-731-490	0	0	0	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	18	31	6	0	0	0	0	0	0	0	0	156	0	6	88	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	6
assemblage-725-980	0	0	0	0	0	0	0	0	12	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	104	103	13	0	0	0	0	0	0	0	0	128	0	0	104	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	14
assemblage-826-115	0	0	0	0	0	0	0	0	96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	0	0	19	53	0	0	0	0	0	0	0	0	0	226	0	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	11
