Assemblage_Name	4-9357092-2745693	4-3863209-8279654	4436449-0-6389333	9948559-1581673-2745693	4-0-3550337	0-1-5363348	4-3863209-2745693	8741822-3851532-8197965	0-1-2305687	7878909-1643377-4	0-4040676-3	0-4717351-3	1636596-4680579-4	2903256-0-2745693	2137726-2-0	4436449-3291567-3950599	1611174-0-4	1882143-0-2745693	322338-8813429-2	4436449-6432998-2745693	0-1-9826683	1636596-7071604-4	2938425-3-6470177	2-3-886062	3404478-8813429-2996775	0-4625641-3	4436449-0-2745693	0-1-3039588	3404478-3790140-2	5351099-3825692-6470177	0-1-2234354	7878909-0-490626	0-4717351-6184361	1636596-3234523-4	4-0-2745693	1611174-0-589116	3878729-0-4	8304096-0-2745693	3275645-1-3	7878909-0-9302449	1636596-4040195-4	5351099-3-1948781	3404478-8813429-677940	0-1-1915022	0-1-3	4436449-0-3186665	1636596-907724-4	7100060-0-2745693	4-3863209-5953028	0-1-6230812	3404478-4055634-2	3047558-309335-4	5351099-8313925-6470177	2042435-0-4	3404478-8813429-174076	3404478-8813429-8707660	7878909-0-3683909	3878729-183693-4	7100037-0-4	136478-0-4	0-1-7655026	8250235-0-4	11034-1-3	3404478-8813429-2331760	3309347-3851532-4110204	8741822-3851532-2461665	5020947-8813429-2	4436449-3291567-9563289	5405002-1-3	5351099-2791607-6470177	8741822-3-622256	7878909-309335-4	2806890-0-4	4-0-3315041	8865847-0-4	3504758-0-4	5209173-7212449-2	619899-7686788-4	8741822-3851532-4110204	3404478-8813429-1809271	0-8482019-3	0-1-9745792	3324313-8813429-2	7878909-0-7396481	1636596-6030981-4	1636596-0-8565198	3404478-8813429-9949209	9741177-0-2552063	4555831-0-4	3751028-1-3	8945628-0-4	5405002-3987996-3	2-3-4110204	7908608-1-2305687	7878909-3308234-4	7878909-0-9734653	0-940393-2234354	1636596-0-4	4-5877398-2745693	3404478-7212449-2	3330997-9498649-4	4-9498649-4	0-1-3567342	3404478-8674152-2331760	3404478-4241957-2	9948559-0-2745693	7878909-2947735-4	4436449-0-9055541	7878909-5941365-4	0-1-3342154	1636596-0-7536050	0-5320201-3	3-3-8408710	1-7212449-4880014	0-5977268-3	4-0-4	1931947-1-3	7878909-0-4	41829-8813429-1809271	3404478-8813429-2	0-2452556-3	3404478-446515-2	1043444-0-2745693	3-514553-8408710	8477441-3-6470177	4436449-0-2552063	5351099-3-6470177	4436449-8129319-2745693	0-396446-2234354	3404478-2703296-2
assemblage-111-900	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	234	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	30
assemblage-486-668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	10	0	33	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	61	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	71	0	0	0	0	0	0	0	59	0	0	0	0	0	36
assemblage-472-664	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	14	0	37	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	170	0	52	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	88	0	0	0	0	0	0	0	52	0	0	0	0	0	31
assemblage-601-501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	18	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	4	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	53	0	8	0	0	0	0	0	0	0	0	0	0	0	0	12	10	0	65	0	0	0	0	0	0	0	21	0	0	18	0	0	13
assemblage-606-504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	88	0	1	0	0	0	0	0	0	0	102	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	19	0	0	0	0	0	20	0	0	0	0	0	0	20	0	0	55	0	0	0	13	0	0	0	16	0	0	0	0	0	26
assemblage-608-915	0	0	0	0	13	0	0	75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	0	15	0	63	0	0	36
assemblage-725-980	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	14	0	0	0	10	0	0	7	164	8	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	1	25	11	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	39	0	0	0	0	0	0	44	0	0	43
assemblage-731-490	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	97	0	0	0	0	0	12	0	0	0	0	0	0	0	53	0	0	0	81	0	0	0	0	0	0	28	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	83	0	0	0	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	21
assemblage-597-731	0	37	0	0	0	0	45	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	14	0	0	0	68	0	0	0	0	0	0	20	0	0	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	113	0	0	22
assemblage-815-115	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	34	0	0	0	0	0	21	0	0	0	0	0	0	0	17	0	0	0	24	0	0	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	77	0	0	0	37	0	7	23
