Assemblage_Name	8649918-7973211-1	4-7325524-0	2-2-4	8951172-2-2	4819667-4-2	3-3-3	9414749-4-1	1-830448-7226934	0-4-8471057	0-4-1	0-4-3	1-2-7226934	0-4-5359231	6853142-2-2	4819667-4-7341159	0-9069405-1	9328518-2-2	2664210-4-1	2973415-2-2	3333002-4-1	7074420-4-640348	2201292-4-4646843	0-2-2	8649918-4-1	5505025-2-7226934	8860952-4-2	1-147155-7226934	1-5877863-7226934	4-4-2	0-4-4646843	0-4-1409507	1-2-5768722	0-4-640348	0-4-7563454	7287758-4-338456	667318-4-2	0-1230116-3	0-5638181-1	0-4-5347707	3-3-9040880	0-4-9612300
assemblage-818-645	0	44	0	0	0	86	0	0	0	123	10	212	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-104-904	0	9	18	0	0	12	0	0	0	144	0	78	0	0	0	0	0	0	0	0	0	0	87	0	18	0	0	0	122	0	0	7	0	0	0	0	0	0	0	0	5
assemblage-110-907	0	9	25	0	0	21	0	0	0	129	10	82	0	0	0	0	0	0	0	0	0	0	59	0	26	0	0	0	123	0	0	13	0	0	0	0	0	0	0	0	3
assemblage-688-285	0	5	0	0	0	0	0	13	0	91	16	142	0	0	0	0	0	0	0	0	0	0	64	0	50	0	0	0	112	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-370-702	0	13	0	0	0	5	0	18	0	87	11	160	0	0	0	0	0	0	0	0	0	0	48	0	40	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-700-275	0	16	0	0	0	72	0	0	0	55	91	108	0	0	0	0	0	0	0	0	0	0	52	0	8	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-915-994	0	0	0	0	4	73	0	0	0	195	46	37	0	0	0	0	0	0	0	0	0	0	0	75	17	0	0	5	39	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-932-998	0	0	0	0	0	4	0	0	0	148	26	140	0	0	0	0	0	0	0	0	0	0	21	0	140	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	9
assemblage-731-490	0	5	0	0	9	45	0	0	0	206	34	51	0	0	0	0	0	0	0	0	0	0	0	65	21	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	7
assemblage-815-115	0	64	0	0	0	82	0	0	0	190	6	46	0	0	0	0	0	0	0	0	0	0	12	19	5	0	0	0	73	0	0	0	0	0	0	0	0	0	0	0	3
