Assemblage_Name	6947232-0-2	2885922-4-2	1362245-0-2	6739718-4-2	6739718-4-3051932	9217809-4-2	8624157-8420506-4	6433993-1-2	6739718-4-7563067	2-6228980-2	6739718-4-4208516	8727855-0-2	4074673-3-3	3-1-8679728	2-0-2	3-1-7211345	0-8420506-4	1347412-1-2	6739718-4-9287318	6739718-4-8656801	3-1-2	9005236-1-2	4331478-4-2	0-3-1	0-4-4	9637215-4-2	6739718-9135295-3051932
assemblage-258-727	0	0	0	434	6	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	47	0	0	0	0	0	6
assemblage-492-657	0	0	0	51	0	0	0	0	0	0	0	0	47	0	247	0	0	0	0	0	145	0	0	0	0	0	10
assemblage-94-905	0	0	0	95	0	0	0	0	0	0	0	0	0	0	16	0	158	0	0	0	135	0	0	0	92	0	4
assemblage-609-945	0	0	0	95	36	6	0	0	0	0	0	0	9	0	126	0	84	0	0	0	98	0	0	0	43	0	3
assemblage-604-525	0	0	0	129	31	0	0	0	0	0	0	0	0	0	8	4	157	0	0	0	134	0	0	0	31	0	6
assemblage-599-513	0	0	0	118	28	0	0	0	0	0	0	0	0	0	95	0	9	0	0	0	170	0	0	0	75	0	5
assemblage-605-717	0	0	0	174	44	32	0	0	0	0	0	0	0	0	5	0	15	0	0	0	197	0	0	0	27	0	6
assemblage-597-731	0	0	0	124	48	14	0	0	28	0	0	0	0	0	113	0	54	0	32	0	87	0	0	0	0	0	0
assemblage-932-998	0	0	0	166	0	23	0	0	0	0	0	0	0	0	97	0	54	0	0	0	148	0	0	0	0	0	12
assemblage-755-641	0	0	0	147	27	0	6	0	0	0	0	0	0	0	62	0	25	0	0	0	216	0	0	0	9	0	8
assemblage-868-903	0	0	0	353	6	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	66	0	0	0	24	0	7
assemblage-754-638	0	0	0	75	26	0	0	0	0	0	0	0	0	0	84	0	32	0	9	0	271	0	0	0	0	0	3
assemblage-370-248	0	0	0	146	25	0	0	0	0	0	0	0	0	0	120	0	0	0	0	0	207	0	0	0	0	0	2
assemblage-365-269	0	0	0	88	193	0	0	0	0	0	0	0	0	0	17	0	5	0	0	0	194	0	0	0	0	0	3
assemblage-357-276	0	0	0	156	17	0	12	0	0	0	0	0	0	0	129	0	17	0	0	0	165	0	0	0	0	0	4
assemblage-605-283	0	0	0	112	230	0	0	0	0	0	0	0	0	0	132	0	0	0	0	0	24	0	0	0	0	0	2
assemblage-226-489	0	0	0	105	210	0	0	0	0	0	0	0	0	0	168	0	0	0	0	0	17	0	0	0	0	0	0
assemblage-617-283	0	0	0	216	120	0	0	4	0	0	10	0	0	0	46	0	0	0	0	0	104	0	0	0	0	0	0
assemblage-470-744	0	0	0	119	185	0	0	0	0	0	0	0	0	0	174	0	0	0	0	0	9	0	0	0	0	0	13
assemblage-474-731	0	0	0	142	177	0	0	0	0	0	0	0	0	0	160	0	0	0	0	0	20	0	0	0	0	0	1
assemblage-896-872	0	0	0	13	186	0	0	0	0	0	0	0	0	0	201	0	0	0	0	0	66	33	0	0	0	0	1
assemblage-365-492	0	0	0	193	115	0	0	0	0	0	0	0	0	0	117	0	0	0	0	0	0	7	0	0	0	63	5
assemblage-668-930	0	0	0	119	130	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	44	3
assemblage-351-499	0	0	0	174	244	0	0	0	0	0	0	0	0	0	76	0	0	0	0	0	0	6	0	0	0	0	0
assemblage-340-180	0	0	0	199	40	0	0	0	0	0	0	0	0	0	212	0	0	0	0	0	0	29	0	0	0	20	0
assemblage-224-659	0	0	0	166	56	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	29	0	0	0	31	0
assemblage-223-771	0	0	0	162	82	0	0	0	0	0	0	0	0	0	144	0	0	0	0	0	0	101	0	0	0	11	0
assemblage-247-99	0	0	0	73	86	0	0	0	0	0	0	0	0	0	100	0	0	55	0	0	0	179	0	0	0	4	3
assemblage-262-106	0	0	0	72	49	0	0	0	0	0	0	0	0	0	231	0	0	0	0	27	0	59	0	0	0	61	1
assemblage-243-162	0	0	0	193	28	0	0	0	0	0	0	0	0	0	240	0	0	0	0	0	0	3	0	0	0	25	11
