Assemblage_Name	1-5755206-3342467	780976-2-4	1-1-0	4-2-5568542	4-2-4866253	1-1-8074541	1-5755206-4	1-4-4	3-2-3	7310923-1731390-4	4841450-4-4	4133495-4-5015187	2-1-4	3-4-3	1-4-6220029	3-5828303-3	1-4-5015187	1-8079584-4	1-4-9027733	1-4-8659540	78621-4-4	3-6755336-4	4-4-1	3-2-4	3-4633007-4	1-4-4630326	4-2-4	7310923-1731390-3800288	8862870-4-4	9481554-6755336-4	4-1730379-4	9728930-4-4	7310923-1731390-5935682	1-4-9153831	1-4-8095603
assemblage-111-900	0	0	0	0	0	0	0	260	0	81	0	0	0	3	0	0	0	0	0	0	0	0	40	18	0	0	92	0	0	0	0	0	0	0	6
assemblage-828-627	0	0	161	0	0	0	0	100	0	0	0	0	84	68	0	0	0	0	0	0	0	0	0	4	0	0	78	0	0	0	0	0	0	0	5
assemblage-827-631	0	0	152	0	0	0	0	109	0	0	0	0	86	69	0	0	0	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	6
assemblage-676-292	0	0	14	0	0	0	0	197	0	69	0	0	36	60	0	0	0	0	0	0	0	8	6	21	0	0	78	6	0	0	0	0	0	0	5
assemblage-602-930	0	0	8	0	0	11	0	189	0	53	0	0	68	57	0	0	0	0	0	0	0	8	0	18	0	0	74	7	0	0	0	0	0	0	7
assemblage-636-922	0	0	10	0	0	0	0	162	0	46	0	0	10	15	0	0	0	0	0	0	0	114	37	91	0	0	0	0	0	0	0	0	0	0	15
assemblage-914-974	0	0	83	0	0	0	0	176	0	0	0	0	0	86	0	0	0	0	0	0	0	43	7	92	0	0	5	0	0	0	0	0	0	0	8
assemblage-757-478	0	0	85	0	0	0	0	168	0	4	0	0	7	81	0	0	0	0	0	0	0	30	5	107	0	0	12	0	0	0	0	0	0	0	1
assemblage-739-488	0	0	87	0	0	0	0	181	0	6	0	0	6	65	0	0	0	0	0	0	0	36	3	110	0	0	0	0	0	0	0	0	0	0	6
assemblage-828-136	0	0	14	0	0	0	0	184	0	133	0	0	0	0	0	0	0	0	0	0	0	63	26	15	0	0	58	0	0	0	0	0	0	0	7
assemblage-754-638	0	0	45	0	0	0	0	210	0	93	0	0	0	13	0	0	0	0	0	0	0	35	25	30	0	0	45	0	0	0	0	0	0	0	4
assemblage-437-378	0	0	13	0	0	0	0	146	0	53	0	0	0	56	0	28	0	0	0	0	0	51	138	13	0	0	0	0	0	0	0	0	0	0	2
assemblage-501-748	0	0	0	0	0	0	0	316	0	38	0	0	0	14	0	17	0	0	0	0	0	60	16	0	0	0	34	0	0	0	0	0	0	0	5
assemblage-251-956	0	0	0	0	0	0	0	304	0	48	0	0	0	7	0	23	0	0	0	0	0	66	16	0	0	0	32	0	0	0	0	0	0	0	4
assemblage-745-570	0	0	0	0	0	0	0	205	0	107	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	103	0	0	0	0	0	0	0	5
assemblage-605-283	0	0	0	0	0	0	0	161	0	58	0	0	0	0	0	0	9	0	0	7	0	30	67	0	0	0	157	0	0	0	0	0	0	0	11
assemblage-617-283	0	7	0	0	0	0	0	89	0	128	0	0	0	0	0	0	0	0	0	0	0	19	129	0	0	0	109	0	0	0	0	0	0	0	19
assemblage-209-484	0	0	0	0	0	0	0	181	0	44	0	0	0	0	0	0	4	0	0	26	0	33	66	0	0	0	133	0	0	0	0	0	10	0	3
assemblage-897-857	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	79	7	0	0	0	176	0	0	0	0	0	0	0	8
assemblage-515-132	0	0	0	0	0	0	0	238	0	0	0	0	0	0	0	0	0	0	0	0	0	96	7	0	0	0	149	0	0	0	0	0	0	0	10
assemblage-470-744	0	0	0	0	0	0	0	248	0	3	0	0	0	0	0	0	0	0	0	0	0	81	6	0	0	0	161	0	0	0	0	0	0	0	1
assemblage-412-860	0	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	233	23	0	0	0	129	0	0	0	0	0	0	0	1
assemblage-668-930	0	0	0	0	0	0	0	135	0	0	0	13	0	0	0	0	6	0	0	0	0	64	0	0	0	0	272	0	0	0	0	0	0	0	10
assemblage-362-487	0	0	0	0	0	0	0	135	0	0	0	10	0	0	0	0	0	0	0	0	0	63	0	0	0	0	281	0	0	0	0	0	0	0	11
assemblage-243-797	0	0	0	0	0	0	7	101	0	0	0	0	0	0	0	0	0	0	0	0	0	225	0	0	0	0	139	0	0	2	0	18	0	0	8
assemblage-340-180	0	0	0	0	0	0	24	104	0	0	7	3	0	0	9	0	0	0	0	0	0	150	0	0	0	0	199	0	0	0	0	0	0	0	4
assemblage-331-188	0	0	0	0	0	0	0	175	0	0	0	15	0	0	0	0	0	0	0	0	0	164	0	0	0	0	131	0	0	0	0	0	0	7	8
assemblage-564-470	0	0	0	0	0	0	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	139	0	0	0	0	123	0	0	0	0	0	0	0	8
assemblage-571-457	0	0	0	0	8	0	6	184	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	56	0	0	0	0	41	0	0	1
assemblage-367-320	21	0	0	0	0	0	14	49	0	0	0	0	0	0	0	0	0	0	0	0	0	294	0	0	0	0	120	0	0	0	0	0	0	0	2
