Assemblage_Name	8501377-4-4	1-0-0	4-6666364-2	0-4-2	1083166-2-3	6353971-0-2	2-4-7711776	4-3557695-2	4-0-2	3-1-2	9288241-0-2	2-4-7810713	7800318-3-2	5496186-4-3	2-8378216-3	2-4-3	4-0-6895366	4-2-1	7451169-0-2	4-0-6634758	3-4253551-3	1-2-4	8944643-4-3	4-0-945479	3-4-3	4-3-2	3-2-3	4065368-4-3	9475619-0-2	6783646-3-2
assemblage-474-606	0	9	0	22	0	0	0	0	57	10	0	12	0	0	0	105	0	40	0	0	0	0	0	0	49	41	135	7	0	13
assemblage-665-452	2	3	0	34	0	0	0	0	99	14	0	7	0	0	0	108	0	31	0	0	0	0	0	0	35	32	116	0	12	7
assemblage-296-526	0	0	0	17	0	0	0	0	79	19	0	3	0	0	0	95	0	29	0	0	0	0	0	0	57	44	133	3	0	21
assemblage-417-720	0	7	0	13	0	0	0	0	156	5	0	0	0	0	0	145	0	23	0	0	0	0	0	0	35	25	83	0	0	8
assemblage-593-363	0	14	0	10	0	0	0	0	163	6	0	0	0	0	0	130	0	27	0	0	0	0	0	0	27	15	97	0	0	11
assemblage-540-418	0	6	0	11	0	0	0	0	171	3	0	0	0	0	0	120	0	24	0	0	0	0	0	0	39	13	109	0	0	4
assemblage-605-444	0	32	0	0	0	0	0	0	199	10	0	0	0	0	0	91	0	17	0	0	0	0	0	0	7	38	105	0	0	1
assemblage-364-569	0	17	0	0	0	0	0	0	190	32	0	0	0	0	0	70	0	34	0	0	0	0	0	0	23	33	97	0	0	4
assemblage-611-453	0	24	0	0	0	0	0	0	202	2	0	0	0	0	0	80	0	37	0	0	0	0	0	0	17	47	89	0	0	2
assemblage-488-519	0	17	0	0	0	0	0	0	230	20	0	0	0	0	0	49	0	11	0	0	0	0	0	0	0	60	103	0	0	10
assemblage-309-501	0	22	0	0	0	0	0	0	220	18	0	0	0	0	0	61	0	13	0	0	0	0	0	0	0	74	82	0	0	10
assemblage-584-362	0	13	0	0	0	0	0	0	216	18	0	0	0	0	0	72	0	3	0	0	0	0	0	0	0	76	98	0	0	4
assemblage-491-522	0	29	0	0	0	0	0	0	234	13	0	0	0	0	0	78	0	5	0	0	0	0	0	0	0	54	77	0	0	10
assemblage-493-366	0	25	0	0	0	0	0	0	227	18	0	0	0	0	0	59	5	5	0	0	0	0	0	0	0	58	93	0	0	10
assemblage-377-570	0	34	0	0	0	0	0	0	200	11	0	0	0	0	0	89	0	6	0	0	0	0	0	0	0	54	103	0	0	3
assemblage-587-430	0	11	0	0	0	0	0	0	220	39	0	0	0	0	0	30	0	0	0	0	0	0	26	0	0	35	131	0	0	8
assemblage-489-343	0	4	0	0	0	0	0	0	188	42	0	0	0	0	0	33	0	0	0	0	0	0	25	0	0	49	152	0	0	7
assemblage-494-612	0	6	0	0	0	0	0	0	213	40	0	0	0	0	0	41	0	0	0	0	0	0	24	0	0	31	140	0	0	5
assemblage-616-551	0	0	0	0	7	0	0	0	178	52	0	0	0	0	0	45	0	0	0	0	0	0	71	0	0	57	84	0	0	6
assemblage-546-587	0	0	0	0	0	0	0	0	161	64	0	0	0	0	0	36	0	0	0	0	0	0	69	0	0	98	67	0	0	5
assemblage-409-524	0	0	0	0	4	0	0	0	180	74	0	0	0	0	0	40	0	0	0	0	0	0	56	0	0	88	55	0	0	3
assemblage-504-504	0	0	0	0	0	0	0	0	229	65	0	0	0	0	0	27	0	0	0	0	0	0	57	0	0	81	39	0	0	2
assemblage-543-670	0	0	0	0	0	0	0	0	219	61	0	0	0	0	0	29	0	0	0	0	0	0	76	0	0	74	37	0	0	4
assemblage-724-494	0	0	0	0	0	0	0	0	207	56	0	0	0	0	0	26	0	0	0	0	0	0	65	0	0	99	41	0	0	6
assemblage-521-552	0	0	0	0	0	19	0	17	184	101	0	0	0	0	0	6	0	0	0	0	0	0	78	0	0	90	5	0	0	0
assemblage-416-479	0	0	0	0	0	29	0	5	189	89	0	0	0	0	0	13	0	0	0	0	0	0	97	0	0	74	4	0	0	0
assemblage-445-389	0	0	0	0	0	28	0	7	164	82	0	0	0	0	0	10	0	0	0	0	0	0	105	0	0	97	0	0	0	7
assemblage-633-584	0	0	0	0	0	64	0	13	161	85	0	0	0	0	0	8	0	0	9	0	0	0	73	0	0	82	0	0	0	5
assemblage-382-587	0	0	0	0	0	53	0	5	159	82	0	0	0	0	0	32	0	0	9	0	0	0	76	0	0	73	0	0	0	11
assemblage-528-259	0	0	0	0	0	50	0	8	157	104	0	0	0	0	0	21	0	0	7	0	0	0	66	7	0	77	3	0	0	0
