Assemblage_Name	6040778-1-6993961	3-7795434-4	0-2120510-2	2707059-1-6993961	0-3-1233171	4-7271781-3	3-1-2980460	4-8692364-4366614	3-0-3525179	3-6118228-6993961	3-1-4604062	6323801-0-7667824	7649664-0-1	3257912-3-4	0-2673864-9265665	2-0-6870465	8889162-0-1	2-1353990-1	2159717-1-6993961	4-8692364-8481405	4535525-0-1	4635453-9891747-4366614	3-3-0	3-0-4399317	3-1-7872538	4869553-1-478759	3-404155-3	3-7577502-3	6761502-0-3	4913220-3-9265665	2-0-1	0-3-2	0-3-0	4791050-8692364-3	39584-3-0	3-8113627-4	9009088-1-6993961	716884-1991349-2	0-3-3997397	7848471-3-2	716884-3-2695574	0-7689970-2982541	4365672-9891747-4366614	2707059-1-3716972	8648245-3-4	716884-3-2	4365672-2278308-4366614	4365672-9891747-6554366	3-1-9736794	4-3784038-4366614	3-8216973-2980460	3-4170542-6993961	4-1-6838853	0-2876149-9265665	6911797-1-6993961	1564395-1-523196	3-0-2024325	3-8902315-0	0-3-2982541	6707423-9891747-4366614	3-2370033-3	3-3649052-4399317	3-3-4	2-0-8784122	4-9891747-4366614	6630198-3-2982541	0-3-3579674	3-1024418-523196	501694-0-1	4-1-3	6598493-3-0	3-1-6993961	2-0-3486940	3-2369190-2980460	3-9933740-3	9192292-1-6993961	3-1-523196	3-9217066-6993961	3-0-3	4919900-0-3	0-3-9265665	3-1-9988781	1759429-3-2	5436914-0-3	3-1-4438977	4-8692364-3	3-5120568-523196	0-5758324-0	2707059-2213686-6993961	3-0-7667824	5079212-0-1	0-1632284-1233171
assemblage-459-519	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	10	0	0	0	14	0	0	0	0	0	0	0	9	59	27	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	2	0	90	0	0	0	0	0	7	140	0	0	0	0	0	0	26	0	0	0	0	0	23
assemblage-486-541	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	10	0	0	0	0	0	0	0	32	63	19	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	94	0	0	0	0	0	0	143	0	0	0	0	0	0	11	0	0	0	0	0	37
assemblage-465-469	0	0	0	4	0	0	0	0	0	0	0	0	4	0	0	0	0	0	13	0	0	0	18	0	0	0	0	0	0	0	17	48	27	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	3	0	0	0	0	37	0	0	0	0	0	0	7	0	127	0	0	0	0	0	0	137	0	0	0	0	0	0	20	0	0	0	0	0	23
assemblage-363-465	0	0	0	14	6	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	14	74	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	10	0	0	0	40	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	117	0	0	0	0	0	0	43	0	0	0	0	0	15
assemblage-458-568	0	0	0	10	13	0	0	5	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	49	41	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	61	0	0	0	0	0	0	0	0	102	0	0	0	0	0	0	83	0	0	0	0	0	0	20	0	0	0	0	0	19
assemblage-593-363	0	0	0	11	0	0	0	9	0	0	0	0	24	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	22	87	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	10	0	0	0	34	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	106	0	0	0	0	0	0	33	0	0	0	0	0	35
assemblage-648-407	0	0	0	16	6	0	0	7	0	0	0	0	46	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	34	35	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	27	0	18	0	0	0	6	0	0	100	0	0	0	0	4	0	71	0	0	0	0	0	0	15	0	0	0	0	0	15
assemblage-348-355	0	0	0	11	0	0	0	15	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	40	56	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	0	24	0	13	0	0	0	0	0	0	99	0	0	0	0	9	0	64	0	0	0	0	0	0	11	0	0	0	0	0	26
assemblage-584-311	0	0	0	15	0	0	0	8	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	41	42	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	0	27	0	7	0	0	0	6	0	0	94	0	0	0	0	0	0	80	0	0	0	0	0	0	13	0	0	0	0	0	22
assemblage-309-501	0	0	0	22	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	8	0	0	0	27	0	0	0	0	0	0	52	21	25	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55	0	0	0	19	0	20	0	0	0	21	0	0	83	0	0	0	0	22	0	63	0	0	0	0	0	0	0	0	0	0	0	0	42
assemblage-483-276	0	0	0	22	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	12	0	0	0	35	0	0	0	0	0	0	53	23	21	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	80	0	0	0	28	0	6	0	0	0	20	0	0	90	0	0	0	0	16	0	41	0	4	0	0	0	0	0	0	0	0	0	0	31
assemblage-467-505	0	0	0	21	0	0	0	7	0	0	0	0	8	0	0	0	0	0	0	18	0	0	0	44	0	0	0	0	0	0	49	19	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	75	0	0	0	31	0	8	0	0	0	5	0	0	66	0	0	0	0	23	0	69	0	0	0	0	0	0	0	0	0	0	0	0	28
assemblage-603-692	0	0	0	34	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	21	0	0	0	8	0	0	0	0	0	0	72	37	11	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	21	0	0	0	0	0	0	0	0	91	0	0	0	0	67	0	34	0	7	0	0	0	0	0	0	0	0	0	0	39
assemblage-392-423	0	0	0	11	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	12	0	0	0	26	0	0	0	0	0	0	52	28	9	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	0	25	0	0	0	0	0	0	0	0	94	0	0	0	0	50	0	29	0	21	0	0	5	0	0	0	0	0	0	0	26
assemblage-377-570	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	13	0	0	0	0	0	0	71	32	20	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	10	0	0	0	0	0	13	0	0	117	0	0	0	0	43	0	34	0	21	0	0	0	0	0	0	0	0	0	0	36
assemblage-227-549	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	8	10	14	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42	0	0	0	26	0	0	0	0	0	11	0	0	165	0	0	0	0	59	0	41	0	7	0	0	23	0	0	0	0	0	0	0	31
assemblage-326-573	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	24	25	10	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	59	0	0	0	20	0	0	0	0	0	13	0	0	109	0	0	0	0	81	0	48	0	6	0	0	10	0	0	0	0	0	0	0	21
assemblage-659-658	0	0	0	27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	17	0	0	0	0	11	0	23	19	17	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	63	0	0	0	30	0	0	0	0	0	6	0	0	112	0	0	0	0	66	0	48	0	6	0	0	5	0	0	0	0	0	0	0	21
assemblage-394-542	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	6	0	0	0	34	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	27	0	0	0	23	0	0	0	0	0	12	0	0	108	0	0	0	0	68	0	70	0	26	0	0	6	0	0	0	0	0	0	0	15
assemblage-405-545	0	0	0	40	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	25	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	17	9	0	0	0	0	5	0	0	102	0	0	0	0	82	0	70	0	39	0	0	15	0	0	0	0	0	0	0	17
assemblage-543-638	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	18	0	0	0	34	0	0	0	0	0	0	0	0	0	31	0	0	10	0	0	0	0	0	0	0	0	6	0	0	0	29	0	0	0	35	0	0	0	0	0	11	0	0	73	0	0	0	0	70	0	62	0	37	0	0	8	0	0	0	0	0	0	0	11
assemblage-510-526	0	0	0	21	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	60	9	0	11	0	0	0	0	0	0	0	0	10	0	0	0	6	0	0	0	38	6	0	0	0	0	0	0	0	112	0	0	0	0	58	0	47	0	11	0	0	0	0	0	9	0	0	0	0	15
assemblage-334-574	0	0	0	16	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	66	30	0	10	0	0	0	0	0	0	0	0	7	0	0	0	17	0	0	0	27	12	0	0	0	0	0	0	0	94	0	0	0	0	68	0	51	0	12	0	0	0	0	0	14	0	0	0	0	13
assemblage-664-563	0	0	0	21	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	73	13	0	16	0	0	0	0	0	0	0	0	8	0	0	0	4	0	0	0	35	10	0	0	0	0	0	0	0	87	0	0	0	0	74	0	50	0	16	0	0	0	0	0	5	0	0	0	0	8
assemblage-459-431	0	0	0	5	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	11	11	0	29	0	0	0	0	4	0	0	0	22	0	0	0	29	0	0	0	29	6	0	0	0	0	0	0	0	170	0	0	0	0	35	0	27	0	28	0	0	0	0	0	15	0	0	0	0	11
assemblage-634-495	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	13	0	0	34	8	0	0	0	12	0	0	0	30	0	0	0	11	0	0	0	40	9	0	0	0	0	0	0	0	138	0	0	0	0	41	0	18	0	26	0	0	0	0	0	23	0	0	0	0	20
assemblage-535-477	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	6	0	45	0	0	0	0	8	0	0	0	16	0	0	0	7	0	0	0	42	8	0	0	0	0	0	0	0	134	0	0	0	0	68	0	22	0	45	0	0	0	0	0	9	0	0	0	0	19
assemblage-515-436	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	44	11	0	0	10	0	0	0	0	0	0	0	28	23	0	0	0	0	0	0	0	198	0	0	0	0	13	0	33	0	19	0	0	0	0	0	20	0	0	0	0	24
assemblage-517-514	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	39	5	0	0	0	0	0	0	0	0	0	0	21	24	0	0	0	0	0	0	0	184	0	0	0	0	36	0	43	0	35	0	0	0	0	0	15	0	0	0	0	33
assemblage-433-587	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	7	0	0	0	0	29	0	0	0	0	29	0	0	0	6	0	0	0	9	0	0	0	12	19	0	0	0	0	0	0	0	212	0	0	0	0	41	0	37	0	34	0	0	0	0	0	14	0	0	6	0	17
