Assemblage_Name	0-0-3509963	2-9727965-1	6602264-9824088-8133594	6602264-9824088-6661075	2798484-9824088-5302163	232460-4-0	0-8694917-4	9660157-1-5890666	6602264-5764213-5786414	7749916-2-5743269	1-1-5302163	9513697-1-5890666	3110365-9824088-5302163	0-3107514-4	1-1-525124	2-0-7056660	6939347-0-3509963	1-3252586-5302163	7546772-8718661-1	0-8694917-6792473	2-2158580-3324031	0-6997987-4	1-4-3195343	2-1221714-0	7407819-4-2548212	1-4-4676514	0-0-3265624	1-1-4	7749916-2-9342439	9510663-9824088-391039	5574416-2-6704413	0-0-595337	1-4-386674	0-0-8046896	7562568-3-3324031	0-2-7691746	138987-2-0	2-3-3324031	1429430-159631-0	3915998-1-4242332	9078883-2-6396738	9510663-9824088-5276945	4526214-4-0	5353762-3-3324031	2-8812113-3324031	5261745-3-3324031	0-0-4	6646396-0-9507250	1764527-2-5743269	5261073-1-5890666	2-8718661-1	2-4653781-3324031	2-0-3	0-9804235-4	3825090-3-3324031	685596-2-0	7875858-3-3324031	7407819-4-2386985	1-1-4595327	2-7848998-3324031	6646396-4002679-9507250	6646396-6690632-9507250	1-1-2462453	1820533-1-5890666	1-1-7852206	2-7474620-0	7407819-4-0	1-4-3759086	0-0-1492929	2-4396242-8194978	6602264-9824088-78268	1-31219-4242332	5038433-9824088-5276945	1-4-2244384	2-2-0	1-1-9320957	0-0-7184186	2-3-8827778	2-2-2425621	6602264-9824088-5302163	6602264-9824088-7892147	4729640-1-5890666	4903871-864246-4	2402265-9824088-5302163	6602264-1-5302163	1-1-9425672	1-6612744-3195343	0-0-3906096	1-4-0	1-4-1452744	9316172-9824088-5302163	1-4-4913342	4723901-9824088-5302163	8249623-3-7325409	2642181-2-6704413	9510663-9824088-5302163	1-1-5176510	3930857-2-0	8793291-9824088-5302163	6143704-1-4242332	1589279-2-5743269	8167487-8694917-4	2-2-8194978	4921293-0-4	1-1-5890666	0-2-3575025	8049704-0-4	1-4-7228346	1-2472781-5890666	1-4-4216239	5779243-2-0	1429430-3251440-5557056	2-7965507-3324031	4194198-1-5890666	6456793-4-0	2562349-8812113-3324031	1-1-4242332	0-0-1749264	0-2-6396738	1429430-3251440-0	2-2-5205563	2-3-7325409	1-4-3525605	0-3240925-3906096	7546772-8718661-5634427	1574775-1-5890666
assemblage-296-526	0	0	0	0	0	0	9	0	0	18	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	52	0	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	0	20	0	0	34	0	0	0	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	7	0	0	0	0	47
assemblage-398-566	0	0	0	0	0	0	9	0	0	17	21	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	38	0	0	0	0	0	0	0	0	0	28	4	0	0	0	0	0	0	0	61	7	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	19	0	0	45	0	0	0	0	0	0	86	0	0	0	0	0	0	0	8	0	0	0	0	10	8	0	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	7	0	0	0	0	33
assemblage-581-500	0	0	0	0	0	0	10	0	0	19	33	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	30	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	48	8	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	19	0	0	35	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	0	0	0	18	17	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	11	0	14	0	0	0	0	40
assemblage-491-640	0	0	0	0	0	0	13	0	0	6	48	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	0	63	12	0	0	9	0	29	0	0	0	0	0	0	0	0	0	0	0	37	0	0	13	0	0	0	0	0	10	63	0	0	0	0	0	0	0	4	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	6	12	5	0	11	0	0	43
assemblage-463-336	0	0	0	0	0	0	11	0	0	7	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	0	42	14	0	0	12	0	21	0	0	0	0	0	0	0	0	0	0	0	38	0	0	29	0	0	0	0	0	9	72	0	0	0	0	0	0	0	0	0	0	0	0	8	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	17	7	3	0	0	0	0	53
assemblage-504-537	0	0	0	0	0	0	8	0	0	6	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	57	27	0	0	16	0	31	0	0	0	0	0	0	0	0	0	0	0	27	0	0	17	0	0	0	0	0	10	64	0	0	0	0	0	0	0	0	0	0	0	0	11	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	15	12	11	0	7	0	0	36
assemblage-591-436	0	0	0	0	0	0	4	0	0	31	47	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	33	0	0	0	0	0	6	0	4	0	37	0	0	0	0	0	0	0	0	69	16	0	0	4	0	13	8	0	0	0	0	0	0	0	0	0	0	28	0	0	8	0	0	0	0	0	0	15	7	0	0	0	0	0	0	0	0	0	0	0	7	47	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	11	0	0	0	0	0	0	0	0	0	10	0	0	14	0	0	38
assemblage-606-385	0	0	0	0	0	0	17	0	0	25	33	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	15	0	50	0	0	0	0	0	0	0	0	67	12	0	0	0	0	28	11	0	0	0	0	0	0	0	0	0	0	24	0	0	12	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	3	39	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	59
assemblage-687-461	0	0	0	0	0	0	12	0	0	23	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	6	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	54	17	0	0	0	0	30	12	0	0	0	0	0	0	0	0	0	0	23	0	0	12	0	0	0	0	0	0	22	5	0	0	0	0	0	0	0	0	0	0	0	10	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	52
assemblage-634-469	0	0	0	0	0	0	16	0	0	10	50	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	22	0	0	0	0	8	0	0	0	58	0	0	0	0	0	0	10	0	78	15	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	7	0	0	11	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	6	0	0	0	0	0	0	0	0	0	0	0	12	11	0	0	5	0	0	48
