Assemblage_Name	3-2-5807499	3-3064259-3	7878337-0-0	8211736-7870072-4	9707162-8981255-3	1507139-2-1	3-0-727221	3-8981255-9859648	3-0-2989900	3-8981255-3	3-3-3100641	2-308863-4	4-1-4197110	5768019-3-0	3-4-1769875	3-2-1	3-2-4	2-7870072-7941624	5089585-1-3078518	4751709-489104-2	3-3-9108452	3-3-0	3344525-2-9793808	3-7303647-1	7318533-8981255-3	2596974-2-1	5089585-1-1	3-2-6033213	4833492-3-0	4751709-0-5598895	3014721-2-5807499	2-0-1	4751709-664296-2	1209330-8981255-3	3-3923698-7043162	3-7879053-1	3-3295454-0	9191560-3-1670904	4-4387687-1	3-8981255-8712337	3-2-6675216	9501272-2-9793808	4751709-0-2	2-8589660-4	3-9840885-1	3-8121999-0	3-8121820-1	1274904-0-0	4-6569687-1	4751709-0-3033840	3-4-3	3371800-8981255-3	4-2259497-1	4-1295860-1	1-0-0	3-3295454-7043162	4-1-1	2-7588976-7941624	2-7870072-4	2527189-0-2	4-0-3	3885284-1-1	3-0-2	3-0-0	6812501-2-1	2-0-4785001	4833492-7047038-0	4751709-6076253-2	4882500-7870072-4	4-1-9116763
assemblage-426-380	2	0	0	6	0	0	0	0	0	26	0	21	0	0	0	78	7	41	0	0	0	29	0	0	0	3	0	0	0	0	0	24	0	0	0	6	0	0	0	0	0	19	7	0	5	0	0	0	0	0	40	0	0	0	0	0	60	0	45	0	29	0	8	20	0	0	0	0	0	24
assemblage-607-536	16	0	0	0	0	0	0	0	0	27	0	18	0	0	0	71	10	21	0	0	0	33	0	0	0	4	0	0	0	0	0	28	0	0	0	10	0	0	0	0	0	11	8	0	10	0	0	0	0	0	61	0	0	0	0	0	36	0	42	0	16	0	16	19	0	0	0	0	0	43
assemblage-521-511	14	0	0	0	0	0	0	0	0	31	0	20	0	15	0	69	3	27	0	0	0	27	0	7	0	10	0	0	0	0	0	28	0	0	0	9	0	0	0	0	0	6	9	0	5	0	0	0	0	0	44	0	0	0	6	0	49	0	27	0	21	0	9	21	0	0	0	0	0	43
assemblage-348-489	19	5	0	0	0	0	0	0	0	11	0	21	0	0	0	55	1	29	0	0	0	37	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	20	30	5	9	0	0	0	0	0	54	0	0	0	0	0	59	7	35	0	16	0	5	15	0	0	0	0	0	39
assemblage-485-386	26	5	0	0	0	0	0	0	0	0	0	16	0	0	0	48	0	25	0	0	0	35	0	0	0	0	0	0	0	0	0	30	0	0	0	7	0	0	9	0	0	32	31	0	13	7	0	0	0	0	46	0	0	0	0	0	69	3	27	0	12	0	4	17	0	0	0	0	0	38
assemblage-417-720	12	7	0	0	0	0	0	0	0	0	0	19	0	0	0	75	0	23	0	0	0	30	0	0	0	0	0	0	0	0	0	36	0	0	0	6	0	0	8	0	0	26	32	4	7	0	0	0	0	0	69	0	0	0	0	0	34	10	36	0	15	0	0	16	0	0	0	0	0	35
assemblage-431-606	24	6	0	0	0	0	0	0	0	11	0	0	0	0	0	36	0	19	0	0	0	22	0	0	0	0	0	0	0	0	0	14	7	0	0	0	0	0	32	0	6	33	56	0	17	0	0	0	0	0	24	0	0	0	0	0	65	18	39	0	10	0	0	33	0	0	0	0	0	28
assemblage-490-423	30	0	0	0	0	0	0	0	0	16	0	0	0	0	0	39	0	25	0	0	0	21	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	21	0	9	36	51	0	19	0	0	0	0	0	14	0	0	0	0	0	81	14	43	0	6	0	0	28	0	0	0	0	0	27
assemblage-496-480	25	0	0	0	0	0	0	0	0	12	0	0	0	0	0	32	0	25	0	0	0	26	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	19	0	8	44	45	0	14	0	0	0	0	0	24	0	0	0	0	0	86	15	46	0	0	0	0	33	0	0	0	0	0	35
assemblage-467-475	37	0	0	0	0	0	0	0	0	3	0	0	0	0	0	40	0	25	0	0	0	55	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	32	62	0	13	0	0	0	0	0	11	0	0	0	0	0	68	19	26	0	0	0	0	37	0	0	0	9	0	50
assemblage-575-628	21	0	0	0	0	0	0	0	0	3	0	0	0	0	0	50	0	32	0	0	0	73	0	0	0	0	0	0	0	0	8	11	6	0	0	0	0	0	0	0	0	20	50	0	17	0	0	0	0	0	15	0	0	0	0	0	80	22	32	0	0	0	0	17	0	0	0	5	0	38
assemblage-516-671	29	0	0	0	0	0	0	0	0	6	0	0	0	0	0	26	0	27	0	0	0	58	0	0	0	0	0	0	0	0	6	18	6	0	0	0	0	0	0	0	0	18	61	0	20	0	0	0	0	0	21	0	0	0	0	0	95	19	40	0	0	0	0	25	0	0	0	7	0	18
assemblage-506-749	19	0	0	0	0	0	0	0	0	36	0	0	0	0	0	35	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	0	28	83	0	11	0	0	0	0	0	3	0	0	0	0	0	82	8	19	0	0	0	0	81	0	0	0	11	0	31
assemblage-508-408	34	0	0	0	0	0	0	0	0	32	0	0	0	0	0	13	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	25	112	0	5	0	0	0	0	0	6	0	0	0	0	0	84	13	26	0	0	0	0	51	0	0	0	17	0	36
assemblage-440-473	21	0	0	0	0	0	0	0	0	21	0	0	0	0	0	26	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	27	98	0	18	0	0	0	0	0	7	0	5	0	0	0	74	7	33	0	0	0	0	66	0	0	0	15	0	30
assemblage-561-413	0	0	0	0	0	0	0	0	0	53	0	0	0	0	0	54	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	3	41	0	0	0	0	0	0	0	7	0	0	0	0	0	142	15	27	0	0	0	0	79	0	0	0	0	0	28
assemblage-524-415	4	0	0	0	0	0	0	0	0	60	0	0	0	0	0	39	0	0	0	0	0	47	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	4	66	0	0	0	0	0	0	0	0	0	0	0	0	0	128	14	34	0	0	0	0	63	0	0	0	0	0	29
assemblage-499-597	0	0	0	0	0	0	0	0	0	59	0	0	0	0	0	56	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	0	0	0	0	0	0	139	6	24	0	0	0	0	60	0	0	0	0	0	50
assemblage-371-326	0	0	0	0	18	0	0	0	0	49	0	0	0	0	0	28	0	0	0	0	0	55	0	0	0	0	0	0	9	0	0	8	0	0	0	0	0	0	0	3	0	11	26	0	0	0	0	0	14	0	16	0	0	0	0	0	147	0	33	0	0	0	0	53	0	0	0	0	0	30
assemblage-348-555	0	0	0	0	13	0	0	0	0	40	0	0	0	0	0	16	0	0	0	0	0	44	0	0	0	0	0	0	7	0	0	9	0	0	0	0	0	0	0	0	0	10	44	0	0	0	0	0	7	0	15	0	0	0	0	0	163	0	30	0	0	0	0	65	0	0	0	0	0	37
assemblage-455-462	0	0	0	0	11	0	0	0	0	67	0	0	0	0	0	16	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	8	0	20	43	0	0	0	0	0	10	0	21	0	0	0	0	0	137	0	22	0	0	0	0	67	0	0	0	0	0	29
