Assemblage_Name	6197775-1-4	2-4563034-4	0-3238879-5590199	2-2596023-4	4-5135261-2	0-3238879-7757338	2751279-0-3	0-3238879-846794	0-0-2148195	6122713-3238879-6138094	1929731-4563034-4	4-3864711-2199186	1741039-1-4	0-7805550-3	3442673-0-4071439	3236763-3238879-3	7245796-3850678-3	4-5135261-1907443	0-9294256-3	2709898-5135261-4587429	3442673-1065966-4071439	2-1-1079395	2-5643362-4	6269949-1-4	2-1-4	1844958-1-4	3-8244346-2679564	0-6024646-6138094	7245796-1305743-3	7245796-2819071-6831437	3-3-3	4-5135261-4587429	424494-1-4	0-3238879-3	8217965-3238879-3	1300697-7759368-3	487961-3238879-2379515	2-2-1944674	0-0-3	8268490-2819071-3	2226820-0-3	0-9949628-3	4863115-5135261-2199186	5121433-1-4	8074213-1-4	1741039-8731177-4	1-2-2	0-3238879-1895335	0-5606499-3	4-5135261-2199186	2-0-1578319	0-3238879-4261328	0-1599321-3	7681464-3238879-6138094	0-2507255-3	2-1408472-4	1741039-4357303-4	0-3135436-3	2930062-3850678-3	7245796-457422-3	1750808-9118913-3	8094510-3238879-3	9262563-6024646-6138094	7245796-2819071-6784922	1-2-5818762	7245796-2819071-3	7245796-2819071-1046215	0-3238879-8942647	5673213-1-1718762	7379437-0-3	2-1-1718762	0-7368667-3	8320960-1-4	105073-2819071-3	0-3238879-9905883	0-3238879-5957887	2-4100216-4	3-4-0	8641710-0-3	0-5961745-3	2-1-5620447	9574043-3238879-6138094	3-0-2679564	0-2419178-3	0-4127561-3	4-6775148-2199186	2-1-4379394	3467961-2819071-3	7245796-3238879-3	0-1404450-6570795	2938094-1-4	7386432-3238879-3	1750808-4354820-3	94893-5135261-2199186	4-8511334-2199186	8980706-5135261-2199186	4-6083616-2199186	0-3613859-6138094	487961-3238879-3	0-9322435-3	6090158-5135261-2199186	8868570-5135261-2199186	4-6867777-2199186	0-3238879-6138094	0-0-2010397	9008891-1-4	2-1-120722
assemblage-663-385	0	4	10	0	0	0	0	0	0	0	0	0	8	0	22	0	0	0	0	0	0	0	0	0	71	9	0	0	0	0	0	0	0	102	0	0	0	16	39	0	0	0	0	0	0	0	19	0	0	66	5	0	0	0	0	0	2	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	10	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	16	0	0	0	0	0	0	0	64
assemblage-327-510	0	0	7	0	0	0	0	0	0	0	0	0	8	0	30	0	0	0	0	0	0	0	0	0	81	10	0	0	0	0	4	0	0	110	0	0	10	6	39	0	0	0	0	0	0	0	15	0	0	66	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	9	0	5	0	0	0	0	0	0	0	12	0	0	0	0	0	5	0	0	0	0	0	0	0	44
assemblage-540-375	0	0	3	0	0	0	0	0	0	0	0	0	6	0	31	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	0	108	0	0	6	2	38	0	0	0	0	0	0	0	24	0	0	84	0	0	0	0	0	0	6	0	0	0	5	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	10	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	10	0	0	0	0	0	0	0	53
assemblage-550-465	0	18	7	0	0	0	0	15	0	0	0	0	11	0	36	5	0	0	0	0	0	0	10	0	81	0	0	0	0	0	0	0	0	101	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	10	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	64
assemblage-382-390	0	21	12	0	6	0	0	17	0	0	0	0	27	0	42	5	0	0	0	0	0	0	11	0	50	0	0	0	0	0	0	0	0	138	0	0	0	7	9	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	44
assemblage-433-652	0	11	13	0	3	0	0	14	0	0	0	0	24	0	49	11	0	0	0	0	0	0	10	0	58	0	0	0	0	0	0	0	0	104	0	0	0	0	15	0	0	0	0	0	0	0	5	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	0	0	10	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	3	0	0	0	0	0	0	0	0	0	0	48
assemblage-444-629	0	0	0	0	15	0	0	7	6	0	0	0	18	0	20	5	8	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	135	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	0	8	0	0	7	0	0	0	0	40	0	0	0	0	0	0	5	0	0	0	0	23	0	0	8	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25
assemblage-496-517	0	0	0	0	8	0	0	6	0	0	0	0	13	0	15	11	9	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	0	137	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	66	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	61	0	0	0	0	0	0	10	0	0	0	0	22	0	0	12	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	34
assemblage-364-569	0	0	0	0	7	0	0	5	6	0	0	0	18	0	24	10	8	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	135	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	80	0	0	0	0	0	0	0	8	0	0	11	0	0	0	0	51	0	0	0	0	0	0	6	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30
assemblage-534-324	0	0	0	0	9	0	0	0	0	0	0	0	0	0	12	0	23	0	0	0	0	0	0	0	75	0	0	0	0	0	0	0	0	105	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	7	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	66
