Assemblage_Name	0-1338623-0	8747331-8930128-1	2-4-2982587	0-5159256-4	0-4-292997	4-0-4445697	2-4-2191077	6388987-0-4	4-9026935-4	5596768-4-1	4-1-2	0-4-1	0-4-0	4-539373-4	0-4-5555283	9241047-0-4	4-0-2209262	0-1191876-1	4-0-2218569	0-4-2087755	3946129-4332222-4	1080190-2-0	9737018-4-1	4-0-4	3-1-0	0-0-2700634	0-0-4	4903431-0-4445697	5162307-4-8190531	0-2-1	0-1388561-1	0-4-7096234	4-4332222-4	3-1-4574635	0-9435162-1	9488436-4-0	0-4-7048296	4-9618000-4	8314140-4-0	0-1155201-4	0-0-837108	2-4-3	750444-4-1	0-4-1004823	4-2-0	4-0-9879665	4-0-1105579	0-0-6301597	0-4-2742587	0-2342093-1	0-4-4783370	1-2-0	4-9293435-4	5162307-4-1	6034389-4332222-4	4058765-4-1	0-9979452-1	0-4561227-1	9188223-4-1	0-8930128-1	4-4332222-7179272	0-4-3876960	0-6262039-1	4-4585100-4	0-8446103-1	8828061-0-4	4-0-5113083	6512468-0-4	4187392-4-1	1911885-4-1
assemblage-513-431	0	0	0	0	0	0	0	0	0	0	15	133	58	0	0	0	0	0	0	16	0	0	0	53	14	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	24	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-607-536	0	0	4	0	0	0	0	0	0	0	6	187	75	0	0	0	0	0	0	7	0	0	0	35	11	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	22	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	16
assemblage-392-572	0	0	0	0	0	0	0	0	0	6	14	164	57	0	0	0	0	0	0	13	0	0	0	50	17	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	16	0	0	0	0	0	0	6	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-530-477	0	0	0	0	0	0	0	0	0	13	6	251	47	0	0	0	0	0	0	11	0	0	0	9	9	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	0	0	16	0	0	0	0	0	0	6	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	9
assemblage-491-640	0	0	0	0	0	0	0	0	0	7	6	209	38	0	0	0	0	0	0	7	0	0	0	17	14	0	35	0	0	0	10	0	0	0	0	0	0	0	10	0	0	80	0	0	30	0	0	0	0	0	0	5	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	5
assemblage-472-658	0	0	0	0	0	0	0	0	0	0	13	203	52	0	0	0	0	0	0	0	0	0	0	29	8	0	24	0	0	0	12	0	0	0	0	0	0	0	0	0	0	76	0	0	32	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	31
assemblage-490-423	0	0	0	0	12	0	0	0	0	0	10	235	40	0	0	0	0	0	0	0	0	0	0	95	15	0	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28
assemblage-300-435	0	0	0	0	7	0	0	0	0	0	0	283	22	0	0	0	0	0	0	0	0	0	0	54	20	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	0	6	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22
assemblage-591-436	5	0	0	0	17	0	7	0	0	0	0	218	30	0	0	0	0	0	0	0	0	0	0	107	9	0	21	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	34
assemblage-432-615	0	0	0	0	13	0	0	0	0	0	0	206	0	0	18	0	0	0	0	0	0	0	0	183	0	0	16	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	16
