Assemblage_Name	6723149-9966390-1807620	2-4-6356054	7743519-4-0	0-9966390-9134484	1-0-4	3-7457883-1	1716087-9966390-4	3-8848990-5626307	1042193-4-0	2-1-9588541	0-9966390-5608540	2-4-7593124	2-4-1212107	5033613-4-0	3-2022390-1	3-2-3586213	3-446623-1	5727070-9966390-4	8944944-1-2	3-2206851-1	2-2454733-6356054	2380298-4-6356054	2-4-8546141	8509106-4-0	3-3639936-1	180032-2-1	7895296-4-6356054	2-3430425-0	2-4-1994267	2-1-3745407	2-4-4045452	3-700826-1	5902582-2-1	179406-4-6356054	3-3899389-1	8020592-9966390-4875851	3-8848990-1	2-4-2309119	2-4-0	2-7085724-0	0-9966390-4041491	2-3280627-6356054	2-1-8475072	2-1-179115	3893143-4-6356054	2-5727084-2	179406-4-9078938	4812699-9966390-4	2-361676-3	2-1-9425106	3-6575001-2464326	3-2-2464326	2-5927043-2	0-9966390-4	2-1-2	2-1-3	2059793-2022390-1	3-2867296-1	0-1517240-4	3-5871462-3	3-2-9629849	0-9966390-4875851	6674837-2-4611016	3-2-4611016	3-2-1	2463087-6575001-2464326	2-4-8324086	3-2-5416716
assemblage-250-731	0	0	0	0	11	0	0	0	0	0	0	0	13	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	152	0	0	0	0	62	0	0	14
assemblage-747-590	0	0	11	0	0	0	4	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	56	0	0	0	0	0	0	0	0	0	0	0	45	0	0	85	13	51	0	0	0	0	0	11	0	0	147	12	0	11
assemblage-96-896	0	0	0	0	27	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	0	0	85	0	0	0	0	0	0	0	0	0	0	0	43	13	0	54	37	57	0	0	0	39	0	0	0	0	120	0	0	7
assemblage-759-483	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	0	0	0	0	0	0	0	0	0	57	0	0	154	22	101	0	0	0	0	0	0	0	0	45	0	0	6
assemblage-677-301	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	5	0	0	0	0	0	0	0	43	0	0	66	85	67	0	0	0	25	0	0	0	0	82	0	0	4
assemblage-700-275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	109	0	0	0	0	0	0	0	0	0	0	0	56	17	0	63	31	29	0	0	0	0	0	0	0	0	180	0	0	15
assemblage-240-941	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	0	0	0	0	0	0	8	11	0	6	107	53	52	0	0	0	0	0	0	0	0	24	0	0	14
assemblage-467-749	0	190	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	0	0	0	0	125	50	0	0	0	0	0	0	59	0	0	0	0	0	7
assemblage-636-922	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	122	0	0	0	0	0	0	0	0	0	0	0	39	0	0	82	76	71	0	0	0	19	0	0	0	0	76	0	0	7
assemblage-678-943	0	207	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96	87	0	0	0	0	0	0	11	0	0	52	0	0	6
assemblage-238-92	0	230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	59	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	4	0	0	0	0	0	0	0	0	0	172	0	0	12
assemblage-747-593	0	10	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	107	0	0	0	0	0	0	0	0	0	0	0	28	0	0	173	69	53	0	0	0	0	0	0	0	0	18	0	0	20
