Assemblage_Name	8649918-7973211-1	4-7325524-0	2-2-4	8951172-2-2	4819667-4-2	3-3-3	9414749-4-1	1-830448-7226934	0-4-8471057	0-4-1	0-4-3	1-2-7226934	0-4-5359231	6853142-2-2	4819667-4-7341159	0-9069405-1	9328518-2-2	2664210-4-1	2973415-2-2	3333002-4-1	7074420-4-640348	2201292-4-4646843	0-2-2	8649918-4-1	5505025-2-7226934	8860952-4-2	1-147155-7226934	1-5877863-7226934	4-4-2	0-4-4646843	0-4-1409507	1-2-5768722	0-4-640348	0-4-7563454	7287758-4-338456	667318-4-2	0-1230116-3	0-5638181-1	0-4-5347707	3-3-9040880	0-4-9612300
assemblage-250-731	0	212	0	0	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19
assemblage-747-590	0	80	0	0	0	163	0	0	0	176	0	0	0	0	0	0	0	0	0	0	0	0	25	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6
assemblage-96-896	0	59	9	0	0	55	0	0	0	77	23	107	0	0	0	0	0	0	0	0	0	0	81	0	0	0	0	0	65	0	0	0	0	0	0	0	11	0	0	0	13
assemblage-759-483	0	0	0	0	0	7	0	0	0	121	22	165	0	0	0	0	0	0	0	0	0	0	29	0	140	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-677-301	0	3	0	0	0	9	0	10	0	98	11	152	0	0	0	0	0	0	0	0	0	0	47	0	46	0	0	0	119	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-700-275	0	16	0	0	0	72	0	0	0	55	91	108	0	0	0	0	0	0	0	0	0	0	52	0	8	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	5
assemblage-240-941	0	154	0	0	34	95	0	0	0	27	0	2	0	0	0	0	0	0	0	0	0	0	87	88	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-467-749	0	0	0	0	129	151	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	31	72	0	0	0	0	0	53	0	0	9	0	0	0	0	0	0	0	1
assemblage-636-922	0	11	0	0	0	8	0	16	0	86	16	158	0	0	0	0	0	0	0	0	0	0	59	0	45	0	0	0	93	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-678-943	0	0	0	0	77	39	0	0	0	81	0	0	0	0	0	0	0	0	0	0	70	52	42	40	0	0	0	0	0	75	0	0	0	0	0	20	0	0	0	0	4
assemblage-238-92	0	0	0	0	84	51	0	0	5	40	0	0	0	0	45	0	0	0	0	0	9	0	16	25	0	0	0	0	0	0	108	0	0	0	48	64	0	0	0	0	5
assemblage-747-593	0	52	0	0	204	0	0	0	0	83	0	63	0	0	0	0	0	0	0	0	0	0	21	73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
assemblage-234-493	0	61	0	0	9	61	0	0	0	93	0	35	0	0	0	0	0	0	0	0	0	0	15	111	0	0	0	0	0	0	0	0	16	0	0	0	0	0	99	0	0
assemblage-595-739	0	29	0	0	20	16	0	0	0	131	9	24	0	0	0	0	0	0	0	0	0	0	92	0	140	0	0	0	38	0	0	0	0	0	0	0	0	0	0	0	1
assemblage-571-457	0	0	0	0	26	42	0	0	0	0	0	0	0	0	15	0	0	0	19	0	179	0	71	40	0	0	0	0	0	46	0	0	0	0	9	35	0	8	0	0	10
assemblage-689-282	0	46	0	0	0	0	0	0	0	98	35	141	0	0	0	0	0	0	0	0	0	0	160	0	6	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	7
