Assemblage_Name	1593558-3-0	3292217-3-1	3-8150231-0	3-3-9561872	5056896-3-1	9921590-3-1	1-4478383-1	3-3-3071360	1-3-3464020	3826600-1-0	2556203-760097-0	3-3-0	1-5647229-1	4-1-4	794906-1-0	2-1-370805	0-1-0	8426079-1-0	3-760097-0	1-6117556-1	1-3770073-1	6049152-1-6734204	1-2033217-1	0-0-4714178	1-3010852-1	4483996-3-0	1001125-3-1	0-9534669-4	619996-3-0	0-0-4	1270863-3-1	1-3-7587352	1-3-4370097	1063581-3-1	7881043-3-0	1-3-1	9454775-1-4	1-3812738-1	8242817-1-0	2-4-0	1-9534421-1	0-0-8675573	9260922-3-1	1-7883503-1	5317647-3-0	3-5012700-0	3-3-8389135	2-1-0	2-556275-0	1-3-6807610	3-5005702-0	4451047-3-1	0-1-5892551	0-1-6734204	0-1-4956290	3-5424800-0	673031-3-0
assemblage-250-731	0	6	0	0	0	0	0	0	0	0	0	18	0	15	0	0	50	0	0	0	0	0	0	12	0	0	0	0	0	126	0	0	0	0	0	26	0	0	0	7	0	0	0	0	0	0	0	71	0	0	0	0	0	95	63	0	11
assemblage-747-590	0	0	0	0	0	0	0	0	0	0	0	163	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	149	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	42	0	0	10
assemblage-96-896	0	40	0	0	0	0	0	0	0	0	0	69	0	72	0	0	23	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	25	13	0	21
assemblage-759-483	0	0	0	0	0	0	0	0	0	0	0	10	0	46	9	0	6	0	0	0	0	0	0	3	0	0	0	0	0	85	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	0	9
assemblage-677-301	0	0	0	0	0	0	0	0	0	0	0	80	0	5	0	0	41	0	0	0	0	0	0	20	0	0	0	0	0	100	0	0	0	0	0	59	0	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	129	6	0	6
assemblage-700-275	0	11	0	0	0	0	0	0	0	0	0	4	0	45	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	239	0	0	0	0	0	0	0	0	0	0	0	113	9	0	0	0	0	13	11	0	16
assemblage-240-941	0	0	0	0	6	0	0	0	0	0	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	106	0	0	9	0	0	192	0	0	0	0	0	9	0	0	0	0	0	13	0	0	0	0	0	85	0	0	8
assemblage-467-749	0	0	0	0	0	0	0	0	0	0	0	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
assemblage-636-922	0	0	0	0	0	0	0	0	0	0	0	68	0	11	0	0	52	0	0	0	0	0	0	11	0	0	0	0	0	105	0	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	0	56	0	0	0	0	0	110	6	0	4
assemblage-678-943	0	0	0	8	0	0	0	55	0	0	0	76	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	273	0	0	0	0	0	0	0	0	0	14	0	0	0	0	17	0	0	48	0	0	9
