Assemblage_Name	3-2-9588920	0-7907915-6242814	0-1300760-5224893	0-4-2030307	6898656-4-5224893	0-6199902-3	3-2-8550423	0-4-5892330	3-4-9493647	4-1-1	0-4-3	5040903-2-1	3-2-3794380	4746057-4-5224893	0-6233716-5224893	9976592-2-1	2224797-2-1	5952020-2-1	5723620-2-1	6006121-4-5224893	6844244-2-1	0-3554860-5224893	0-4-5493994	3273167-4-5224893	0-4-7364833	4694332-7907915-5224893	0-4-8929465	0-5330891-5224893	5965867-4-5224893	0-7576319-5224893	3-8987153-1	8427435-4-5224893	3141686-4-5224893	0-7907915-5224893	3-2-8359985	3-2625764-1	1162167-4-5224893	3-4818962-1	0-6703419-5224893	3-6946271-1	0-4-2624852	3661202-4-5224893	0-9584663-5224893	5952020-9558077-1	0-4-5224893	1283148-2-1	0-8125234-3	0-8685708-5224893	0-7278921-5224893	3-4-2	3-4-1	7689324-4-5224893	3-874183-1	9185850-4-5224893	3-2-1	0-7341643-5224893	3991669-2-1	4096993-2-1	5952020-2-8927447
assemblage-250-731	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	165	0	0	0	0	0	0	0	0	0	308	0	0	0	4
assemblage-747-590	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	7	0	0	0	0	0	3	0	0	0	0	14	0	335	0	0	0	0	0	0	0	0	0	102	0	0	0	3
assemblage-96-896	0	0	0	0	0	0	0	0	0	51	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	234	0	0	0	0	5	11	0	0	0	123	0	0	0	26
assemblage-759-483	54	0	0	0	0	0	0	0	0	34	5	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	0	0	15	0	0	0	0	0	0	57	0	0	0	5
assemblage-677-301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	346	0	0	7	0	0	0	0	0	0	116	0	0	0	13
assemblage-700-275	14	0	0	0	0	0	0	0	0	3	25	0	0	0	0	0	0	0	43	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	286	0	0	0	0	0	0	19	0	0	90	0	0	0	11
assemblage-240-941	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	218	0	0	0	0	0	0	0	0	0	256	0	0	0	16
assemblage-467-749	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	9	8	0	0	46	0	0	0	0	0	0	0	0	0	0	301	0	0	0	0	0	0	0	0	0	111	0	0	0	7
assemblage-636-922	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	338	0	0	8	0	0	0	0	0	0	135	0	0	0	13
assemblage-678-943	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	85	0	0	0	0	0	0	24	0	6	12	0	0	0	0	0	0	0	0	0	0	330	0	0	0	0	0	0	0	0	0	16	0	0	0	20
