Assemblage_Name	2-1-480275	5773557-2-3	1-0-0	0-3-415814	1643217-1-0	2-1-5837927	1-3-9941389	0-3-3188427	1805105-561802-4	0-9542247-6447573	1-3-4326321	1-1770338-9941389	0-8401169-6733690	1-3-3412849	1805105-3-4	4-2-6083459	0-3-6733690	5055523-1-0	1-3-89308	4-2-4285661	1-3-4	4-7546888-3	2030087-1-0	0-918101-2	0-9262744-2	4-2-3	0-3-2	4-2574952-3	2788887-2-3	1-4932987-4	2-1-9444862	2-1-0	4-2-1443958	1435303-3-4	4-2-8858528	1-2547075-4	8143335-3-89308
assemblage-581-474	0	0	0	0	0	0	130	0	0	0	0	0	0	0	41	0	0	0	0	24	47	0	0	0	0	114	116	0	0	0	0	7	0	7	0	0	14
assemblage-227-549	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	123	0	0	0	26	64	79	0	0	0	0	185	0	0	0	0	18
assemblage-606-491	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	11	84	95	0	0	0	0	147	0	0	0	0	31
assemblage-673-568	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	133	0	0	12	0	90	40	6	0	0	0	167	0	0	0	0	26
assemblage-702-358	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	26	85	73	0	0	0	0	153	0	0	0	0	14
assemblage-494-372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	132	0	0	0	23	95	76	0	0	0	0	145	0	0	0	0	29
assemblage-558-310	11	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	143	0	0	0	0	126	33	12	0	0	0	143	0	0	0	0	12
assemblage-497-574	0	0	0	0	0	0	0	0	0	19	0	0	0	0	19	0	0	0	0	0	87	15	0	0	0	80	59	0	0	0	0	197	0	0	0	12	12
assemblage-605-473	3	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	151	0	0	0	0	94	70	11	0	0	0	139	0	0	0	0	15
assemblage-348-355	0	0	0	0	0	0	0	11	0	5	0	0	0	0	9	0	0	0	4	0	131	0	0	12	0	49	52	3	0	0	0	203	0	0	0	13	8
