Assemblage_Name	4-507655-4	186898-3-0	4-8193804-4	7396649-1253451-0	7396649-2-0	4-6785422-1	7093981-4-0	2-7375302-0	1-4-9241391	7396649-8012974-0	3-2-1	1-1-4	8639112-2-0	2-1-0	2-4-8057440	0-4-2	2-1-7534045	0-1-4	2-4-3822983	2-2743871-2	2-7446405-0	4-667909-4	3563941-1-0	4-4-1	2-3-0	1-4-9644792	4-3251686-4	4-2-6272228	2-2-2	4-2-9509169	6503858-6969799-9241391	0-487118-2	1-6969799-9241391	3422684-1-4	4-2-4	182705-2-4	4149826-3-0	7303375-4-0	4-8580564-4	2-4-746408	7388167-2-4	1-4-67538	2-1338273-0	735356-487118-2	8477710-487118-2	2-4-0	2-1-6332620	4495011-1-6332620	0-2150317-2	2-1218603-0	2-3-4338993	5024116-4-0	2-2-9642672
assemblage-581-474	0	0	0	0	5	0	8	23	0	0	0	0	0	135	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	86	56	0	0	0	0	0	25
assemblage-227-549	2	0	0	0	0	0	0	0	16	0	0	0	0	77	0	0	0	0	0	0	0	0	0	0	145	0	0	0	10	16	0	13	0	0	99	0	0	0	0	0	42	0	0	0	0	39	17	0	0	0	0	0	24
assemblage-606-491	4	0	0	0	5	0	0	0	15	0	0	0	0	101	0	0	0	0	0	0	0	0	0	0	133	0	0	0	4	6	0	10	0	0	129	0	0	0	0	0	21	0	0	0	0	49	5	0	0	0	0	0	18
assemblage-673-568	0	0	0	0	31	0	0	0	112	0	15	0	0	22	0	0	0	0	0	0	0	12	0	36	81	0	0	0	9	0	0	34	4	0	65	0	0	0	0	0	0	0	0	0	0	43	0	0	0	0	0	0	36
assemblage-702-358	0	0	0	0	11	0	0	0	21	0	0	0	0	88	0	0	0	0	0	0	0	0	0	0	137	0	0	0	10	14	0	8	0	0	125	0	0	0	0	0	16	0	0	0	0	44	15	0	0	0	0	0	11
assemblage-494-372	7	0	0	0	5	0	0	0	12	0	0	0	0	82	0	0	0	0	0	0	0	0	0	0	174	0	0	0	9	10	0	9	0	0	115	0	0	0	0	0	15	0	0	0	0	43	8	0	0	0	0	0	11
assemblage-558-310	0	0	0	0	78	0	0	0	76	0	28	11	7	16	6	11	0	11	0	0	0	22	0	17	59	0	0	0	34	0	0	41	0	0	25	0	0	0	0	0	0	0	0	0	0	41	0	0	4	0	0	0	13
assemblage-497-574	0	0	0	0	9	0	0	0	64	0	0	0	0	61	0	0	0	7	0	0	0	7	0	0	117	0	0	0	8	0	0	28	5	0	88	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	33
assemblage-605-473	0	0	0	0	69	0	0	0	76	0	31	12	5	22	12	8	0	13	0	0	0	5	0	26	51	0	0	0	39	0	0	45	0	0	31	0	0	0	0	0	0	0	0	0	0	30	0	0	12	0	0	0	13
assemblage-348-355	0	0	0	0	16	0	0	0	75	0	18	0	0	34	0	0	0	5	0	0	0	0	0	0	96	0	0	0	14	0	0	19	22	0	113	0	0	0	0	0	0	0	0	0	5	67	0	0	0	0	0	0	16
assemblage-616-507	0	0	0	0	82	0	0	0	93	0	19	10	12	23	0	9	0	4	0	0	0	13	0	15	42	0	0	0	38	0	0	43	0	0	34	0	0	0	0	0	0	0	0	0	0	32	0	0	14	0	0	0	17
assemblage-532-354	0	0	0	0	7	0	0	0	74	0	10	0	0	56	0	0	0	13	0	0	0	11	0	0	101	0	0	0	11	0	5	37	11	0	98	0	0	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	18
assemblage-363-547	0	0	0	0	31	0	0	0	96	0	20	0	0	14	0	0	0	9	0	0	0	10	0	24	85	0	0	0	22	0	0	49	0	0	81	0	0	0	0	0	0	0	0	0	0	41	0	0	0	0	0	0	18
assemblage-529-629	0	0	0	0	0	0	14	28	0	0	0	0	0	124	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	92	42	8	0	0	0	8	21
assemblage-707-574	6	0	0	0	18	0	8	24	7	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	120	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	98	59	0	0	0	8	18	17
assemblage-363-465	0	0	0	0	33	0	0	0	79	0	20	0	0	24	0	4	0	8	0	0	0	6	0	25	80	0	0	0	30	0	0	51	4	0	67	0	0	0	0	0	0	0	0	0	0	50	0	0	8	0	0	0	11
assemblage-368-631	6	0	0	0	0	0	0	0	9	0	0	0	0	115	0	0	0	0	0	3	5	0	0	0	125	0	0	0	0	11	0	7	0	0	59	4	0	0	0	0	35	0	0	0	0	66	36	0	0	0	0	0	19
assemblage-411-672	0	0	0	0	10	0	0	0	64	0	17	0	0	54	0	0	0	6	0	0	0	0	0	0	116	0	0	0	17	0	0	36	15	0	93	0	0	0	0	0	0	0	0	0	3	54	0	0	0	0	0	0	15
assemblage-348-464	0	0	0	0	7	0	0	0	65	0	14	0	0	33	0	0	0	12	0	0	0	0	0	0	121	0	0	0	14	0	0	27	16	0	93	0	0	0	0	0	0	0	0	0	6	74	0	0	0	0	0	0	18
assemblage-698-498	0	0	0	0	0	0	0	0	65	0	0	0	0	65	0	0	0	7	0	0	0	8	0	0	106	0	0	0	20	0	0	24	13	0	87	0	0	0	0	0	0	0	0	0	0	71	0	0	0	0	0	0	34
assemblage-497-493	0	0	0	0	30	0	0	0	79	0	24	0	0	12	0	0	0	5	0	0	0	18	0	20	95	0	0	0	22	0	0	52	0	0	70	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	24
