Assemblage_Name	7673777-4021856-2	4-2-7401087	1-0-4	8502505-2-3	4320245-0-0	1-0-6561132	2684690-2-4	2565316-4963108-4	0-1-0	3-3887878-3	1-0-5852589	3624827-9580629-0	4-3476299-4	3-2-8319713	4-4-8159207	1-9856059-4	3624827-1-0	0-0-0	4-1148212-4914743	4764921-2-4	1878953-0-4	1-0-132707	4-4-2	4-1148212-4	4-2-4	7673777-4-2	4-4-4360279	3433807-0-4	6198638-0-0	3-2-5050435	3-2-4317779	4-4-3659533	2990727-0-4	4-4-1617159	3-2-3	1-0-3958758	2587085-1148212-4914743
assemblage-581-474	24	0	145	0	0	0	0	5	0	0	0	0	0	0	20	0	3	59	0	0	0	0	152	0	0	50	0	0	0	0	0	0	0	0	31	0	11
assemblage-227-549	0	11	166	0	0	0	0	0	0	0	0	0	0	4	0	0	55	16	0	0	0	0	115	0	52	0	0	0	0	0	0	0	0	0	72	0	9
assemblage-606-491	0	4	195	0	0	0	0	0	0	0	0	0	0	11	0	0	42	17	0	0	0	0	87	0	52	0	0	0	0	0	0	0	0	0	82	0	10
assemblage-673-568	0	0	103	0	0	0	0	0	15	0	0	0	0	0	0	0	44	71	0	0	0	0	54	0	137	0	0	0	0	0	0	0	0	0	37	0	39
assemblage-702-358	0	4	177	0	0	0	0	0	0	0	0	0	0	14	0	0	70	22	0	0	0	0	95	0	51	0	0	0	0	0	0	0	0	0	62	0	5
assemblage-494-372	0	10	162	0	0	0	0	0	0	0	0	0	0	9	0	0	56	30	0	0	0	0	99	0	49	0	0	0	0	0	0	0	0	0	72	0	13
assemblage-558-310	0	0	47	0	0	0	0	0	46	0	0	0	10	0	0	0	34	64	0	0	0	0	78	0	146	0	0	0	0	0	0	0	0	0	58	0	17
assemblage-497-574	0	0	83	0	17	0	8	0	17	0	0	0	0	0	0	0	29	41	15	0	13	0	52	33	103	0	0	0	0	0	10	0	0	0	74	0	5
assemblage-605-473	0	0	56	0	0	0	0	0	41	0	4	0	7	0	0	0	31	80	0	9	0	0	73	0	132	0	0	0	0	0	0	0	0	0	54	0	13
assemblage-348-355	0	0	106	0	6	0	0	0	19	0	0	0	0	0	0	10	62	42	0	0	0	0	33	9	134	0	0	0	0	0	0	0	0	0	60	0	19
assemblage-616-507	0	0	51	0	0	0	0	0	38	0	0	0	9	0	0	0	35	102	0	0	0	0	77	0	129	0	0	0	0	0	0	0	0	0	46	0	13
assemblage-532-354	0	0	75	0	30	0	16	0	7	0	0	0	0	0	0	4	37	34	20	0	7	0	49	32	92	0	0	0	0	0	8	0	0	0	83	0	6
assemblage-363-547	0	0	100	0	0	0	0	0	14	0	0	0	0	0	0	0	43	84	0	0	0	0	50	0	155	0	0	0	0	0	0	0	0	0	35	0	19
assemblage-529-629	29	0	137	0	0	0	0	7	0	0	0	0	0	0	12	0	0	48	0	0	0	0	169	0	0	55	0	0	0	0	0	0	0	0	24	0	19
assemblage-707-574	22	0	178	0	0	0	0	8	0	0	0	0	0	0	0	0	17	38	0	0	0	0	130	8	0	40	0	0	0	5	0	0	0	0	44	0	10
assemblage-363-465	0	0	102	0	0	0	0	0	11	0	0	0	0	0	0	0	52	87	0	0	0	0	49	0	146	0	0	0	0	0	0	0	0	0	36	0	17
assemblage-368-631	0	63	146	0	0	0	0	7	0	0	0	0	0	15	0	0	34	37	0	0	0	0	98	0	14	17	0	0	0	0	0	0	0	0	55	0	14
assemblage-411-672	0	0	99	0	9	0	0	0	6	0	0	0	0	0	0	11	65	32	0	0	0	0	32	11	156	0	0	0	0	0	0	0	0	0	64	0	15
assemblage-348-464	0	0	96	0	14	0	0	0	13	0	0	0	0	0	0	12	49	48	0	0	0	0	25	17	142	0	0	0	0	0	0	8	0	0	65	0	11
assemblage-698-498	0	0	81	0	23	0	11	0	18	0	0	0	0	0	0	0	30	32	25	0	3	0	46	31	106	0	0	0	0	0	0	0	0	0	83	0	11
assemblage-497-493	0	0	114	2	0	0	0	0	15	0	0	0	0	0	0	0	42	86	0	0	0	0	45	0	133	0	0	0	0	0	0	0	0	0	43	0	20
assemblage-409-524	0	49	155	0	0	0	0	0	0	0	0	0	0	3	0	0	46	24	0	0	0	0	102	0	24	17	0	0	0	0	0	0	0	0	64	0	16
assemblage-696-326	0	0	55	0	0	0	0	0	52	0	0	0	7	0	0	0	43	62	0	3	0	0	85	0	127	0	0	0	0	0	0	0	0	0	53	0	13
assemblage-404-579	0	0	95	0	30	0	3	0	18	0	0	0	0	0	0	0	49	37	9	0	6	0	38	26	85	0	0	0	0	0	5	0	0	0	89	0	10
assemblage-596-514	0	54	168	0	0	0	0	0	0	0	0	0	0	8	0	0	34	27	0	0	0	0	113	0	10	12	0	0	0	0	0	0	0	0	56	0	18
assemblage-387-549	0	12	195	0	0	0	0	0	0	0	0	0	0	0	0	0	17	30	0	0	0	0	135	0	0	26	0	4	0	0	0	0	0	0	40	0	41
assemblage-612-665	16	0	172	0	0	0	0	7	0	0	0	0	0	0	0	0	7	49	0	0	0	4	137	12	0	34	0	0	0	0	0	0	0	0	40	0	22
assemblage-432-615	0	0	75	0	26	0	10	0	22	0	0	0	0	0	0	6	46	29	14	0	10	0	41	25	110	0	0	0	0	0	6	0	0	0	80	0	0
assemblage-767-668	0	9	149	0	0	0	0	0	0	0	0	0	0	10	0	0	67	11	0	0	0	0	108	0	69	0	0	0	0	0	0	0	0	0	67	0	10
assemblage-525-510	0	16	162	0	0	0	0	0	0	0	0	0	0	5	0	0	66	10	0	0	0	0	112	0	43	0	0	0	0	0	0	0	0	0	78	0	8
assemblage-543-479	0	55	175	0	0	0	0	0	0	0	0	0	0	10	0	0	46	25	0	0	0	0	94	0	20	9	0	0	0	0	0	0	0	0	52	0	14
assemblage-275-306	0	57	167	0	0	0	0	0	0	0	0	0	0	7	0	0	37	22	0	0	0	0	105	0	21	9	0	0	0	0	0	0	0	0	56	0	19
