Assemblage_Name	516202-8942039-1	2-293313-1	7961769-3-4	0-6436678-1538345	1687362-2240248-0	4763870-1-3427368	5920263-2-3	516202-2551213-1	0-4415029-1	0-6436678-3	4-1067180-6181430	4-1-6181430	4-3-9452302	7507111-4-1	516202-2-1	0-4-9762168	4-598969-4	2808920-4225134-0	4-1135236-777778	1509570-1-0	8052895-1-3427368	2-2962071-1	4-1-2986985	3-2-5206121	8718266-4-1	0-2-3521180	3-2-1068866	9529512-4-1	8014252-2-3	5396666-2240248-4159281	286822-2240248-0	4-9095303-3427368	3-174920-5206121	5396666-2240248-0	0-2-9150258	4-598969-6841501	4-1-3427368	0-3-1	2-2274767-1	4-1-6876427	4470705-6436678-3	3666484-3-4	901656-3-4	1281690-1-3427368	4-3-4	598220-2996029-6181430	4-3-9202351	2-1674589-1	4-45088-1	4690879-2996029-6181430	7507111-4-5562197	7724736-4-1	2808920-2240248-0	2841744-2-3	9403402-3-4	4593319-5405421-1	7067111-2962071-1	2-4-338462	0-2-3	0-2-1	6621488-4-1	4-6821710-0	9626923-1377649-1	46444-2-3521180	0-4961816-4545445	0-2-5158822	4607668-3-4	0-6436678-1499252	2-1377649-1	4-1135236-4	6633818-2-4826536	4-1-0	4-1-1	2453066-1377649-1	0-4961816-1	3-2-7288747	4470705-1521331-3	598220-1882926-6181430	5800838-1-6181430	3-2-4826536	4-278996-4	4-8986156-6181430	2-4-1	2808920-2240248-3237019	4426437-1-6181430	4836055-1-0	4-2996029-6181430	7017829-9557273-7288747	4-2240248-0	4-1248179-4	9272458-1-0	2750899-3-4	5396666-2240248-1313132
assemblage-581-474	0	0	0	0	0	0	0	0	0	14	0	8	0	0	63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	68	0	0	0	0	0	0	19	0	0	0	88	7	0	0	0	0	0	22	9	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	39	0	0	0	0	0	0	0	4	14	0	0	0	0	0	0	0	36	0	0	4	0	13	55
assemblage-227-549	0	9	0	0	0	0	9	0	0	12	0	42	0	13	16	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	17	0	0	17	0	0	0	0	0	0	0	55	0	0	0	0	0	0	0	62	0	0	0	0	0	45	0	0	8	0	0	0	0	0	0	9	79	6	0	0	0	0	0	0	0	0	17	0	0	36	0	0	0	0	0	0	0	0	0	38
assemblage-606-491	0	10	0	0	0	0	8	0	0	23	0	28	0	17	18	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	10	0	0	17	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	46	0	0	0	0	0	52	0	0	5	0	0	0	0	0	0	9	71	10	0	0	0	0	0	0	0	0	13	0	0	51	0	0	0	0	0	0	0	0	0	36
assemblage-673-568	0	0	0	0	0	0	0	0	0	0	0	0	0	13	26	14	0	0	0	14	0	0	0	12	0	8	5	0	0	0	0	0	0	0	0	13	16	7	0	0	0	0	0	0	43	0	0	0	0	0	0	0	7	0	0	0	0	0	27	40	0	0	0	0	0	5	0	0	42	21	0	32	0	0	18	33	0	0	0	7	0	0	29	0	0	0	0	12	19	0	0	0	37
assemblage-702-358	0	16	0	0	0	0	8	0	0	24	0	32	0	14	23	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	5	0	0	17	0	7	0	0	0	0	0	44	0	0	0	0	0	0	0	46	0	0	0	0	0	49	0	0	7	0	0	0	0	0	0	11	72	17	0	0	0	0	0	0	0	0	11	0	0	54	0	0	0	0	0	0	0	0	0	32
assemblage-494-372	0	11	0	0	0	0	7	0	0	15	0	22	0	27	13	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	18	0	0	14	0	4	0	0	0	0	0	56	0	0	0	0	0	0	0	44	0	0	0	0	0	55	0	0	5	0	2	0	0	0	0	9	83	17	0	0	0	0	0	0	0	0	19	0	0	49	0	0	0	0	0	0	0	0	0	26
assemblage-558-310	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	9	19	0	0	0	0	0	0	37	0	0	13	0	5	0	0	0	0	0	0	0	3	30	0	5	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	43	73	0	0	0	0	0	0	0	0	13	0	0	55	0	0	30	25	0	0	0	0	0	0	28	0	0	0	0	0	4	0	0	0	56
assemblage-497-574	0	0	0	0	0	0	0	0	0	0	0	20	0	34	0	0	0	0	6	0	0	0	0	28	0	8	0	0	0	0	0	12	0	17	0	0	25	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	21	0	0	0	0	0	51	0	0	0	0	15	0	0	0	0	30	21	0	24	0	0	0	25	0	0	0	23	0	0	57	0	0	0	0	0	0	0	0	0	58
assemblage-605-473	0	0	0	0	0	0	0	0	0	0	0	0	0	21	9	7	17	0	0	0	0	0	0	15	0	0	33	0	0	0	0	0	0	0	0	0	5	28	0	8	0	0	0	0	28	0	0	0	2	0	0	0	0	0	0	0	0	0	33	81	0	0	0	0	0	0	0	0	10	0	0	55	3	0	27	30	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	60
assemblage-348-355	0	0	0	0	0	0	0	0	0	0	0	7	0	29	22	14	0	0	0	0	0	0	0	18	0	10	0	0	0	0	0	0	0	0	0	0	43	7	0	0	0	0	0	0	32	0	0	0	0	0	0	0	15	0	0	0	0	0	12	1	0	0	0	0	0	0	0	0	78	20	0	23	0	0	0	44	0	0	0	21	0	0	54	0	0	8	0	0	3	0	0	0	39
assemblage-616-507	0	0	0	0	0	0	0	0	0	0	0	0	0	25	3	9	17	0	0	0	0	0	0	15	0	0	19	0	0	0	0	0	0	0	0	0	9	24	0	14	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	45	62	0	0	0	0	0	0	0	0	21	6	0	52	4	0	29	36	0	0	0	0	0	0	27	0	0	0	0	0	9	0	0	0	50
assemblage-532-354	0	0	0	0	0	0	0	0	0	0	0	17	0	30	0	7	0	0	8	0	0	0	0	39	7	5	0	0	0	0	0	13	0	8	0	0	27	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	45	0	0	0	0	0	44	9	0	0	0	4	0	0	0	0	32	21	0	26	0	0	0	22	0	0	0	21	0	0	72	0	0	0	0	0	0	0	0	0	33
assemblage-363-547	0	0	0	0	0	0	0	0	0	0	0	0	0	15	29	15	9	0	0	17	0	0	0	9	0	5	6	0	0	0	0	0	0	0	0	6	23	8	0	0	0	0	0	0	44	0	0	0	0	0	0	0	5	0	0	0	0	0	30	40	0	0	0	0	0	5	0	0	38	14	0	28	0	0	15	32	0	0	0	6	0	0	40	0	0	0	0	0	17	0	4	0	40
assemblage-529-629	0	0	0	0	0	0	0	0	0	20	0	3	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	35	0	0	34	0	0	0	0	0	0	29	0	0	0	82	7	0	0	0	0	0	30	14	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	44	0	0	0	0	0	0	0	6	16	0	0	0	0	0	0	0	45	0	0	0	0	16	47
assemblage-707-574	0	0	0	0	0	0	0	0	0	22	0	23	5	0	41	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	23	0	0	65	0	0	0	0	0	0	11	0	0	0	98	4	0	0	0	0	0	15	16	0	4	0	3	0	37	0	0	0	0	0	0	0	0	0	0	23	0	0	0	0	0	0	0	0	5	0	0	0	19	0	0	0	32	0	0	0	0	0	50
assemblage-363-465	0	0	0	0	0	0	0	0	0	0	0	0	0	11	28	12	3	0	0	10	8	0	0	8	0	6	7	0	0	0	0	0	0	0	0	3	15	9	0	0	0	0	0	0	39	0	0	0	0	0	0	0	9	0	0	0	0	0	39	31	0	0	0	0	0	0	0	0	46	21	0	32	0	0	16	27	0	0	0	13	0	0	39	0	0	0	0	0	27	0	0	0	41
assemblage-368-631	5	5	0	0	0	0	6	0	0	51	0	27	8	9	37	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	24	0	0	3	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	49	0	0	0	0	0	55	0	15	0	0	0	0	0	0	0	0	56	0	0	0	0	0	0	0	0	4	0	0	0	38	0	0	0	7	0	0	0	0	0	30
assemblage-411-672	0	0	0	0	0	0	0	0	0	0	0	11	0	25	11	15	0	0	0	0	0	0	0	8	0	9	0	0	0	0	0	0	0	0	0	0	43	14	0	0	0	0	0	0	20	0	0	0	0	0	0	0	23	0	0	0	0	0	13	6	0	0	0	0	0	0	0	0	69	18	0	35	0	0	0	47	0	0	0	22	0	0	50	0	0	7	0	0	10	0	0	0	44
assemblage-348-464	0	0	0	0	0	0	0	0	0	0	0	6	0	31	19	16	0	0	0	0	0	0	0	10	0	9	0	0	0	0	0	0	0	0	0	0	37	17	0	0	0	0	0	0	18	0	0	0	0	0	0	0	26	0	0	0	0	0	10	6	0	0	0	0	0	0	0	0	68	9	0	25	0	0	0	28	0	0	0	33	0	0	57	0	0	13	0	0	17	0	0	0	45
assemblage-698-498	0	0	0	0	0	6	0	0	0	0	0	10	0	31	6	5	0	0	9	0	0	0	0	32	12	12	0	0	0	0	0	11	0	6	0	0	29	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	27	0	0	0	0	0	46	0	0	0	0	8	0	0	0	0	21	29	0	33	0	0	0	26	0	0	0	25	0	0	67	0	0	2	0	0	0	0	0	0	30
assemblage-497-493	0	0	0	0	0	0	0	0	0	0	0	0	0	10	23	10	9	0	0	18	10	0	0	5	0	5	8	0	0	0	0	0	0	0	0	12	42	11	0	0	0	0	0	0	48	0	0	0	0	0	0	0	8	0	0	0	0	0	24	45	0	0	0	0	0	0	0	0	36	12	0	29	0	0	9	40	0	0	0	11	0	0	17	0	0	0	0	0	13	0	0	0	45
assemblage-409-524	2	13	0	0	0	0	6	0	0	59	0	23	29	4	24	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	20	0	0	13	0	0	0	0	0	0	0	57	0	0	0	0	0	0	0	28	0	0	0	0	0	61	0	13	0	0	0	0	0	0	0	0	40	0	0	0	0	0	0	0	0	4	0	0	0	51	0	0	0	10	0	0	0	0	0	34
assemblage-696-326	0	0	0	0	0	0	0	0	0	0	0	0	0	18	8	15	29	0	0	0	0	0	0	36	0	0	36	0	0	0	0	0	0	0	0	0	6	27	0	9	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	24	72	0	0	0	0	0	0	0	0	14	0	0	60	0	0	17	20	0	0	0	0	0	0	26	0	0	0	0	0	3	0	0	0	60
assemblage-404-579	0	0	0	0	0	4	0	0	0	0	0	12	0	20	12	7	0	0	2	0	0	0	0	47	11	13	0	0	0	0	0	17	0	8	0	0	34	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	26	0	0	0	0	0	45	8	0	0	0	0	0	0	0	0	28	20	0	24	0	0	0	20	0	0	0	33	0	0	70	0	0	0	0	0	0	0	0	0	27
