Assemblage_Name	6839176-6680135-2	3-2402964-2	2-601863-1028423	3-4890955-6958170	3-1-4	1111987-6680135-2	3-6680135-5362279	3-7627653-4	8337262-4-4	3-1609135-4	3-6680135-7482907	2367464-6680135-2	6158907-1-4	9288532-0-4	3-4890955-8287264	2-1-3	2-0-3707932	8718530-6012069-4	3-4890955-2	2-0-5059805	2-397491-4	4456295-3-0	3374931-0-4	5948769-5543283-4	7981359-1389829-3	7079698-2114244-1	2216890-0-8373073	9745833-4890955-2	9007317-1-4	7436128-0-4	3-7062538-4	3-1-3350165	2164784-0-4	2-0-4	2-0-1	3-924625-4	2-0-2177533	9656534-658301-1888283	3-4-2121463	2-0-9524508	9309278-6680135-2	2-7146973-4	4-3-0	2-1278642-1	2042848-1389829-3	8229939-4-4	3-3-7205921	3-658301-2722829	3419974-0-4	2277411-4-4	2-0-487763	7141118-0-5059805	4829772-0-4	3-1-8956802	3-658301-1888283	8853043-1-3	6667603-1-4	2-6138549-3	881168-1-4	3-582012-2	2-5543283-4	8853043-1-1948588	1-4-4	3-4-4	3-7465767-4	4-8631115-0	8853043-1-4059440	8853043-8505589-1948588	2355897-1-3	8853043-1-342520	3-4890955-7901784	1363947-1-4	2-0-8709020	2-7830382-4	1-8774390-4	3-6680135-2	3-6680135-1243043	7981359-1389829-345271	3-0-2	2-0-2576106	6100700-1-3	8718530-0-4	3-658301-4	2-4997399-4	1113919-0-4
assemblage-581-474	0	0	0	0	125	0	0	0	0	7	0	0	0	0	0	60	0	0	16	49	0	0	0	18	0	0	7	0	0	0	0	0	0	68	0	0	7	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	17	18	0	0	0	0	27	0	0	0	0	0	0	0	0	5	0	5	0	0	0	4	0	0	0	11	0	21	0	0	22
assemblage-227-549	0	0	0	0	54	0	0	0	0	0	0	0	0	0	0	14	0	0	95	31	0	0	0	0	0	0	0	0	0	0	0	0	0	113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	10	0	0	0	0	0	0	14	0	0	0	0	0	76	4	0	0	0	0	25	15	0	28
assemblage-606-491	0	0	0	0	62	0	0	0	0	0	0	0	0	0	0	12	0	0	87	32	0	0	0	0	0	0	0	0	0	0	0	0	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	17	0	0	0	0	0	0	19	0	0	0	0	0	80	0	0	0	0	0	14	13	0	17
assemblage-673-568	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	22	0	0	54	0	0	0	5	0	11	0	0	0	18	0	0	0	0	79	0	9	0	0	0	0	0	0	0	4	0	0	14	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	44	79	0	0	0	0	0	0	0	0	0	0	0	105	0	0	0	0	0	0	0	0	35
assemblage-702-358	0	0	0	0	58	0	0	0	0	0	0	0	0	0	0	3	0	0	93	36	0	0	0	0	0	0	0	0	0	0	0	0	0	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	0	0	0	14	0	0	0	0	0	0	20	0	0	0	0	0	76	0	0	0	0	0	29	19	2	19
assemblage-494-372	0	0	0	0	45	0	0	0	0	0	0	0	0	0	0	16	0	0	98	31	0	0	0	0	0	0	0	0	0	0	0	0	0	131	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	13	0	0	0	0	0	0	20	0	0	0	0	0	73	0	0	0	0	0	11	19	0	27
assemblage-558-310	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	6	0	0	37	0	0	6	0	0	17	0	0	0	7	0	0	0	0	73	7	27	0	0	0	0	0	0	0	5	0	0	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	96	0	0	0	0	0	0	0	0	0	0	0	95	0	0	0	0	0	0	0	0	45
assemblage-497-574	0	0	0	0	35	0	0	0	0	0	0	0	0	0	0	13	0	0	40	23	0	0	0	0	0	0	0	0	16	0	0	0	0	184	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	6	0	0	0	0	0	0	19	9	0	0	0	0	0	15	0	0	0	0	0	82	0	9	0	0	0	0	14	0	15
assemblage-605-473	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	4	0	0	43	0	0	12	0	0	21	0	0	0	11	0	0	0	0	69	9	40	0	0	0	0	0	0	0	12	0	0	13	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	47	64	0	0	0	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	33
assemblage-348-355	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	40	0	0	35	9	0	0	0	0	19	0	0	0	17	0	0	0	0	87	0	8	0	0	20	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	3	18	0	0	0	0	0	0	37	60	0	0	0	0	0	18	0	0	0	0	0	91	0	0	0	0	0	0	9	0	16
