Assemblage_Name	1-1-1	1-0-0	3-8648691-3	3-3-6345254	2455755-1-2	4-1-2	0-1-0	1-1-2050263	0-4-4	2-7609570-3	1-1-1704371	4-1-2256315	3763183-1-2	2-2-0	9167433-3-3	990696-0-0	4-1-623510	2020126-0-0	4-1-3686080	3-3-4368035	2-4-3	3-9753152-3	0-6906076-0	3-0-4	8029965-1-2	2655142-2-0	2-0-0	1-2-4	3-3667-3	0-5095285-0	3-3-3	1-0-8737485	2240619-3-3	3-3-73085	1274646-0-0
assemblage-581-474	0	0	0	0	0	36	0	0	0	8	0	0	7	0	0	9	0	0	0	0	68	82	0	0	0	0	0	0	0	0	251	0	0	34	5
assemblage-227-549	23	28	0	0	14	99	0	0	0	0	0	0	0	0	0	5	0	0	0	0	40	25	0	0	0	21	0	0	36	19	186	0	0	0	4
assemblage-606-491	20	21	0	0	13	122	0	0	0	0	0	0	0	0	0	4	6	0	0	0	39	20	0	0	0	15	0	0	36	25	176	0	0	0	3
assemblage-673-568	21	126	0	0	0	19	0	0	6	0	0	0	0	5	0	3	0	26	0	0	11	0	0	0	0	52	20	27	0	31	120	25	0	0	8
assemblage-702-358	13	41	0	0	7	123	0	0	0	0	0	0	0	0	0	7	0	0	0	0	35	16	0	0	0	13	0	0	27	22	185	0	0	0	11
assemblage-494-372	11	33	0	0	6	92	0	2	0	0	0	0	0	0	0	0	12	0	0	0	30	18	0	0	0	2	0	0	31	25	231	0	0	0	7
assemblage-558-310	52	120	0	0	0	19	4	0	20	0	0	0	0	23	0	0	0	25	0	0	3	0	0	16	0	42	8	31	0	7	113	16	0	0	1
assemblage-497-574	34	81	0	0	0	70	0	9	0	0	0	0	0	0	0	45	0	29	0	6	24	0	0	0	0	34	0	8	10	36	106	0	0	0	8
assemblage-605-473	51	117	0	0	0	18	0	0	12	0	0	0	0	20	0	0	0	38	0	0	13	0	0	23	0	37	13	41	0	0	95	17	0	0	5
assemblage-348-355	32	111	0	0	0	39	0	0	0	0	0	0	0	0	0	16	0	34	0	0	11	0	0	0	0	76	6	11	0	51	96	12	0	0	5
