Assemblage_Name	4596881-0-4	1-4924957-1	4-1290232-2	509099-3-1	4-2101814-766161	1-9555004-1	6668741-1-1177726	1-3-5512019	1-1-0	8810171-8256763-1	3760522-3-1	2534221-3-1	1-8503026-319557	1-8503026-1	8947720-1-3	0-1-3	1-1845331-1	1-2490561-0	9027260-8503026-1	9502432-1-0	4138262-2-5884207	2-0-4	3641890-0-4	9834634-3-1	2-5841824-4	1-4-7519972	3062961-1-766161	4-2-5884207	4-4444700-766161	9324909-1-766161	1-9840125-0	4271432-1-2	1-3-5825611	8810171-3-1	1-3-3641738	1-3-1	4-2-2241329	4-2-4	1340599-1-766161	4-1-4815224	4-5874336-766161	3088406-183624-4	4-1-4	4-1-2	4-1-766161	4-3388538-2	4-1616939-2	1883075-1-2	3088406-0-4	5582050-1-2	1-8503026-6795671	3446547-9555004-1
assemblage-581-474	0	0	0	0	0	5	4	0	29	9	0	0	21	46	0	0	0	0	0	0	0	0	44	0	0	0	0	23	0	1	0	11	0	10	0	152	0	0	0	0	14	0	0	88	15	0	0	0	0	0	7	21
assemblage-227-549	0	0	0	0	0	0	0	0	46	0	9	0	0	55	0	0	0	0	0	0	0	0	5	0	0	0	0	39	0	0	0	0	0	0	0	205	11	0	0	0	0	0	0	62	48	0	0	0	0	0	0	20
assemblage-606-491	0	0	0	0	0	0	4	0	59	0	13	0	0	30	0	0	0	0	0	0	0	3	1	0	0	0	0	41	0	0	0	0	0	0	0	181	15	0	0	0	0	0	0	84	44	0	0	0	0	0	0	25
assemblage-673-568	0	0	0	0	0	0	18	0	65	0	0	13	0	0	0	25	0	0	0	0	0	50	0	0	0	15	0	31	0	0	3	0	0	0	0	122	23	0	0	6	0	0	36	28	49	0	0	0	0	0	0	16
assemblage-702-358	0	0	0	0	0	0	0	0	49	0	9	0	0	47	0	0	0	0	0	0	0	0	0	0	0	0	0	49	0	0	0	0	0	0	0	188	15	0	0	0	0	0	0	79	41	0	0	0	0	0	0	23
assemblage-494-372	0	0	7	0	0	0	2	0	47	0	7	0	0	29	0	0	0	0	0	0	0	7	11	0	0	0	0	68	0	0	0	0	0	0	0	179	14	0	0	0	0	0	0	62	57	0	0	0	0	0	0	10
assemblage-558-310	0	0	0	0	0	0	0	0	84	0	0	0	0	0	20	34	0	0	0	19	0	47	0	0	0	10	0	29	0	0	0	0	0	0	4	95	10	14	0	13	0	0	36	17	45	0	0	0	0	0	0	23
assemblage-497-574	0	0	0	0	0	0	13	0	77	0	0	0	0	24	0	4	0	0	0	0	0	10	0	0	0	5	0	65	0	0	0	0	0	0	0	111	34	0	0	0	0	0	0	75	46	0	0	0	14	0	0	22
assemblage-605-473	0	0	0	0	0	0	0	0	79	0	0	0	0	0	17	24	0	0	0	4	0	52	0	0	0	7	0	33	0	0	6	0	0	0	2	114	8	21	0	16	0	0	35	28	32	0	0	0	0	0	0	22
assemblage-348-355	0	0	0	0	0	0	22	0	35	0	0	0	0	14	0	19	0	0	0	0	0	42	0	0	0	37	0	25	0	0	0	0	0	0	0	138	22	0	0	6	0	0	10	58	49	0	0	0	9	0	0	14
assemblage-616-507	3	0	0	0	0	0	0	0	90	0	0	0	0	0	13	31	0	0	0	10	0	29	0	0	0	10	0	37	0	0	0	0	0	0	5	100	15	25	0	13	0	0	32	26	32	0	0	0	0	0	0	29
assemblage-532-354	0	0	0	0	0	0	17	0	58	0	0	0	0	20	0	0	0	0	0	0	0	14	0	0	0	0	0	55	0	0	0	0	0	0	0	128	36	0	0	0	0	0	0	74	58	0	0	0	24	0	0	16
assemblage-363-547	0	0	0	0	0	0	16	0	74	0	0	8	0	0	0	21	0	0	0	0	0	45	0	0	0	15	0	34	0	0	3	0	0	0	0	119	26	0	0	6	0	0	35	52	27	0	0	0	0	0	0	19
assemblage-529-629	0	0	0	0	0	4	5	0	32	15	0	0	16	36	0	0	0	0	0	0	0	0	44	0	0	0	0	26	0	0	0	15	0	13	0	156	0	0	0	0	10	0	0	88	9	0	0	0	0	0	8	23
assemblage-707-574	0	0	0	0	0	0	9	0	22	0	0	0	0	62	0	0	0	0	0	0	0	0	43	0	0	0	0	31	0	0	0	0	0	8	0	187	0	0	0	0	0	0	0	72	39	0	3	0	0	0	0	24
assemblage-363-465	0	0	0	0	0	0	20	0	80	0	0	6	0	0	0	27	0	0	0	0	0	60	0	0	0	12	0	34	0	0	5	0	0	0	0	96	32	0	0	8	0	0	26	26	47	0	0	0	0	0	0	21
assemblage-368-631	0	0	0	0	0	0	6	0	28	0	12	0	0	52	0	0	5	0	0	0	0	0	11	0	0	0	0	63	0	0	0	0	0	0	0	193	13	0	0	0	0	0	0	53	40	0	0	0	0	0	0	24
assemblage-411-672	0	0	0	0	0	0	26	0	41	0	0	0	0	14	0	17	0	0	0	0	0	53	0	0	0	31	0	30	0	0	4	0	0	0	0	107	20	0	0	10	0	0	11	52	66	0	0	0	9	0	0	9
assemblage-348-464	0	0	0	0	0	0	11	0	57	0	0	0	0	22	0	12	0	0	0	0	0	37	0	0	0	30	0	24	0	0	0	0	0	0	0	147	19	0	0	5	0	0	6	57	51	0	0	0	6	0	0	16
assemblage-698-498	0	0	0	0	0	0	13	0	64	0	0	0	0	18	0	3	0	0	0	0	0	19	0	0	0	4	0	48	0	0	0	0	0	0	0	139	23	0	0	0	0	0	0	68	61	0	0	0	18	0	0	22
