Assemblage_Name	3-1-1	9045256-2-8980603	4640760-2-2	4-6718045-1192278	2-1-0	8385749-2262924-1192278	4-821935-0	2-5447047-0	4-2-1192278	9952142-2-2	2-1-4443203	4-2-0	4-2262924-1192278	5455495-1-0	8325761-2262924-1192278	2-1-7812897	4-8637465-1192278	9952142-3997578-2
assemblage-351-499	0	0	0	0	215	0	0	0	154	7	0	11	0	0	0	31	0	31
assemblage-227-460	0	0	0	0	267	15	0	0	68	5	0	64	20	0	42	0	0	19
assemblage-473-651	0	0	51	0	141	0	0	139	31	0	0	15	0	0	0	0	0	34
assemblage-393-317	0	0	0	0	93	0	0	0	48	0	8	114	0	0	0	108	56	16
assemblage-885-866	0	0	0	0	343	14	0	0	71	0	0	51	0	0	4	0	0	17
assemblage-361-291	0	58	0	0	263	0	0	0	26	0	0	86	4	0	0	0	0	10
assemblage-608-767	0	0	0	10	19	0	0	0	108	40	39	9	0	29	0	144	62	29
assemblage-914-974	57	0	0	0	231	0	31	0	102	22	0	12	17	0	0	0	0	22
assemblage-613-289	0	0	0	0	274	17	0	0	98	5	0	46	9	0	39	0	0	12
assemblage-482-665	0	0	36	0	154	0	0	143	32	0	0	12	0	0	0	0	0	26
assemblage-262-106	0	0	0	0	19	0	0	0	152	0	0	60	0	31	0	143	37	12
assemblage-472-737	0	0	0	0	229	32	0	0	51	15	0	72	0	0	0	0	0	13
assemblage-104-904	0	0	123	0	0	0	0	0	53	99	0	16	0	0	0	0	0	28
assemblage-818-138	29	0	0	0	229	0	8	0	116	40	0	6	55	0	0	0	0	10
assemblage-251-956	0	0	0	0	263	0	5	0	53	0	0	38	95	0	0	0	0	23
assemblage-523-751	0	61	0	0	259	0	0	0	41	0	0	69	5	0	0	0	0	14
assemblage-611-922	10	0	0	0	142	0	0	44	109	42	0	97	0	0	0	0	0	32
assemblage-680-942	0	0	0	27	120	12	0	0	81	0	26	16	0	48	0	110	0	15
assemblage-350-720	8	0	0	0	138	0	0	28	106	20	0	134	0	0	0	0	0	31
assemblage-358-189	0	0	0	0	120	0	0	0	95	0	0	76	0	28	0	126	0	14
assemblage-218-797	0	0	0	0	25	0	0	0	168	0	41	0	0	159	0	39	0	19
assemblage-858-890	27	0	0	0	219	0	22	0	123	20	0	0	60	0	0	0	0	13
assemblage-814-115	8	0	0	0	89	0	115	0	143	17	0	55	0	0	0	0	0	18
assemblage-620-507	75	0	19	0	200	0	0	7	59	11	0	58	0	0	0	0	0	31
assemblage-583-465	0	0	0	0	9	0	0	0	222	0	13	19	0	32	0	136	0	22
assemblage-618-292	0	8	0	0	227	0	0	0	149	41	0	10	16	0	0	0	0	29
assemblage-928-974	14	0	0	0	106	0	52	33	202	0	0	58	16	0	0	0	0	19
assemblage-327-693	0	0	0	0	326	11	0	0	79	0	0	59	0	0	3	0	0	13
assemblage-729-1006	24	0	0	0	87	0	45	28	206	0	0	61	33	0	0	0	0	16
assemblage-344-482	0	0	0	7	207	0	0	0	87	17	5	23	0	10	0	66	0	44
