Assemblage_Name	7862611-4-9911933	1-752090-4846109	2-9100171-0	1-3877565-0	3444140-4-0	7532521-752090-3	1-7895964-0	5115906-0-9394102	6732666-7895964-0	6834572-1038637-6803285	1-147179-3168279	7532521-4117495-3	7532521-752090-3577714	4108189-752090-3	1-5341711-0	2-9100171-1167767	2-4121147-1167767	9124437-7895964-0	1818997-4-9911933	9124437-7895964-355044	1-9028760-3	5115906-7944577-9394102	1-752090-3	9124437-7895964-9796383	1-3-982222	1797846-752090-3
assemblage-571-457	0	0	0	0	0	292	0	5	0	0	0	0	0	8	0	0	0	0	0	111	0	0	16	0	0	19
assemblage-328-698	0	27	0	0	0	135	0	133	23	0	0	0	61	0	0	0	0	58	0	0	0	7	0	39	0	17
assemblage-246-669	0	0	0	0	0	101	0	107	0	0	0	0	0	0	0	0	0	0	0	107	0	0	160	0	0	18
assemblage-618-925	6	0	14	41	18	233	0	5	0	0	9	0	0	0	0	0	24	0	10	0	72	0	8	0	21	33
assemblage-339-716	16	0	13	30	29	216	0	13	0	0	11	0	0	0	0	0	17	0	11	0	89	0	5	0	26	24
assemblage-604-772	0	0	0	0	0	348	0	68	0	0	0	0	0	13	0	0	0	0	0	12	0	0	49	0	0	10
assemblage-745-570	0	0	0	0	0	30	0	249	0	0	0	40	0	0	19	0	0	0	0	0	0	0	132	0	0	21
assemblage-824-118	0	0	0	0	0	28	68	249	0	0	0	21	0	0	30	0	0	0	0	0	36	0	15	0	0	14
assemblage-104-904	103	0	0	0	0	55	37	0	0	0	0	0	0	0	0	95	0	0	7	0	94	0	16	0	7	23
assemblage-585-727	0	0	0	0	0	166	17	95	0	3	0	0	0	0	0	10	5	0	0	0	46	0	86	0	0	25
assemblage-611-922	0	0	54	7	13	12	64	75	0	0	30	0	0	0	0	8	0	0	73	0	12	0	24	0	5	21
assemblage-383-267	0	0	0	0	0	267	46	29	0	0	0	0	0	0	4	0	0	75	0	0	0	0	49	0	0	21
assemblage-733-469	0	0	0	0	0	112	24	179	0	7	0	0	0	0	0	0	42	0	13	0	21	0	30	0	48	14
assemblage-678-943	0	0	0	0	0	240	0	42	20	0	0	0	0	0	0	0	0	23	0	33	0	0	96	5	0	7
assemblage-581-731	0	0	0	0	0	161	28	78	0	8	0	0	0	0	0	5	11	0	0	0	40	0	105	0	0	14
assemblage-249-737	0	0	7	0	0	52	33	10	0	0	0	0	0	0	0	8	0	0	148	0	11	0	48	0	162	12
assemblage-866-914	0	0	0	0	0	150	76	106	0	0	0	8	0	0	0	0	6	0	10	0	13	0	71	0	0	26
assemblage-236-458	0	0	0	0	0	132	0	164	0	0	0	0	41	0	0	0	0	17	0	0	0	36	90	0	0	7
assemblage-211-786	0	0	0	0	0	287	0	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	81	0	0	21
assemblage-248-353	0	6	0	0	0	419	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-818-645	0	0	23	0	105	13	17	229	0	0	0	0	0	0	0	50	0	0	0	0	0	0	5	0	8	28
assemblage-845-912	0	0	0	0	0	103	11	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	8	30
assemblage-618-292	0	0	0	0	0	204	0	130	0	0	0	0	0	0	0	0	0	45	0	0	0	59	35	0	0	20
assemblage-365-269	0	0	0	0	0	173	0	193	0	0	0	21	0	0	50	0	0	0	0	0	0	0	57	0	0	6
assemblage-474-731	0	15	0	0	0	120	0	110	36	0	0	0	72	0	0	0	0	59	0	0	0	11	0	63	0	14
assemblage-327-693	0	95	0	0	0	140	0	98	0	0	0	0	0	0	0	0	0	15	0	0	0	54	42	0	0	18
assemblage-393-321	0	0	0	0	0	323	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	0	0	33
assemblage-420-841	0	0	0	0	0	290	0	93	0	0	0	0	0	0	0	0	0	10	0	0	0	0	44	26	0	23
assemblage-240-109	0	0	0	0	0	306	0	77	0	0	0	0	0	11	0	0	0	0	0	0	0	0	50	0	0	24
assemblage-110-333	0	29	0	0	0	212	0	93	0	0	0	0	0	0	0	0	0	57	0	0	0	14	71	0	0	16
