Assemblage_Name	2-5950542-4	7220046-5950542-4	2-1731521-4	3-9489245-0	790613-5950542-4	2-5950542-6289927	600679-7948259-2	3-9489245-3870091	6170896-4-0	3-4-3	3-4-9881938	3-4-0	8929966-4409455-4	2-5950542-9536335	3-7611733-0	2-6059509-4	8929966-4409455-6618113	2-4409455-4	3-9489245-3553673
assemblage-636-922	141	0	0	0	22	0	30	0	0	24	0	258	0	0	0	0	0	0	17
assemblage-351-499	223	37	0	86	0	0	0	4	0	0	0	0	0	0	0	0	127	0	13
assemblage-943-359	121	51	0	219	0	0	0	0	0	25	0	15	0	0	0	0	39	0	30
assemblage-731-490	137	0	0	0	0	0	0	0	55	21	14	204	13	0	0	0	0	46	10
assemblage-352-687	239	62	0	41	0	0	0	0	0	6	0	0	0	30	0	99	0	0	23
assemblage-608-762	355	42	0	0	0	0	0	10	0	10	0	0	0	0	0	0	39	0	21
assemblage-914-974	155	0	0	26	0	0	3	0	115	47	0	119	0	0	0	0	0	9	14
assemblage-685-298	193	0	0	15	0	0	24	0	0	149	0	86	0	0	0	0	0	0	18
assemblage-746-471	180	0	0	29	0	0	8	0	83	48	0	136	0	0	0	0	0	1	15
assemblage-101-914	8	0	0	0	170	0	96	0	0	23	0	146	0	0	0	0	0	0	4
assemblage-824-118	186	81	0	14	0	0	29	0	25	0	86	42	0	0	12	0	0	0	9
assemblage-137-330	77	61	0	150	0	0	0	0	0	21	28	63	0	0	0	0	0	0	23
assemblage-233-168	187	0	101	0	0	11	0	23	0	7	0	0	0	0	0	0	0	0	15
assemblage-465-737	193	78	0	97	0	0	0	0	0	20	0	0	0	18	0	31	35	0	22
assemblage-932-368	84	118	0	55	0	0	0	0	0	109	0	13	0	67	0	12	0	15	15
assemblage-353-255	109	0	0	42	0	0	12	0	0	145	5	11	15	4	0	0	61	0	32
assemblage-254-112	250	0	27	0	0	49	0	151	0	0	0	0	0	0	0	0	9	0	14
assemblage-441-398	126	61	0	39	0	0	160	0	7	30	7	41	0	0	13	0	0	0	16
assemblage-743-627	119	60	0	48	0	0	142	0	21	36	2	50	0	0	8	0	0	0	9
assemblage-361-733	212	0	0	22	0	0	19	0	0	116	0	97	0	0	0	0	0	0	13
assemblage-103-910	17	0	0	0	145	0	90	0	0	16	0	161	0	0	0	0	0	0	11
assemblage-370-248	181	24	0	57	0	0	13	0	0	0	9	144	7	0	4	7	0	25	21
assemblage-818-645	43	0	0	0	0	0	80	0	14	256	0	77	0	0	0	0	0	0	18
assemblage-264-360	380	27	0	48	0	0	0	0	0	0	0	0	0	0	0	18	4	0	23
assemblage-726-586	64	144	0	8	0	0	0	0	8	34	50	79	4	0	0	0	0	79	7
assemblage-613-755	275	26	47	10	0	96	0	0	0	0	0	0	0	0	0	0	17	0	12
assemblage-685-929	338	82	0	0	0	0	0	0	0	17	0	0	0	18	0	0	7	0	22
assemblage-213-781	294	43	28	6	0	83	0	0	0	0	0	0	0	0	0	0	20	0	9
assemblage-247-170	174	0	92	0	0	14	0	26	0	5	0	0	0	0	0	0	0	0	19
assemblage-526-107	260	46	0	67	0	0	0	0	0	47	0	0	0	0	0	5	0	0	24
