Assemblage_Name	5315266-2-2	1642004-806657-3170614	4-806657-4	5300945-2-2	4-2-9742728	4182732-1-9066398	2-2001873-3	2-1-2	2-1-726526	1-8882526-0	1-1-0	4-1780801-4665950	4-806657-3938752	4-6434063-4665950	2-1-8326243	7081985-806657-4	2-2001873-4838925	2-3183078-5535334	2192434-806657-3170614	5508885-806657-4	4-2-2	4108843-806657-4	1-0-0	1-0-2	4-806657-3916562	1190352-2-2	2192434-3785440-9342525	4-806657-5878490	2-3183078-2	2-1-6796907	2320754-806657-4	4-9118170-4	4-3706977-2	4-1780801-4	3133543-1-8326243
assemblage-747-593	0	0	95	0	0	0	0	12	0	0	0	18	0	51	0	0	0	0	88	0	51	0	11	0	0	0	0	0	0	0	36	0	0	0	25
assemblage-253-726	155	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	114	0	0	0	0	25	0	0	0	0	0	0	0	0	33
assemblage-943-359	0	18	129	0	0	0	0	46	4	0	0	0	34	0	0	0	0	11	27	0	48	0	0	0	0	0	0	0	0	2	142	0	19	0	15
assemblage-339-716	20	0	65	43	0	0	67	49	0	0	12	0	0	0	0	0	0	0	0	0	59	0	35	15	12	11	0	0	0	0	0	0	0	79	17
assemblage-604-772	0	0	53	0	0	0	0	0	62	0	0	0	0	0	171	38	0	100	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34
assemblage-243-162	0	0	0	0	4	6	0	0	60	0	0	0	0	0	91	25	0	239	0	0	0	0	0	0	0	0	0	0	0	0	0	31	21	0	13
assemblage-755-641	0	0	113	0	0	0	14	19	0	0	0	34	0	21	0	0	29	0	11	0	127	0	18	0	0	0	0	28	10	0	22	0	0	5	25
assemblage-233-168	0	0	0	0	9	14	0	0	63	0	0	0	0	0	91	8	0	237	0	0	0	0	0	0	0	0	0	0	0	0	0	29	14	0	20
assemblage-600-497	18	0	121	0	0	0	24	8	0	0	4	0	0	0	0	0	0	0	0	0	107	0	87	0	0	0	0	0	0	0	0	0	0	94	26
assemblage-728-992	0	0	42	39	0	0	12	17	0	0	0	39	0	0	0	0	38	0	0	0	110	0	85	0	10	0	0	0	0	0	0	0	0	32	20
assemblage-387-847	0	0	43	0	0	0	0	49	49	0	0	0	0	0	0	79	0	176	52	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21
assemblage-759-483	0	0	143	48	0	0	64	0	0	23	0	0	0	0	0	0	0	0	0	0	106	0	28	0	0	0	0	21	0	0	0	0	0	25	14
assemblage-268-734	121	0	38	0	0	0	4	0	0	0	5	0	0	0	0	0	0	0	0	0	142	0	0	0	0	40	0	0	0	0	0	0	0	0	23
assemblage-897-857	0	0	204	0	0	0	0	11	0	0	0	0	0	0	0	0	0	30	173	7	9	0	0	0	0	0	0	0	0	0	5	0	29	0	15
assemblage-262-640	0	0	51	0	0	59	0	0	40	0	0	0	0	0	3	62	0	117	0	42	0	69	0	0	0	0	5	0	0	0	0	13	0	0	13
assemblage-632-931	33	0	24	0	0	0	14	86	0	54	0	63	0	0	0	0	0	0	0	0	122	0	41	7	0	0	0	0	0	0	0	0	0	32	16
assemblage-264-339	0	0	282	0	0	0	0	0	11	0	0	0	0	0	0	0	0	8	21	87	10	45	0	0	0	0	11	0	0	0	0	0	0	0	7
assemblage-370-248	0	47	76	0	0	0	0	0	0	0	0	6	0	0	0	0	22	30	99	0	92	0	6	0	0	0	0	15	21	0	39	0	0	0	14
assemblage-240-941	0	0	215	0	0	0	0	10	0	0	0	0	0	27	0	0	0	0	26	0	21	0	24	0	0	0	0	0	87	36	15	0	0	0	36
assemblage-104-339	0	4	148	0	0	0	0	47	0	0	0	0	31	0	0	0	0	8	28	0	45	0	0	0	0	0	0	0	0	11	122	0	25	0	31
assemblage-618-292	0	4	142	0	0	0	0	39	13	0	0	0	37	0	0	0	0	11	37	0	36	0	0	0	0	0	0	0	0	11	123	0	26	0	19
assemblage-732-983	0	0	41	41	0	0	11	11	0	0	0	63	0	0	0	0	41	0	0	0	96	0	76	0	6	0	0	0	0	0	0	0	0	50	20
assemblage-435-396	0	0	38	0	0	0	0	0	0	0	0	72	0	13	0	0	56	0	38	0	123	0	21	0	0	0	0	0	67	0	12	0	0	0	23
assemblage-261-342	0	0	20	0	0	0	0	30	136	0	0	0	0	0	26	0	0	139	53	9	0	0	0	0	0	0	0	0	0	0	0	0	23	0	14
assemblage-323-684	0	0	35	0	0	0	0	52	58	0	0	0	0	0	0	0	0	196	78	9	0	0	0	0	0	0	0	10	0	0	0	0	52	0	10
assemblage-243-797	0	0	70	0	0	59	0	0	40	0	0	0	0	0	0	65	0	112	8	38	0	57	0	0	0	0	12	0	0	0	0	9	0	0	23
assemblage-576-485	0	0	49	0	1	0	0	0	93	0	0	0	0	0	104	0	0	132	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	31
assemblage-453-406	0	0	228	0	0	0	2	20	0	0	0	11	0	36	0	0	0	0	0	0	133	0	26	0	0	0	0	0	0	0	29	0	0	0	15
assemblage-827-631	0	0	24	0	0	0	110	36	0	15	0	0	0	0	0	0	0	0	0	0	0	0	261	8	0	0	0	0	0	0	0	0	0	19	27
assemblage-516-120	0	0	57	0	0	0	0	36	82	0	0	0	0	0	0	11	0	161	65	8	0	0	0	0	0	0	0	20	0	0	0	0	54	0	6
