Assemblage_Name	7809336-2628151-0	4096414-268434-7991207	625941-268434-4087313	2888762-268434-9186325	0-5879655-1	2888762-268434-0	1-1-1	4059192-1-1	4096414-268434-0	687585-268434-0	3412244-268434-0	3-7406302-6237310	0-0-1	2-4-1589776	9658903-5791705-0	9658903-5791705-9269426	0-2-0	2888762-1778027-0	4-1-2	2-4-4	2888762-4647718-0	1246739-2628151-0	2888762-2628151-0	8406738-268434-0
assemblage-730-622	0	0	0	0	0	194	0	0	0	31	0	81	0	0	0	25	0	62	0	6	0	0	21	19
assemblage-943-359	0	0	45	36	0	176	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	193	16
assemblage-594-508	0	0	0	0	8	112	116	0	0	0	0	0	5	0	10	34	5	0	10	99	0	0	40	18
assemblage-725-980	0	0	0	0	52	163	0	0	0	0	0	14	0	0	0	75	0	7	9	150	0	0	0	14
assemblage-596-281	0	0	11	16	0	175	0	0	16	44	0	0	0	0	0	0	0	7	0	7	0	0	172	46
assemblage-262-106	0	13	0	0	0	40	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	19	331	7
assemblage-933-359	0	0	0	28	0	195	0	0	0	12	0	7	0	0	0	0	0	0	0	5	0	0	232	13
assemblage-488-754	0	0	0	0	0	204	0	0	0	78	0	0	0	0	0	0	0	24	0	0	0	0	136	15
assemblage-585-727	0	0	0	0	34	162	0	0	0	0	0	25	0	0	0	93	0	4	7	155	0	0	0	18
assemblage-336-184	17	16	0	0	0	168	0	0	0	13	58	0	0	0	0	0	0	0	0	0	0	0	201	27
assemblage-685-923	0	57	48	0	0	24	0	0	14	4	0	0	0	0	0	0	0	0	0	0	38	11	268	17
assemblage-268-734	0	0	0	0	0	149	165	0	0	0	0	0	8	0	11	0	62	0	0	43	0	0	0	25
assemblage-238-351	10	76	0	0	0	0	0	0	42	4	0	0	0	0	0	0	0	0	0	0	0	0	343	25
assemblage-869-918	0	0	0	0	0	358	0	0	0	0	0	13	0	0	0	22	0	16	0	36	0	0	31	19
assemblage-218-797	0	13	0	0	0	42	0	0	0	34	47	0	0	17	0	0	0	0	0	0	45	50	156	26
assemblage-264-339	12	93	0	0	0	0	0	0	41	0	0	0	0	0	0	0	0	0	0	0	0	0	318	36
assemblage-825-627	0	0	0	0	44	59	64	69	0	0	0	0	68	0	0	0	5	0	40	41	0	0	0	14
assemblage-608-915	0	0	0	0	39	80	51	4	0	0	0	0	12	0	13	0	59	0	0	167	0	0	29	21
assemblage-240-941	0	0	0	0	0	215	0	0	0	0	0	0	0	0	0	0	0	13	0	94	0	0	139	26
assemblage-814-115	0	0	0	0	0	198	0	0	0	0	0	69	0	0	0	0	0	0	0	88	0	0	105	22
assemblage-502-119	0	0	0	0	0	177	0	0	36	6	82	0	0	85	0	0	0	0	0	0	0	0	59	7
assemblage-901-855	0	0	68	0	0	153	0	0	13	14	15	0	0	0	0	0	0	0	0	0	0	0	217	20
assemblage-689-310	0	0	0	0	0	227	16	6	0	0	0	37	28	0	0	0	0	0	0	134	0	0	0	36
assemblage-501-749	0	0	0	49	0	133	0	0	0	36	0	14	0	0	0	27	0	11	0	90	0	0	106	15
assemblage-247-170	0	34	0	0	0	128	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	278	14
assemblage-526-107	0	30	0	0	0	92	0	0	64	65	0	0	0	7	0	0	0	0	0	0	0	0	203	11
assemblage-395-318	0	22	0	0	0	108	0	0	0	0	11	0	0	0	0	0	0	0	0	0	20	0	323	16
assemblage-477-657	0	0	0	0	0	26	80	0	0	0	0	0	0	0	63	0	0	0	0	238	0	0	0	14
assemblage-721-988	0	0	0	15	31	89	6	11	0	0	0	10	0	0	0	4	0	53	0	155	0	0	61	12
assemblage-224-778	26	33	0	0	0	95	0	0	0	20	46	0	0	14	0	0	0	0	0	0	8	18	206	34
