Assemblage_Name	5779309-4-2	1-974445-2	3-1855123-2	4323312-5317516-2	1-9212049-2	1-743540-2	8526481-8323362-2	8183829-4697135-1375067	6679848-4-5138517	2-2702819-4	2-1861271-2	8183829-4-1375067	0-6804467-2	1-3051548-2	3-3-0	3-3-2	6463529-4-1	1-1378694-2	2223877-2024754-2	0-2557596-2	1-4749419-2	2-3871790-4	1-7966038-2	6679848-4-1	6679848-4-2413595	7882886-8323362-2	2526075-4-1375067	2592458-4-2	1-3-4	1-3176395-2	1-4-2	3-3-6663188	2-8323362-2	8000041-3-2	1-0-2	7183761-8323362-2	3347282-3-2	8335521-6804467-2	8183829-9237250-1375067	4323312-0-2	6679848-4-6466630	8636896-1861271-2	6679848-8853629-1
assemblage-366-456	0	0	0	0	0	0	0	0	0	54	0	72	19	0	36	32	4	0	0	14	0	0	0	20	0	0	0	0	7	20	87	0	51	0	20	0	0	0	0	7	0	0	50
assemblage-591-436	0	0	0	0	0	0	0	0	0	14	0	67	13	0	10	21	0	33	0	0	0	0	0	84	0	0	0	0	0	0	30	0	63	0	41	0	0	56	0	5	0	0	56
assemblage-471-550	0	0	0	0	0	0	13	0	0	0	26	105	6	0	0	16	0	46	0	0	0	0	0	124	0	17	0	0	0	0	3	0	29	0	22	0	0	25	0	16	0	0	52
assemblage-586-500	0	0	0	0	0	0	16	9	0	3	14	53	20	0	0	31	0	8	0	0	12	0	0	199	0	11	0	0	0	0	20	0	20	15	0	0	0	0	0	31	0	0	31
assemblage-546-364	0	0	0	0	0	0	11	7	0	0	10	42	10	0	0	41	0	17	0	0	16	0	0	197	0	19	0	0	0	0	14	0	24	14	0	0	0	0	0	18	0	0	59
assemblage-458-568	0	0	0	0	0	0	0	0	0	27	0	71	28	0	40	14	0	18	0	0	0	12	0	54	0	0	0	5	0	3	78	0	59	0	18	0	0	15	0	5	0	0	53
assemblage-611-453	0	0	0	0	0	0	0	0	0	27	0	59	10	0	11	31	0	58	0	0	0	0	0	96	0	13	0	0	0	0	27	0	49	0	44	0	0	31	0	11	0	0	23
assemblage-465-469	0	0	0	0	0	0	0	0	0	41	0	110	15	0	38	30	4	0	0	18	0	0	9	30	0	0	0	0	8	14	75	0	47	0	15	0	0	0	0	16	0	0	30
assemblage-435-567	0	0	0	5	20	17	0	0	5	0	44	0	24	0	0	58	0	24	0	0	0	0	0	133	5	16	8	0	0	0	45	10	0	14	0	0	0	0	7	20	0	0	40
assemblage-634-469	0	0	0	0	0	0	12	0	0	12	23	80	0	0	0	22	0	47	0	0	0	0	0	117	0	14	0	0	0	0	14	0	40	0	32	0	0	18	0	14	0	0	55
