Assemblage_Name	8020814-8964765-2	1571602-6356874-2367646	667829-3094242-6716230	4-7433406-2	9109269-7620275-0	4-3030332-1139066	9109269-5549616-0	4896932-3094242-0	0-1-4	6485327-3-4470143	667829-5408549-6716230	9109269-4445393-0	2-0-1	4-3-1	9109269-7633401-0	4-4-5967377	5620971-4-2886910	521935-4-2	3-6693351-4	2925315-5676019-2367646	8570428-5549616-0	4-2-3	4-4-1468970	3-4-4	4-4-5883522	1-0-0	4-4-5105334	4-3-2416534	4-1-3	4-4-1139066	4-5676019-2367646	667829-3094242-0	9109269-5549616-1565040	4-4-8504583	4-8964765-2	4-6346433-2367646	1571602-5676019-2367646	3-4-2886910	4-4-0	4-4-2	9109269-5549616-1384332	9109269-0-0	4-4-1249420	667829-3094242-3371690	4-4-8359385	4-4-4651034
assemblage-698-498	0	0	0	0	0	0	59	0	0	0	0	13	0	0	18	0	0	18	0	0	0	10	0	41	15	32	11	0	0	0	24	72	0	0	0	0	0	5	0	73	0	46	0	0	0	57
assemblage-291-504	0	0	0	6	0	0	0	0	4	0	0	0	32	17	0	0	0	0	0	0	0	24	16	39	9	52	0	0	26	0	0	42	0	0	0	0	0	9	47	34	0	101	0	0	0	31
assemblage-591-436	0	0	0	0	0	0	34	8	0	0	0	9	0	0	15	0	0	0	0	0	0	9	9	65	19	21	10	15	0	0	14	72	0	0	0	0	0	7	20	50	0	56	0	9	0	58
assemblage-405-228	0	0	4	0	0	0	41	0	0	0	0	32	0	0	26	0	0	16	0	0	0	13	0	18	0	32	7	0	0	0	33	76	0	0	0	0	0	26	0	62	11	33	0	0	0	70
assemblage-532-424	10	29	44	0	3	0	0	0	0	0	10	9	0	0	0	0	0	0	30	0	11	0	0	0	3	0	44	0	0	70	1	13	9	8	7	0	0	9	0	33	36	0	16	0	54	51
assemblage-257-556	0	11	46	0	4	9	0	0	0	0	0	14	0	0	0	0	10	0	41	0	8	0	0	0	33	0	33	0	0	65	17	25	0	0	5	0	20	28	0	36	13	0	24	0	17	41
assemblage-462-687	0	0	0	0	0	0	3	7	14	9	0	0	9	7	12	0	0	0	0	0	0	29	7	67	16	36	0	6	0	0	8	64	0	0	0	0	0	16	23	38	0	107	0	0	0	22
assemblage-499-459	0	0	0	0	0	0	20	17	0	0	0	0	0	0	17	0	0	0	0	0	0	7	0	68	31	19	8	10	0	0	20	89	0	0	0	0	0	14	16	58	0	57	0	10	0	39
assemblage-410-427	0	8	41	0	11	5	8	0	0	0	0	13	0	0	12	0	5	0	31	0	17	0	0	0	15	0	34	0	0	81	19	21	0	0	5	0	12	27	0	36	18	0	23	0	13	45
assemblage-417-583	0	0	0	0	0	0	47	0	0	0	0	8	0	0	5	0	0	14	0	0	0	8	0	36	16	37	9	0	0	0	18	61	0	0	0	0	0	17	0	112	0	49	0	0	0	58
