Assemblage_Name	3387575-3-0	3-1-1	6690248-4-4323475	6690248-1684119-6203179	2-4-8675704	5500215-4-7501264	4-1830476-3	4359799-4-4	0-4-2	5513236-4-7397488	8511820-1-1	0-3-770454	4407389-4-4	2-4-9536064	2-5844722-0	2-0-0	0-3600479-0	0-3-0	126469-0-0	5500215-4-2	3747969-3-3	2-5922847-148946	1-3-7687979	5671639-1-1	1-3-2543661	2-9142920-4	6690248-3584389-6203179	5160504-0-0	1-3-3	1-3-5741454	5500215-4-7397488	0-4836616-0	0-2-4	6690248-4-6203179	2-4-9523066	3500984-3-2543661	6209585-4-6203179	8728641-4-9720976	4-0-3	2-1385578-4	1-3-4	2-4-4	3334519-3-0	1575557-3-0	3334519-8872341-0	2564925-0-0	7778027-3-2543661
assemblage-363-465	0	21	0	0	0	0	9	0	17	0	0	0	0	0	0	29	0	34	0	109	0	0	0	29	0	0	0	34	35	0	0	15	17	0	0	0	0	0	51	0	10	41	0	0	0	0	43
assemblage-696-326	0	22	0	0	0	0	18	0	0	0	0	0	0	0	0	52	7	51	0	50	0	0	0	38	0	0	0	21	26	0	0	0	20	0	7	0	0	0	33	0	54	51	0	0	0	0	50
assemblage-402-587	0	0	0	6	0	0	0	17	0	0	0	0	14	0	0	0	0	53	20	7	0	0	8	48	5	0	0	0	11	21	51	0	0	32	0	0	0	0	1	10	0	65	98	0	0	8	20
assemblage-417-539	0	0	0	0	0	0	0	8	0	0	0	0	13	0	0	0	0	41	18	14	0	0	10	35	6	0	0	0	0	10	65	0	0	22	0	0	6	0	0	5	0	50	118	0	0	12	56
assemblage-685-459	0	0	0	19	0	0	0	5	0	0	0	0	0	0	9	0	0	59	34	19	0	11	11	25	0	0	0	0	18	8	38	0	0	19	0	0	0	0	9	0	0	69	100	7	0	10	27
assemblage-558-490	0	0	0	22	0	0	0	0	0	0	0	11	0	0	11	24	0	43	12	35	0	30	0	27	0	4	0	0	27	0	27	0	0	8	0	0	0	3	11	0	0	100	74	0	0	0	28
assemblage-488-656	0	0	0	14	0	0	0	0	0	6	0	4	0	0	3	32	0	57	9	34	0	22	0	35	0	0	0	0	31	0	21	0	0	13	0	0	0	6	18	0	0	94	66	0	0	0	35
assemblage-337-459	0	0	0	0	0	0	0	0	0	6	0	0	0	6	0	34	0	53	0	74	13	0	0	54	0	0	0	0	51	0	1	29	0	0	0	0	0	0	28	0	0	90	8	0	0	0	41
assemblage-509-612	0	33	0	0	0	0	15	0	9	0	0	0	0	0	0	46	6	47	0	60	0	0	0	24	0	0	0	17	32	0	0	8	21	0	5	0	0	0	34	0	41	53	0	0	0	0	45
assemblage-538-547	0	0	3	0	0	0	0	0	0	9	0	0	0	10	0	14	0	60	0	90	24	0	0	49	0	0	0	0	32	0	8	22	0	0	0	0	0	0	33	0	0	95	10	0	0	0	41
assemblage-386-549	0	0	0	18	0	0	0	3	0	0	0	0	0	0	5	0	0	44	22	16	0	18	0	22	0	0	0	0	27	16	34	0	0	24	0	0	0	0	10	0	0	98	97	7	0	4	32
assemblage-510-424	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	30	0	43	0	102	16	0	0	55	0	0	0	0	33	0	0	15	0	0	0	0	0	0	27	0	0	100	17	0	0	0	52
assemblage-619-552	0	0	0	16	0	0	0	5	0	0	0	0	0	0	5	0	0	39	35	22	0	17	0	25	0	0	0	0	19	18	54	0	0	21	0	0	0	0	8	0	0	82	90	3	0	6	26
assemblage-735-485	0	0	0	5	0	0	0	0	0	3	0	4	0	10	0	35	0	56	0	76	0	8	0	38	0	6	0	0	34	4	18	0	0	24	0	0	0	0	42	0	0	67	44	0	0	0	26
assemblage-414-450	12	0	0	0	15	5	0	0	0	0	12	0	0	0	0	0	0	31	0	19	0	0	23	75	17	0	3	0	0	6	60	0	0	7	0	50	0	0	0	0	0	13	76	0	18	0	52
assemblage-505-604	0	0	12	0	0	0	2	0	8	0	0	0	0	0	0	32	0	67	0	106	0	0	0	30	0	0	0	19	38	0	0	28	15	0	0	0	0	0	21	0	3	83	0	0	0	0	36
assemblage-391-442	0	13	0	0	0	0	5	0	5	0	0	0	0	0	0	20	0	29	0	119	0	0	0	27	0	0	0	43	48	0	0	12	29	0	0	0	0	0	53	0	26	48	0	0	0	0	18
assemblage-589-392	0	0	0	0	0	0	0	16	0	0	0	0	7	0	0	0	0	44	26	6	0	0	5	37	13	0	0	0	6	10	62	0	0	31	0	0	5	0	0	9	0	46	104	0	0	9	42
assemblage-681-571	5	0	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	22	0	5	0	0	23	54	8	0	7	0	0	9	78	0	0	19	0	0	18	0	0	12	0	35	143	0	4	9	25
assemblage-645-556	0	7	0	0	0	0	8	0	0	0	0	0	0	0	0	32	0	49	0	123	0	0	0	23	0	0	0	33	52	0	0	8	36	0	0	0	0	0	38	0	17	30	0	0	0	0	42
assemblage-606-385	0	11	12	0	0	0	6	0	9	0	0	0	0	0	0	35	0	47	0	88	0	0	0	53	0	0	0	15	34	0	0	27	15	0	0	0	0	0	22	0	12	82	0	0	0	0	24
assemblage-480-528	0	0	0	5	0	0	0	0	0	0	0	7	0	5	0	31	0	68	0	81	0	8	0	38	0	7	0	0	14	9	12	0	0	16	0	0	0	0	65	0	0	63	42	0	0	0	29
assemblage-536-566	0	0	0	0	0	0	0	0	0	0	0	10	0	5	0	26	0	42	0	87	0	3	0	44	0	4	0	0	28	0	14	0	0	9	0	0	0	0	55	0	0	88	43	0	0	0	35
assemblage-382-587	9	0	0	0	20	4	0	0	0	0	9	0	0	0	0	0	0	30	0	21	0	0	20	71	22	0	6	0	0	0	71	0	0	0	0	22	6	0	0	10	0	13	89	0	14	2	53
assemblage-457-385	0	0	0	0	10	0	0	0	0	0	0	0	10	0	0	0	0	17	0	0	0	0	18	64	0	0	11	0	0	6	80	0	0	47	0	0	12	0	0	8	0	32	120	0	6	14	45
assemblage-401-599	0	27	0	0	0	0	20	0	5	0	0	0	0	0	0	36	10	40	0	68	0	0	0	25	0	0	0	26	18	0	0	7	31	0	4	0	0	0	48	0	49	45	0	0	0	0	32
assemblage-497-532	0	0	21	0	0	0	0	0	16	0	0	0	0	0	0	43	0	42	0	104	3	0	0	49	0	0	0	12	41	0	5	23	14	0	0	0	0	0	23	0	6	63	0	0	0	0	29
assemblage-415-593	0	0	0	0	8	0	0	0	0	0	0	0	14	0	0	0	0	27	0	0	0	0	12	79	9	0	13	0	0	7	64	0	0	21	0	0	11	0	0	7	0	38	132	0	9	4	45
assemblage-373-631	0	0	0	23	0	0	0	0	0	6	0	6	0	0	8	27	0	58	11	27	0	20	0	28	0	0	0	0	20	2	42	0	0	12	0	0	0	13	14	0	0	80	71	0	0	0	32
assemblage-591-544	10	0	0	0	12	10	0	0	0	0	11	0	0	0	0	0	0	24	0	10	0	0	22	73	26	0	9	0	0	0	75	0	0	0	0	31	6	0	0	3	0	9	83	0	16	9	61
