Assemblage_Name	516202-8942039-1	2-293313-1	4763870-1-3427368	5920263-2-3	0-6436678-3	4-1-6181430	4-3-9452302	7507111-4-1	516202-2-1	0-4-9762168	4-598969-4	4-1135236-777778	1509570-1-0	2-2962071-1	3-2-5206121	8718266-4-1	0-2-3521180	3-2-1068866	286822-2240248-0	4-9095303-3427368	5396666-2240248-0	4-598969-6841501	4-1-3427368	0-3-1	4-1-6876427	4470705-6436678-3	901656-3-4	4-3-4	598220-2996029-6181430	7724736-4-1	2808920-2240248-0	7067111-2962071-1	0-2-3	0-2-1	6621488-4-1	4-6821710-0	46444-2-3521180	0-2-5158822	2-1377649-1	4-1135236-4	6633818-2-4826536	4-1-0	0-4961816-1	3-2-7288747	598220-1882926-6181430	5800838-1-6181430	3-2-4826536	2-4-1	4836055-1-0	4-2996029-6181430	4-2240248-0	2750899-3-4	5396666-2240248-1313132
assemblage-529-629	0	0	0	0	20	3	0	0	59	0	0	0	0	0	0	0	0	0	35	0	34	0	0	0	0	29	0	82	7	30	14	0	11	0	0	0	0	0	0	44	0	0	0	0	6	16	0	0	0	45	0	16	47
assemblage-557-394	0	19	0	0	67	20	17	14	33	0	0	0	0	3	0	0	0	0	0	0	23	0	12	0	0	0	0	56	0	0	34	0	52	0	21	0	0	0	0	36	0	0	0	0	0	7	0	37	0	8	0	0	33
assemblage-649-566	0	0	0	0	11	35	0	0	35	0	0	0	0	12	0	0	0	0	15	0	59	0	0	0	0	13	0	96	10	15	12	3	49	0	0	0	0	0	0	14	0	0	0	0	0	5	0	25	0	48	0	0	38
assemblage-648-678	0	0	0	0	0	0	0	16	30	14	0	0	21	0	5	0	6	17	0	0	0	6	25	7	0	0	0	36	0	0	16	0	19	26	0	0	0	4	38	8	0	34	14	32	0	0	5	40	0	0	21	0	57
assemblage-417-583	0	0	7	0	0	18	0	21	12	0	0	17	0	0	34	6	7	0	0	6	11	0	31	0	0	0	0	23	0	0	26	0	71	8	0	0	0	0	25	24	0	8	0	18	0	0	22	76	0	0	0	0	29
assemblage-491-522	0	2	0	0	24	14	0	27	8	0	0	10	0	0	7	0	0	0	0	0	5	0	21	0	0	0	0	44	0	0	41	0	58	0	0	6	5	0	27	46	0	14	0	0	0	0	13	80	0	0	0	0	41
assemblage-483-276	0	0	6	0	0	11	0	25	6	0	0	0	0	0	47	7	10	0	0	11	4	0	29	0	0	0	0	17	0	0	26	0	52	5	0	0	7	0	30	25	0	27	0	27	0	0	21	67	0	0	0	0	40
assemblage-593-417	0	0	0	0	16	17	5	0	50	0	0	0	0	7	0	0	0	0	14	0	66	0	0	0	0	12	0	80	0	15	21	11	41	0	0	0	0	0	0	26	0	0	0	0	4	0	0	30	0	45	0	0	40
assemblage-573-436	15	0	0	0	48	18	0	0	7	0	0	0	0	15	0	0	0	0	11	0	51	0	0	0	0	0	16	127	0	0	20	0	58	0	9	0	0	0	0	16	0	0	0	0	0	6	0	13	0	23	0	0	29
assemblage-531-470	0	0	0	0	16	0	0	0	51	0	0	0	0	0	0	0	0	0	28	0	56	0	0	0	0	20	0	69	8	30	26	0	13	0	0	0	0	0	0	47	0	0	0	0	13	13	0	0	0	58	0	10	42
assemblage-358-519	0	0	6	0	0	16	0	23	14	0	0	0	0	0	35	7	7	0	0	12	4	0	26	0	0	0	0	17	0	0	23	0	49	0	0	0	4	0	22	24	0	32	0	28	0	0	38	63	4	0	0	0	46
assemblage-424-443	0	0	0	0	0	17	0	25	13	14	0	0	0	0	13	0	14	0	0	0	0	0	36	6	0	0	0	17	0	0	20	0	16	4	0	0	0	0	77	33	0	18	0	39	0	0	18	57	7	0	9	0	47
assemblage-447-549	0	0	0	0	0	0	0	15	5	8	22	0	0	0	27	0	0	19	0	0	0	0	7	28	15	0	0	40	0	0	0	0	41	77	0	0	0	0	15	0	0	43	21	31	0	0	0	22	0	0	0	0	44
assemblage-708-415	0	0	0	0	0	0	0	27	11	18	4	0	15	0	10	0	8	8	0	0	0	6	35	5	0	0	0	47	0	0	5	0	23	23	0	0	0	4	35	17	0	37	19	35	0	0	9	45	0	0	14	0	40
assemblage-313-642	0	0	0	0	0	0	0	15	9	7	30	0	0	0	27	0	0	16	0	0	0	0	17	12	5	0	0	19	0	0	0	0	34	64	0	0	0	0	23	0	0	66	35	27	0	0	0	15	0	0	6	0	68
assemblage-648-407	0	0	0	0	0	6	0	23	24	15	0	0	0	0	7	0	11	0	0	0	0	0	27	8	0	0	0	17	0	0	32	0	17	8	0	0	0	0	48	41	0	30	0	52	0	0	16	59	8	0	7	0	44
assemblage-462-633	6	17	0	6	51	18	4	14	27	0	0	0	0	8	0	0	0	0	0	0	24	0	6	0	0	0	0	61	0	0	36	0	56	0	7	0	0	0	0	54	0	0	0	0	0	0	0	45	0	0	0	0	60
assemblage-510-497	0	19	0	0	35	31	11	8	34	0	0	0	0	9	0	0	0	0	0	0	35	0	13	0	0	0	0	67	0	0	36	0	57	0	17	0	0	0	0	38	0	0	0	0	0	6	0	35	0	9	0	0	40
assemblage-550-443	0	10	0	0	13	28	0	28	13	4	0	6	0	0	14	0	0	0	0	0	8	0	19	0	0	0	0	39	0	0	49	0	62	0	0	10	5	0	21	37	0	5	0	0	0	0	18	69	0	0	0	0	42
assemblage-491-505	16	0	0	0	37	25	0	0	6	0	0	0	0	27	0	0	0	0	10	0	39	0	9	0	0	0	9	125	0	0	10	0	44	0	9	0	0	0	0	35	0	0	0	0	0	12	0	23	0	30	0	0	30
assemblage-582-448	0	0	0	0	17	17	7	0	59	0	0	0	0	9	0	0	0	0	14	0	46	0	0	0	0	12	0	110	0	19	20	9	42	0	0	0	0	0	0	16	0	0	0	0	0	5	0	28	0	39	0	0	31
assemblage-348-489	0	0	0	0	0	0	0	21	39	11	8	0	8	0	15	0	9	10	0	0	0	11	27	4	0	0	0	33	0	0	8	0	25	22	0	0	0	9	47	9	0	21	21	28	0	0	9	42	0	0	15	0	41
assemblage-483-393	0	0	0	0	0	5	0	29	24	16	0	0	0	0	7	0	11	0	0	0	0	0	29	4	0	0	0	10	0	0	30	0	10	5	0	0	0	0	89	24	0	24	0	34	0	0	34	54	0	0	15	0	39
assemblage-515-436	0	0	0	0	15	7	0	0	47	0	0	0	0	0	0	0	0	0	25	0	64	0	0	0	0	35	0	64	12	33	19	0	4	0	0	0	0	0	0	38	0	0	0	0	10	12	0	0	0	56	0	16	43
assemblage-401-599	0	0	0	0	0	0	0	14	7	14	16	0	0	0	29	0	4	19	0	0	0	0	8	17	11	0	0	20	0	0	0	0	44	61	0	0	0	0	28	7	0	50	27	24	0	0	0	25	0	0	7	0	33
assemblage-536-322	7	0	0	0	42	28	0	0	12	0	0	0	0	18	0	0	0	0	11	0	38	0	8	0	0	0	14	132	0	0	21	0	32	0	0	0	0	0	0	33	0	0	0	0	0	4	0	14	0	34	0	0	52
assemblage-613-404	0	11	0	8	25	28	0	20	12	0	0	0	0	0	6	0	0	0	0	0	10	0	27	0	0	0	0	59	0	0	47	0	58	0	0	0	0	0	12	70	13	0	0	0	0	0	10	51	0	0	0	0	26
assemblage-593-334	0	9	0	13	12	29	0	18	17	0	0	0	0	0	5	0	0	0	0	0	5	0	34	0	0	0	0	61	0	0	45	0	59	0	0	0	0	0	4	66	19	0	0	0	0	0	9	43	0	0	0	0	47
assemblage-579-537	0	6	0	0	12	10	0	19	7	3	0	5	0	0	17	0	0	0	0	0	13	0	18	0	0	0	0	46	0	0	37	0	84	0	0	5	12	0	22	39	0	5	0	0	0	0	16	92	0	0	0	0	27
assemblage-722-650	0	15	0	0	22	31	0	33	19	0	0	0	0	0	10	0	0	0	0	3	15	0	23	0	0	0	0	47	0	0	56	0	48	0	0	0	0	0	11	62	14	0	0	0	0	0	8	43	0	0	0	0	40
