Assemblage_Name	3-4890955-6958170	3-1-4	3-1609135-4	2-1-3	3-4890955-2	2-0-5059805	5948769-5543283-4	7981359-1389829-3	9007317-1-4	2-0-4	2-0-1	3-924625-4	3-4-2121463	2-1278642-1	3-3-7205921	3-658301-2722829	3-658301-1888283	8853043-1-3	6667603-1-4	2-5543283-4	1-4-4	3-4-4	8853043-1-342520	1363947-1-4	3-6680135-2	7981359-1389829-345271	2-0-2576106	8718530-0-4	3-658301-4	1113919-0-4
assemblage-404-579	0	49	0	13	38	18	0	6	22	140	0	0	9	0	0	0	12	15	0	0	34	17	12	0	74	9	0	0	23	9
assemblage-529-551	0	144	7	45	6	50	9	0	0	49	0	0	0	0	0	17	35	16	0	18	0	0	0	16	0	0	12	23	0	32
assemblage-340-439	0	140	12	51	7	51	11	0	0	48	0	0	0	0	0	20	34	8	0	23	0	0	0	12	0	0	11	23	0	30
assemblage-606-491	0	62	0	12	87	32	0	0	0	121	0	0	0	0	0	0	26	0	0	0	17	0	19	0	80	0	0	14	13	17
assemblage-645-438	0	52	0	17	88	50	0	0	0	113	0	0	0	0	0	0	21	0	0	0	10	0	11	0	79	0	0	19	13	23
assemblage-641-508	0	15	0	8	47	0	0	0	12	72	0	27	0	14	10	0	0	19	0	0	42	80	0	0	127	0	0	0	0	27
assemblage-477-268	0	13	0	24	31	0	0	26	17	99	0	13	12	0	0	0	0	12	0	0	45	61	14	0	114	0	0	0	5	14
assemblage-519-455	0	11	0	9	43	0	0	19	6	76	8	31	0	15	9	0	0	12	0	0	31	87	0	0	102	0	0	0	0	31
assemblage-465-544	0	132	8	21	12	28	0	0	0	128	0	0	0	0	0	5	23	22	5	26	0	0	18	0	14	0	0	30	0	28
assemblage-542-538	0	7	0	11	54	0	0	7	10	90	0	34	0	0	16	0	0	24	0	0	42	79	0	0	85	0	0	0	0	41
assemblage-364-572	0	16	0	12	72	42	0	0	5	170	0	0	0	0	0	0	19	7	0	0	25	0	10	0	84	0	0	0	11	27
assemblage-607-312	0	72	0	9	126	28	0	0	0	99	0	0	0	0	0	0	27	0	0	0	11	0	14	0	66	0	0	26	11	11
assemblage-444-552	6	62	13	19	18	42	0	0	0	185	0	0	0	0	0	0	24	0	8	25	0	0	18	0	33	0	0	19	0	24
assemblage-461-558	0	15	0	23	44	0	0	16	20	101	0	16	12	0	0	0	0	24	0	0	34	71	22	0	77	0	0	0	0	25
assemblage-487-465	0	4	0	23	28	0	0	26	15	107	0	10	20	0	0	0	0	25	0	0	40	48	18	0	100	0	0	0	6	24
assemblage-358-519	0	45	0	7	38	22	0	7	15	164	0	0	0	0	0	0	13	4	0	0	35	17	11	0	81	7	0	0	16	18
assemblage-634-469	0	42	0	15	36	16	0	12	17	190	0	0	8	0	0	0	8	15	0	0	14	17	7	0	70	3	0	0	16	14
assemblage-504-504	13	71	12	17	6	46	0	0	0	148	0	0	0	0	0	0	33	0	15	21	0	0	10	0	27	0	0	42	0	31
assemblage-584-407	0	118	0	49	3	55	14	0	0	60	0	0	0	0	0	23	44	13	0	13	0	0	0	13	0	0	7	33	0	55
assemblage-392-436	0	121	0	17	13	42	0	0	0	114	0	0	0	0	0	10	41	18	4	47	0	0	11	0	23	0	0	22	0	17
assemblage-517-425	0	84	10	22	12	44	0	0	0	135	0	0	0	0	0	15	36	24	7	35	0	0	6	0	14	0	10	22	0	24
assemblage-454-506	16	83	13	22	10	50	0	0	0	118	0	0	0	0	0	0	35	8	5	18	0	0	21	0	32	0	0	37	0	18
assemblage-365-367	0	20	0	33	69	38	0	0	9	170	0	0	0	0	0	0	14	1	0	0	16	0	10	0	91	0	0	0	4	25
assemblage-524-551	0	69	0	16	46	50	0	0	0	204	0	0	0	0	0	0	32	3	0	0	0	0	6	0	28	0	0	21	0	25
assemblage-431-586	0	28	0	7	37	0	0	26	3	57	11	17	0	13	20	0	0	10	0	0	23	77	0	0	119	0	0	0	0	38
assemblage-563-581	2	75	6	8	60	36	0	0	0	197	0	0	0	0	0	0	31	17	0	0	0	0	4	0	28	0	0	12	0	16
assemblage-394-542	0	73	9	9	45	34	0	0	0	183	0	0	0	0	0	0	35	10	0	0	0	0	20	0	45	0	0	15	0	22
assemblage-540-587	0	14	0	8	32	0	0	16	0	63	8	43	0	11	26	0	0	0	0	0	25	77	0	0	114	0	0	0	0	52
assemblage-473-364	0	25	0	17	66	33	0	0	8	162	0	0	0	0	0	0	7	3	0	0	18	0	7	0	99	0	0	0	5	30
assemblage-425-380	0	15	0	21	59	0	0	0	14	59	0	23	0	9	12	0	0	20	0	0	48	64	0	0	118	0	0	0	0	38
